Quarter,City,GDP Growth,Lockdown,Time
2012-01-01,Beijing,3416.429301,0,1
2012-04-01,Beijing,4113.422617,0,2
2012-07-01,Beijing,3854.361525,0,3
2012-10-01,Beijing,4610.921092,0,4
2013-01-01,Beijing,3589.759241,0,5
2013-04-01,Beijing,4357.544628,0,6
2013-07-01,Beijing,4018.097539,0,7
2013-10-01,Beijing,5187.172839,0,8
2014-01-01,Beijing,3772.074371,0,9
2014-04-01,Beijing,4569.022029,0,10
2014-07-01,Beijing,4259.014806,0,11
2014-10-01,Beijing,5598.663081,0,12
2015-01-01,Beijing,4030.519164,0,13
2015-04-01,Beijing,4862.408932,0,14
2015-07-01,Beijing,4507.678759,0,15
2015-10-01,Beijing,5874.013345,0,16
2016-01-01,Beijing,4541.294035,0,17
2016-04-01,Beijing,4944.574792,0,18
2016-07-01,Beijing,4887.745554,0,19
2016-10-01,Beijing,6817.532758,0,20
2017-01-01,Beijing,4949.090591,0,21
2017-04-01,Beijing,5161.233386,0,22
2017-07-01,Beijing,5780.081914,0,23
2017-10-01,Beijing,6799.652589,0,24
2018-01-01,Beijing,5796.737019,0,25
2018-04-01,Beijing,6372.87256,0,26
2018-07-01,Beijing,6580.559816,0,27
2018-10-01,Beijing,7417.869023,0,28
2019-01-01,Beijing,6126.182993,0,29
2019-04-01,Beijing,6725.563871,0,30
2019-07-01,Beijing,6894.785416,0,31
2019-10-01,Beijing,7576.190171,0,32
2020-01-01,Beijing,5659.531884,0,33
2020-04-01,Beijing,6664.270239,0,34
2020-07-01,Beijing,7253.662774,0,35
2020-10-01,Beijing,7879.888472,0,36
2012-01-01,Tianjin,2324.949573,0,1
2012-04-01,Tianjin,2936.110193,0,2
2012-07-01,Tianjin,2957.589621,0,3
2012-10-01,Tianjin,3337.59172,0,4
2013-01-01,Tianjin,2560.097428,0,5
2013-04-01,Tianjin,3191.649646,0,6
2013-07-01,Tianjin,3140.239041,0,7
2013-10-01,Tianjin,3659.858013,0,8
2014-01-01,Tianjin,2722.121236,0,9
2014-04-01,Tianjin,3410.433368,0,10
2014-07-01,Tianjin,3334.46605,0,11
2014-10-01,Tianjin,3963.731377,0,12
2015-01-01,Tianjin,3129.262272,0,13
2015-04-01,Tianjin,3497.508093,0,14
2015-07-01,Tianjin,3698.098712,0,15
2015-10-01,Tianjin,3561.492035,0,16
2016-01-01,Tianjin,3340.109502,0,17
2016-04-01,Tianjin,3685.880324,0,18
2016-07-01,Tianjin,3940.82678,0,19
2016-10-01,Tianjin,3740.650129,0,20
2017-01-01,Tianjin,3768.722298,0,21
2017-04-01,Tianjin,3799.166201,0,22
2017-07-01,Tianjin,3255.70472,0,23
2017-10-01,Tianjin,4122.099151,0,24
2018-01-01,Tianjin,2390.543269,0,25
