Region,Armenia,Australia,Austria,Azerbaijan,Belgium,Botswana,Brazil,Bulgaria,Canada,Chile,Croatia,Cyprus,Czech Republic,Denmark,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Latvia,Lithuania,Luxembourg,Macau,Malaysia,Malta,Mexico,Netherlands,New Zealand,Norway,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Kingdom,United States
2002-12-31,1115.263769,270693.2444,94766.91262,5791.305251,116032.3761,2440.097085,417794.3026,10834.69941,367617.8511,40317.96595,12489.39803,5171.299578,40874.27076,82357.6414,49537.10359,4905.806944,63794.83007,635167.2013,876330.0866,67193.96261,47088.02934,31285.83355,3403.108901,51483.02137,49273.33686,577831.4069,1163890.846,5101.607169,6134.894056,7882.750046,12786.11108,4330.122785,48288.24427,1943.104856,272923.0475,200461.3088,40194.71795,108289.8144,6209.277091,26134.90016,43169.9058,94534.02252,58217.77508,41073.94457,8687.320277,38668.27001,16148.79598,10523.67264,67431.4905,260425.7635,325540.2404,122107.3828,145613.9259,86956.64039,66339.84164,127753.2677,653783.7068,3579964.245
2003-03-31,569.857262,250448.5606,89844.6978,4497.70238,109070.3811,2187.991088,397941.5167,8770.510762,352601.0945,39277.79,12154.5892,4885.2408,37759.72929,77913.44171,49251.50836,4603.091722,57365.60018,619340.9866,835004.5092,64205.88933,43257.25169,27382.64418,3387.49924,49284.17237,49260.36397,541408.5995,1119722.12,4538.131168,5077.671562,7575.289537,12284.83239,3682.959481,46335.91722,1882.828637,269482.0756,197553.4827,38630.17817,106023.9104,5698.452462,25404.65247,38833.09411,81673.89242,56856.12574,23975.80197,7502.029779,38255.83828,15145.80878,9895.992458,65243.95275,237241.6209,307910.3088,114628.5016,139615.0788,79901.74412,68445.17898,109065.5829,654211.2458,3454541.668
2003-06-30,748.2046104,260021.8402,94091.7642,5305.33775,113107.2121,2426.770063,407531.3062,9372.058783,365436.6709,40185.93656,13566.51343,5154.685391,40641.77629,79461.38756,49629.00592,5148.069016,61646.9659,616983.9112,842772.4778,67811.62552,42374.14985,30113.97353,3280.496007,50529.02913,49454.5757,563507.3953,1109846.205,4998.045665,5889.769709,8165.433114,12967.43846,3069.753629,48324.64442,2027.157847,276721.3429,198840.306,38173.66154,101282.9892,6032.631484,28437.20697,40793.59358,86745.12418,57124.76152,31092.55682,8150.02951,38070.9102,16458.32648,10501.75606,67965.71777,249836.6514,322144.426,118808.2555,141863.3483,79477.79842,66210.38767,121836.4425,640822.3071,3549190.502
2003-09-30,1222.837056,264363.3144,94660.50787,6739.365461,108804.5762,2387.460874,421321.0006,11179.9742,367562.9452,38567.69552,15114.26995,5361.558812,41766.89081,78382.94181,51133.76124,5049.74837,61342.73955,610021.6376,868147.8289,71905.9641,47468.27952,31237.13407,3443.010108,50251.18839,50943.21435,549386.2189,1136966.119,5342.675974,5963.975478,9030.551221,12594.78928,4497.39062,50400.43684,2179.896612,273300.8403,190456.8089,37563.74055,102409.5346,6053.74637,26408.81974,40302.39803,87978.7888,58229.86233,38249.99818,8436.247789,40598.10747,16910.85933,10522.24434,68454.65657,252384.7734,313991.7156,109494.7724,143127.9675,86035.38289,66691.30498,138603.3259,668004.5026,3619097.694
2003-12-31,1280.47342,283415.2205,97084.5672,6452.867981,117409.8481,2424.193133,420253.9076,11528.72869,372127.2174,41881.33347,13098.45042,5311.314296,42347.79637,83813.12515,51642.71405,5301.336857,65308.12768,644525.7458,875501.5084,71561.37087,49303.15313,32588.44248,3395.928194,54618.49757,49527.37103,579603.1596,1185897.042,5349.595021,6547.40779,8822.530841,13721.43325,5116.840262,51408.81942,2041.062598,276158.0461,201354.7749,41648.36299,109276.5667,6714.337311,26861.30672,45646.39969,97968.6282,58967.99959,41872.22479,8879.043069,42100.58111,16943.25349,10806.38451,69049.47806,270860.6813,334409.6653,125294.2646,148002.3364,93267.16871,71612.85101,136494.0523,679974.2302,3722031.025
2004-03-31,637.191341,262021.3882,91642.12675,4914.86941,112214.2122,2259.303596,413374.0165,9195.085185,357710.8831,41129.90788,12738.78477,5136.46338,39341.11316,79321.60761,51152.95604,5078.514182,59995.26488,634415.3602,849297.567,68604.46247,46678.08406,28630.20431,3559.119155,53071.92312,51325.96899,547378.8986,1154862.284,4879.132488,5555.342131,8109.491159,13123.06589,4561.252537,50120.54919,1933.785251,278287.6429,200252.4466,40881.34113,110957.031,5975.274361,26566.75889,41619.85907,87535.84097,58031.57707,26199.56078,7964.276421,42211.07851,15866.97912,10295.93418,67689.17955,250812.2002,315936.6103,118542.4228,143742.4003,85440.31302,72911.27478,121025.6052,668852.751,3607728.687
2004-06-30,885.6666625,272148.5367,96639.00323,5831.610004,117223.9155,2292.534643,433239.4267,10049.3805,374728.1617,42453.57188,14054.18979,5423.460056,42564.79396,82340.2525,51604.32447,5357.407717,63853.58624,639416.4879,859136.9931,71226.36176,47512.49466,31722.96953,3483.837703,54916.9593,51250.96608,574049.9678,1133737.668,5384.533091,6368.345436,8768.46096,13548.15333,4725.562787,52164.86041,1975.682198,287243.7201,202909.6381,40277.88899,106680.3357,6431.640869,29500.17046,43850.2198,91320.9064,58854.86834,33464.03216,8469.702237,43213.05943,16969.36589,11046.59077,70501.33727,266395.8334,332594.7571,124254.3827,147196.7258,88058.74718,70394.00634,136157.2001,662400.0529,3700241.795
2004-09-30,1421.090409,275159.6903,97405.07203,7411.710355,113201.4878,2547.398054,448954.6298,12045.94966,383237.6866,41437.24001,15644.78706,5625.510003,43319.96706,81025.38469,53133.50952,5390.668186,63143.28951,626904.2123,870219.2864,75874.83189,50746.75006,32832.45729,3743.759236,53787.14597,53490.99645,558991.9105,1164865.857,5842.262288,6382.906164,9469.937836,13290.63471,5517.866812,53608.56912,2175.85058,282516.8851,194847.5567,39184.65181,104724.2573,6202.017087,27540.18895,42822.60701,90830.43171,59267.46465,42199.89589,9221.368103,44020.38728,18226.70266,11021.88443,71891.58569,265478.412,324816.1056,113893.1272,146898.5543,92102.14956,70456.23958,150225.9043,690657.2428,3740767.564
2004-12-31,1469.980605,290868.4173,99632.5235,6965.020735,121764.8594,2582.24285,446349.0249,12220.44861,386075.0805,45565.01952,13750.46753,5568.030276,44987.63754,85756.16671,53950.74231,5642.593773,68478.34909,661580.3149,882855.1758,73721.4615,53334.59108,34157.93084,3774.082366,56802.15215,52530.53959,585284.7831,1198486.151,5855.557932,7117.249471,9430.293931,13788.40886,5920.865085,53902.2298,2078.749435,286679.2502,206065.7781,42842.32955,113452.6775,6884.269037,28815.78108,48159.83154,102336.6251,59160.0375,47424.9307,10294.39872,45388.01274,17923.0844,11258.85837,72961.52505,280008.79,344926.3809,131105.5784,150241.2732,96624.83899,76365.57281,148158.0738,686064.9543,3848080.339
2005-03-31,732.4323892,269601.7752,94007.19555,6061.886204,115016.2941,2382.80539,430670.93,9924.717206,370346.3188,43676.13252,12910.45301,5383.666399,41767.59334,79784.92128,53516.24203,5304.70785,62457.80095,644180.5238,845258.2243,68833.36425,49654.47241,29566.1842,3641.157827,56201.97274,53019.55742,548405.9577,1167693.758,5373.658685,5888.688289,8556.053285,13219.11618,4916.053137,52925.82033,1920.300232,279614.0107,201990.6443,41092.96523,109734.3859,6118.117234,28061.43203,43709.41746,89960.93108,58602.66578,28643.21,8440.022203,44497.83099,16608.8423,10572.23939,71376.16974,258599.9705,325926.7547,120084.5197,145866.54,88655.1792,75718.8326,132645.3747,684931.2245,3728675.4
2005-06-30,1099.740195,280444.7382,99463.43678,7304.658877,120007.666,2416.277952,452626.7865,10864.70605,385580.0421,44976.35736,14794.92021,5692.770662,45464.28012,85683.93593,54148.50683,5947.781057,65929.63732,654744.6729,870115.7141,71880.48429,50981.90909,33251.12975,3825.141948,58117.55442,53746.96566,579765.5067,1152742.977,5937.415711,6905.81743,9390.102545,13719.09689,5034.904217,54084.57288,2100.145329,294106.4837,207440.7877,41505.12397,111499.418,6458.611038,31101.07822,46331.14727,92765.57903,59540.44642,35469.50076,9127.945749,45913.46884,18441.76046,11586.21827,74159.52106,276878.8716,345195.3642,128817.7716,150809.5022,92303.71621,73443.7883,146911.9948,676301.2189,3830632.949
2005-09-30,1721.00142,283537.9738,98418.62477,9557.617558,115372.4465,2632.475206,458449.9155,12726.5693,395679.1805,43808.97558,16463.60632,5890.265106,46083.49395,83249.65815,56369.28604,5969.804882,64951.67363,639285.4707,882130.1699,75935.23554,54979.17583,34255.87275,4042.890099,56835.79693,55439.1914,566306.7329,1188341.969,6234.8507,7229.715748,10326.48112,13431.9844,5799.05642,56308.08128,2265.00131,288973.1332,199925.2291,40440.53459,109365.6191,6224.716169,29321.40378,44698.03251,94551.01204,59317.71503,42990.89748,9864.407718,47757.61913,19515.9409,11449.51235,75813.42355,278788.6361,336428.4973,117548.4393,151493.8369,96767.07288,73801.65151,162353.534,702718.4883,3896071.99
2005-12-31,1789.891816,299889.307,102370.2729,9223.883934,124792.1553,2691.064625,455948.0072,13065.14938,398813.2433,48081.44143,14439.55357,5842.700298,47749.30481,87474.99187,57597.7527,6291.847134,69233.03935,672496.8124,894558.9148,74512.11319,57305.00122,35746.51189,3943.375808,59968.01718,55775.96861,589755.8361,1227090.783,6204.636519,8125.150766,10271.75994,14714.2558,6649.197652,56916.62895,2113.846583,296013.4668,211034.3781,44112.9983,116916.7533,7235.651982,31004.9986,50435.09488,107792.2018,59692.9631,49153.80835,10509.13944,49542.34739,18893.18476,11696.59355,76630.87256,294742.4401,357536.9258,134969.7115,156079.4763,104000.1892,79312.29476,163614.1392,718023.8401,3960377.118
2006-03-31,887.68289,276196.4382,98128.87854,8511.491005,117849.8011,2673.406133,449099.7555,10432.09063,380646.4836,46276.18872,13748.84655,5633.147169,44783.98792,83439.43116,57160.34412,5871.03477,65253.2886,663336.3011,881715.8808,72742.48116,54125.00489,31019.44917,3946.553108,59801.96392,56258.90881,563134.1941,1197111.516,5825.870419,6564.463998,9203.158453,14356.53336,5865.656841,55906.16431,1990.664313,296307.9238,209640.803,42541.98967,115051.0086,6592.900405,30385.98671,45677.18642,95055.50387,59018.6574,31383.42371,9371.706011,49037.87278,17932.56862,11180.66304,75015.96934,274972.8488,341267.811,126908.9321,152849.104,94022.59225,79890.84323,141201.2637,708171.3187,3860199.501
2006-06-30,1400.118249,287202.0863,101674.435,9836.926929,122626.4341,2667.265253,462961.6019,11640.82637,394906.0704,47825.10486,15405.79336,6003.348764,48338.76464,88762.77314,58355.65613,6485.005066,68369.97661,670973.8065,893833.9089,76368.56529,54094.32722,34457.94302,4066.856174,60226.32224,57417.85628,587728.6661,1168338.523,6362.724215,7764.285403,10168.92942,14787.3319,5880.006603,57134.60408,2149.60029,307839.4775,215088.6257,41846.12526,110872.5914,6685.569908,33069.61144,49073.52024,99846.51801,60646.22628,38575.54229,10141.9208,49942.06771,20082.53075,12185.31584,77740.0387,290517.5853,358164.8626,133592.2042,156710.5598,97509.92029,76723.61257,160672.6422,693559.8641,3969382.845
2006-09-30,1946.766022,292503.4027,101347.0259,12795.60387,118369.6266,2849.281578,479047.0983,13612.29619,403941.629,46273.67017,17215.06783,6146.445145,49118.98069,86623.10333,60269.90034,6554.110434,67390.70723,655776.2274,913305.6044,79051.13967,58492.47788,35541.48414,4252.418066,60799.36877,57753.18903,573527.302,1190155.082,6672.895779,8068.492879,11032.96458,14269.56891,6172.259767,59525.84799,2310.513701,303553.0098,206599.5371,41370.20205,111519.2786,6686.644936,31753.49594,46800.16331,101509.3949,60071.06321,46754.95324,10669.1062,51868.4593,21170.38325,12179.68057,79844.09605,292889.7588,348943.9043,122396.6649,157296.2038,103721.265,77096.79134,172037.443,717969.2025,3964782.596
2006-12-31,2009.62987,308179.5926,105998.8622,12084.23781,128467.5963,3091.307399,477811.6812,14064.65294,408648.4793,51090.77244,15214.28412,6101.69403,50815.16542,90198.69439,61347.71696,6899.412542,72132.98241,691477.5804,938059.5219,79456.70475,61182.61416,37025.86018,4162.875834,61824.99183,58341.98362,600746.2763,1245256.139,6811.32056,9122.126546,10989.88797,14985.27338,7480.607517,59967.87563,2144.738557,306682.7158,218095.0812,45471.45871,121088.892,7323.614913,33275.87219,53467.42747,112267.3297,61271.63973,52089.11012,11440.15412,53769.58122,20831.16837,12435.85196,82078.10354,308797.3566,371907.3897,141969.049,162008.3618,108500.2606,83581.84827,173685.5015,728504.6936,4050648.437
2007-03-31,984.7847308,287910.5061,101807.5009,10916.17013,122352.7728,2994.195955,472429.099,11125.49912,389125.8988,48834.00584,14622.20062,5957.39178,47462.67459,85615.21636,61373.31002,6427.023977,68020.05102,680619.465,917241.3748,74162.82763,57304.34618,31517.59684,4159.768067,64599.05799,58981.52508,576381.4565,1223058.457,6442.08585,7547.26868,10104.09203,15456.9582,6706.92532,58791.29611,2139.323751,302169.4295,216963.7442,43766.45228,117901.968,6968.628532,31992.43305,48492.79553,101954.2826,60392.93723,33987.72686,10056.11691,53236.16135,19616.32584,12095.49641,79841.22344,288692.1404,353229.2184,131987.4276,157781.38,99328.10663,85131.19117,152783.5415,719850.1011,3918313.434
2007-06-30,1598.527528,301506.5449,106066.9348,12249.05088,127539.243,3113.248174,493226.5921,12637.61506,403184.4593,50443.42219,16284.48855,6269.041764,50790.94897,87344.07358,62773.36648,7085.940853,72268.77443,686519.4855,920452.1273,80786.89205,57432.84301,34509.14008,4434.742605,63792.66865,60076.83455,598708.0641,1188931.231,7001.325162,8725.19267,11345.62769,16200.04999,6954.705177,60527.39915,2248.863043,313859.1006,222285.0892,43907.84306,113694.3364,6981.819312,35163.94817,52431.23456,105615.0085,61683.55698,41413.0142,10797.92578,54956.49022,21879.35959,13060.98271,81991.09241,307666.5693,370826.6865,138455.6552,163175.884,104455.5277,80747.10202,165856.5392,707941.8408,4034656.041
2007-09-30,2444.557539,304850.4636,105588.5551,15973.77484,122924.9737,3349.951321,507168.3695,14316.82675,414520.7511,48525.14723,17982.29426,6428.886318,51723.8609,87492.71517,64289.75501,6995.598226,70922.60545,674370.9333,937955.9496,82361.5837,62416.1619,35535.1891,4577.945214,62210.2788,61756.33269,582526.0651,1207236.271,7160.05769,8926.271713,12391.57126,15454.88143,7383.007228,63358.23974,2423.869779,310145.9996,215556.2449,43001.27866,115162.2281,7096.145685,35196.08229,49864.05984,107349.5981,62081.48563,49091.77996,11307.69694,57559.2668,23509.66028,13120.80731,83808.47439,309098.4358,361159.3221,125926.9511,164097.1661,111990.1228,81308.92254,178296.7174,742560.2108,4057988.007
