regionname,year,gdpcap,Terrorism
Andalucia,1955,1.68873183014256,False
Andalucia,1956,1.75849753289657,False
Andalucia,1957,1.8276206972394,False
Andalucia,1958,1.85275629430933,False
Andalucia,1959,1.87803484718652,False
Andalucia,1960,2.0101399600114296,False
Andalucia,1961,2.12917747377702,False
Andalucia,1962,2.28034844571473,False
Andalucia,1963,2.43101972608831,False
Andalucia,1964,2.50885458681727,False
Andalucia,1965,2.5846900275284104,False
Andalucia,1966,2.69444434855945,False
Andalucia,1967,2.80234220537994,False
Andalucia,1968,2.98736079765435,False
Andalucia,1969,3.17909177525729,False
Andalucia,1970,3.35432726531259,False
Andalucia,1971,3.52292206586344,False
Andalucia,1972,3.75621265018031,False
Andalucia,1973,3.98771781234937,False
Andalucia,1974,4.05184220872719,False
Andalucia,1975,4.11218219878026,False
Andalucia,1976,4.22179356400403,False
Andalucia,1977,4.331690840842351,False
Andalucia,1978,4.3051986890464295,False
Andalucia,1979,4.226935178816101,False
Andalucia,1980,4.21151120606166,False
Andalucia,1981,4.20701245654143,False
Andalucia,1982,4.24907153689906,False
Andalucia,1983,4.29163096258212,False
Andalucia,1984,4.3586833379637095,False
Andalucia,1985,4.42659257650716,False
Andalucia,1986,4.66323891764741,False
Andalucia,1987,4.90067107988677,False
Andalucia,1988,5.15959717075813,False
Andalucia,1989,5.41773787637126,False
Andalucia,1990,5.585261162128901,False
Andalucia,1991,5.74921447527269,False
Andalucia,1992,5.64124535846901,False
Andalucia,1993,5.53491849008542,False
Andalucia,1994,5.638817288949809,False
Andalucia,1995,5.72072268553851,False
Andalucia,1996,5.9959296123261705,False
Andalucia,1997,6.300985537335321,False
Aragon,1955,2.28877455736698,False
Aragon,1956,2.44515862202038,False
Aragon,1957,2.60339893296391,False
Aragon,1958,2.63903175752798,False
Aragon,1959,2.67709221577038,False
Aragon,1960,2.8814623608517005,False
Aragon,1961,3.0995429702841606,False
Aragon,1962,3.359183186430549,False
Aragon,1963,3.61418169724945,False
Aragon,1964,3.68009129785463,False
Aragon,1965,3.74528699110522,False
Aragon,1966,3.88331910400042,False
Aragon,1967,4.01613812417992,False
Aragon,1968,4.24364488215421,False
Aragon,1969,4.47622090535517,False
Aragon,1970,4.5962580201694605,False
