regionno,regionname,year,gdpcap,sec.agriculture,sec.energy,sec.industry,sec.construction,sec.services.venta,sec.services.nonventa,school.illit,school.prim,school.med,school.high,popdens,invest,terrorism
1,Spain (Espana),1955,2.3545416380057707,,,,,,,12.353160132842664,80.5879954877082,4.5915193782310455,2.467325001218099,66.33999633789062,18.360183715820312,0
1,Spain (Espana),1956,2.480148581292622,,,,,,,12.353160132842664,80.5879954877082,4.5915193782310455,2.467325001218099,66.33999633789062,18.360183715820312,0
1,Spain (Espana),1957,2.603613148754374,,,,,,,12.353160132842664,80.5879954877082,4.5915193782310455,2.467325001218099,66.33999633789062,18.360183715820312,0
1,Spain (Espana),1958,2.63710359749335,,,,,,,12.353160132842664,80.5879954877082,4.5915193782310455,2.467325001218099,66.33999633789062,18.360183715820312,0
1,Spain (Espana),1959,2.6698801388777316,,,,,,,12.353160132842664,80.5879954877082,4.5915193782310455,2.467325001218099,66.33999633789062,18.360183715820312,0
1,Spain (Espana),1960,2.8699657502292872,,,,,,,12.353160132842664,80.5879954877082,4.5915193782310455,2.467325001218099,66.33999633789062,18.360183715820312,0
1,Spain (Espana),1961,3.0474863539965145,19.540000915527344,4.710000038146973,26.420000076293945,6.269999980926514,36.619998931884766,6.440000057220459,12.353160132842664,80.5879954877082,4.5915193782310455,2.467325001218099,66.33999633789062,18.360183715820312,0
1,Spain (Espana),1962,3.2732791677266317,,,,,,,12.353160132842664,80.5879954877082,4.5915193782310455,2.467325001218099,66.33999633789062,18.360183715820312,0
1,Spain (Espana),1963,3.493501935063754,19.049999237060547,4.309999942779541,26.049999237060547,6.829999923706055,38.0,5.769999980926514,12.353160132842664,80.5879954877082,4.5915193782310455,2.467325001218099,66.33999633789062,18.360183715820312,0
1,Spain (Espana),1964,3.600114279221004,,,,,,,12.353160132842664,80.5879954877082,4.5915193782310455,2.467325001218099,66.33999633789062,18.360183715820312,0
1,Spain (Espana),1965,3.7007998412283993,16.15999984741211,4.309999942779541,27.010000228881836,7.639999866485596,38.400001525878906,6.480000019073486,12.100714803303346,80.5139010994134,4.833874533604653,2.551509563678605,66.33999633789062,20.573060989379883,0
1,Spain (Espana),1966,3.8234790234319216,,,,,,,11.83471135163263,80.42649069924279,5.095729156268443,2.6430687928561327,66.33999633789062,22.26300048828125,0
1,Spain (Espana),1967,3.9396602540178254,14.119999885559082,4.139999866485596,26.739999771118164,7.670000076293945,39.56999969482422,7.760000228881836,11.536179824540103,80.33963587540258,5.383472379412982,2.7407119206443302,66.33999633789062,22.634765625,0
1,Spain (Espana),1968,4.173736005672486,,,,,,,11.228867535593539,79.80406382976919,6.144159392241893,2.8229092423953723,66.33999633789062,23.11261558532715,0
1,Spain (Espana),1969,4.410525738460886,12.8100004196167,4.130000114440918,26.770000457763672,7.840000152587891,40.060001373291016,8.390000343322754,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,23.823501586914062,0
1,Spain (Espana),1970,4.5916882285864755,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,23.45126724243164,0
1,Spain (Espana),1971,4.769065876546433,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,21.700725555419922,0
1,Spain (Espana),1972,5.0742643215219765,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,23.083499908447266,0
1,Spain (Espana),1973,5.373536202268102,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,24.411067962646484,0
1,Spain (Espana),1974,5.506783654028537,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,25.054624557495117,0
1,Spain (Espana),1975,5.632604813105854,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,23.15032958984375,0
1,Spain (Espana),1976,5.697443552679146,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,22.43714141845703,0
1,Spain (Espana),1977,5.75949726905594,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,21.735496520996094,0
1,Spain (Espana),1978,5.716652367599213,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,21.069114685058594,0
1,Spain (Espana),1979,5.687232236799531,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,20.066621780395508,0
1,Spain (Espana),1980,5.710796845432555,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,19.907625198364258,0
1,Spain (Espana),1981,5.759925700636872,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,19.121850967407227,0
1,Spain (Espana),1982,5.825264349694731,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,19.204309463500977,0
1,Spain (Espana),1983,5.89353054191548,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,18.444690704345703,0
1,Spain (Espana),1984,6.004213204012023,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,16.782161712646484,0
1,Spain (Espana),1985,6.116395158721392,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,17.41063690185547,0
1,Spain (Espana),1986,6.496501139183448,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,17.960134506225586,0
1,Spain (Espana),1987,6.878177454321087,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,19.297977447509766,0
1,Spain (Espana),1988,7.242930504091466,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,20.825284957885742,0
1,Spain (Espana),1989,7.608540417023708,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,22.47564125061035,0
1,Spain (Espana),1990,7.794915564024119,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,23.356416702270508,0
1,Spain (Espana),1991,7.978435081606149,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,23.146408081054688,0
1,Spain (Espana),1992,7.834903964380713,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,22.43602752685547,0
1,Spain (Espana),1993,7.692087626191625,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,20.374860763549805,0
1,Spain (Espana),1994,7.889888777592564,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,20.257553100585938,0
1,Spain (Espana),1995,8.094829874221205,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,21.206729888916016,0
1,Spain (Espana),1996,8.324049922678343,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,21.206729888916016,0
1,Spain (Espana),1997,8.670379542786883,,,,,,,10.922384125915464,79.2130546822924,6.904420394603119,2.9601407971890255,66.33999633789062,21.206729888916016,0
2,Andalucia,1955,1.6887318301425598,,,,,,,22.24293645972373,72.86263646682168,3.1163133057573282,1.778113767697257,68.51000213623047,17.4014949798584,0
2,Andalucia,1956,1.758497532896572,,,,,,,22.24293645972373,72.86263646682168,3.1163133057573282,1.778113767697257,68.51000213623047,17.4014949798584,0
2,Andalucia,1957,1.827620697239405,,,,,,,22.24293645972373,72.86263646682168,3.1163133057573282,1.778113767697257,68.51000213623047,17.4014949798584,0
2,Andalucia,1958,1.852756294309327,,,,,,,22.24293645972373,72.86263646682168,3.1163133057573282,1.778113767697257,68.51000213623047,17.4014949798584,0
2,Andalucia,1959,1.8780348471865183,,,,,,,22.24293645972373,72.86263646682168,3.1163133057573282,1.778113767697257,68.51000213623047,17.4014949798584,0
2,Andalucia,1960,2.0101399600114256,,,,,,,22.24293645972373,72.86263646682168,3.1163133057573282,1.778113767697257,68.51000213623047,17.4014949798584,0
2,Andalucia,1961,2.1291774737770237,27.719999313354492,2.7799999713897705,18.450000762939453,6.96999979019165,36.630001068115234,7.449999809265137,22.24293645972373,72.86263646682168,3.1163133057573282,1.778113767697257,68.51000213623047,17.4014949798584,0
2,Andalucia,1962,2.280348445714729,,,,,,,22.24293645972373,72.86263646682168,3.1163133057573282,1.778113767697257,68.51000213623047,17.4014949798584,0
2,Andalucia,1963,2.431019726088305,27.1299991607666,2.549999952316284,18.100000381469727,7.730000019073486,37.66999816894531,6.820000171661377,22.24293645972373,72.86263646682168,3.1163133057573282,1.778113767697257,68.51000213623047,17.4014949798584,0
2,Andalucia,1964,2.508854586817271,,,,,,,22.24293645972373,72.86263646682168,3.1163133057573282,1.778113767697257,68.51000213623047,17.4014949798584,0
2,Andalucia,1965,2.5846900275284073,24.520000457763672,2.6500000953674316,18.18000030517578,8.550000190734863,38.31999969482422,7.78000020980835,21.671712222860915,73.17850056137947,3.281538450634958,1.868248765124661,68.51000213623047,18.308963775634766,0
2,Andalucia,1966,2.694444348559452,,,,,,,21.08206957725674,73.49047034163453,3.4605815322615285,1.9668785488471936,68.51000213623047,18.42999267578125,0
2,Andalucia,1967,2.802342205379936,21.8700008392334,2.6500000953674316,18.219999313354492,8.539999961853027,39.08000183105469,9.649999618530273,20.44060837438573,73.82833950024657,3.657872729598333,2.07317939576936,68.51000213623047,19.115657806396484,0
2,Andalucia,1968,2.9873607976543535,,,,,,,19.78992406374033,73.86038345948073,4.177478932651904,2.1722135441270387,68.51000213623047,20.60848617553711,0
2,Andalucia,1969,3.1790917752572927,19.729999542236328,3.240000009536743,18.43000030517578,8.859999656677246,39.22999954223633,10.520000457763672,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,22.05558967590332,0
2,Andalucia,1970,3.3543272653125893,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,23.313762664794922,0
2,Andalucia,1971,3.5229220658634364,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,22.317508697509766,0
2,Andalucia,1972,3.7562126501803057,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,22.12729263305664,0
2,Andalucia,1973,3.9877178123493735,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,21.80194854736328,0
2,Andalucia,1974,4.051842208727194,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,23.646896362304688,0
2,Andalucia,1975,4.11218219878026,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,22.757415771484375,0
2,Andalucia,1976,4.2217935640040345,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,21.530261993408203,0
2,Andalucia,1977,4.331690840842349,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,18.89835548400879,0
2,Andalucia,1978,4.305198689046433,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,19.81292724609375,0
2,Andalucia,1979,4.226935178816097,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,19.691680908203125,0
2,Andalucia,1980,4.211511206061661,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,20.923221588134766,0
2,Andalucia,1981,4.207012456541435,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,21.830726623535156,0
2,Andalucia,1982,4.249071536899056,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,22.18537712097168,0
2,Andalucia,1983,4.291630962582119,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,21.126863479614258,0
2,Andalucia,1984,4.358683337963707,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,19.924806594848633,0
2,Andalucia,1985,4.426592576507159,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,20.382495880126953,0
2,Andalucia,1986,4.663238917647414,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,19.372650146484375,0
2,Andalucia,1987,4.900671079886774,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,20.49320411682129,0
2,Andalucia,1988,5.159597170758132,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,23.358566284179688,0
2,Andalucia,1989,5.417737876371261,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,25.762292861938477,0
2,Andalucia,1990,5.585261162128901,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,28.31832504272461,0
2,Andalucia,1991,5.74921447527269,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,26.49245262145996,0
2,Andalucia,1992,5.641245358469009,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,24.318729400634766,0
2,Andalucia,1993,5.534918490085422,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,21.183673858642578,0
2,Andalucia,1994,5.638817288949809,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,20.268390655517578,0
2,Andalucia,1995,5.720722685538507,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,22.172574996948242,0
2,Andalucia,1996,5.995929612326166,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,22.172574996948242,0
2,Andalucia,1997,6.300985537335316,,,,,,,19.14690845467394,73.84102624409176,4.698140021789713,2.313925279444581,68.51000213623047,22.172574996948242,0
3,Aragon,1955,2.28877455736698,,,,,,,9.044409374918862,84.10824914651943,4.21677183859595,2.630569639965761,24.040000915527344,21.272478103637695,0
3,Aragon,1956,2.445158622020383,,,,,,,9.044409374918862,84.10824914651943,4.21677183859595,2.630569639965761,24.040000915527344,21.272478103637695,0
3,Aragon,1957,2.603398932963908,,,,,,,9.044409374918862,84.10824914651943,4.21677183859595,2.630569639965761,24.040000915527344,21.272478103637695,0
3,Aragon,1958,2.639031757527983,,,,,,,9.044409374918862,84.10824914651943,4.21677183859595,2.630569639965761,24.040000915527344,21.272478103637695,0
3,Aragon,1959,2.677092215770383,,,,,,,9.044409374918862,84.10824914651943,4.21677183859595,2.630569639965761,24.040000915527344,21.272478103637695,0
