"year","regionname","gdpcap","sec.agriculture","sec.energy","sec.industry","sec.construction","sec.services.venta","sec.services.nonventa","school.illit","school.prim","school.med","school.higher","invest","popdens"
1955,"Spain (Espana)",2.35454163800577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,"Spain (Espana)",2.48014858129262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,"Spain (Espana)",2.60361314875437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,"Spain (Espana)",2.63710359749335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,"Spain (Espana)",2.66988013887773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"Spain (Espana)",2.86996575022929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,"Spain (Espana)",3.04748635399651,19.5400009155273,4.71000003814697,26.4200000762939,6.26999998092651,36.6199989318848,6.44000005722046,NA,NA,NA,NA,NA,NA
1962,"Spain (Espana)",3.27327916772663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,"Spain (Espana)",3.49350193506375,19.0499992370605,4.30999994277954,26.0499992370605,6.82999992370605,38,5.76999998092651,NA,NA,NA,NA,NA,NA
1964,"Spain (Espana)",3.600114279221,NA,NA,NA,NA,NA,NA,10.0287175427568,65.4240886859777,3.72755233812201,2.00305875236026,18.3601837158203,NA
1965,"Spain (Espana)",3.7007998412284,16.1599998474121,4.30999994277954,27.0100002288818,7.6399998664856,38.4000015258789,6.48000001907349,9.89927529588246,65.8662967505827,3.95446513133629,2.08732260874674,20.5730609893799,NA
1966,"Spain (Espana)",3.82347902343192,NA,NA,NA,NA,NA,NA,9.77150478867878,66.4053237678556,4.2073642839982,2.18228891257566,22.2630004882812,NA
1967,"Spain (Espana)",3.93966025401783,14.1199998855591,4.1399998664856,26.7399997711182,7.67000007629395,39.5699996948242,7.76000022888184,9.64538293318095,67.1718510387794,4.50111331475462,2.29150519376567,22.634765625,NA
1968,"Spain (Espana)",4.17373600567249,NA,NA,NA,NA,NA,NA,9.52088835164382,67.6653793734978,5.20959530449628,2.39352754304703,23.1126155853271,NA
1969,"Spain (Espana)",4.41052573846089,12.8100004196167,4.13000011444092,26.7700004577637,7.84000015258789,40.060001373291,8.39000034332275,9.39800137654187,68.1576831909741,5.94080483021515,2.5470086902303,23.8235015869141,66.3399963378906
1970,"Spain (Espana)",4.59168822858648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4512672424316,NA
1971,"Spain (Espana)",4.76906587654643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7007255554199,NA
1972,"Spain (Espana)",5.07426432152198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.0834999084473,NA
1973,"Spain (Espana)",5.3735362022681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4110679626465,NA
1974,"Spain (Espana)",5.50678365402854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0546245574951,NA
1975,"Spain (Espana)",5.63260481310585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1503295898438,NA
1976,"Spain (Espana)",5.69744355267915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.437141418457,NA
1977,"Spain (Espana)",5.75949726905594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7354965209961,NA
1978,"Spain (Espana)",5.71665236759921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0691146850586,NA
1979,"Spain (Espana)",5.68723223679953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0666217803955,NA
1980,"Spain (Espana)",5.71079684543256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9076251983643,NA
1981,"Spain (Espana)",5.75992570063687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1218509674072,NA
1982,"Spain (Espana)",5.82526434969473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.204309463501,NA
1983,"Spain (Espana)",5.89353054191548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4446907043457,NA
1984,"Spain (Espana)",6.00421320401202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7821617126465,NA
1985,"Spain (Espana)",6.11639515872139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4106369018555,NA
1986,"Spain (Espana)",6.49650113918345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9601345062256,NA
1987,"Spain (Espana)",6.87817745432109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2979774475098,NA
1988,"Spain (Espana)",7.24293050409147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8252849578857,NA
1989,"Spain (Espana)",7.60854041702371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4756412506104,NA
1990,"Spain (Espana)",7.79491556402412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3564167022705,NA
1991,"Spain (Espana)",7.97843508160615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1464080810547,NA
1992,"Spain (Espana)",7.83490396438071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4360275268555,NA
1993,"Spain (Espana)",7.69208762619162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3748607635498,NA
1994,"Spain (Espana)",7.88988877759256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2575531005859,NA
1995,"Spain (Espana)",8.0948298742212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.206729888916,NA
1996,"Spain (Espana)",8.32404992267834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Spain (Espana)",8.67037954278688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,"Andalucia",1.68873183014256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,"Andalucia",1.75849753289657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,"Andalucia",1.8276206972394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,"Andalucia",1.85275629430933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,"Andalucia",1.87803484718652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"Andalucia",2.01013996001143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,"Andalucia",2.12917747377702,27.7199993133545,2.77999997138977,18.4500007629395,6.96999979019165,36.6300010681152,7.44999980926514,NA,NA,NA,NA,NA,NA
1962,"Andalucia",2.28034844571473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,"Andalucia",2.43101972608831,27.1299991607666,2.54999995231628,18.1000003814697,7.73000001907349,37.6699981689453,6.82000017166138,NA,NA,NA,NA,NA,NA
