"pollutant_station_code","weather_station_code","time","so2","no2","o3","co","pm10","pm25","pm25_lag1","pres","temp","humi","dewp","prec","WSPM","alert_if","hour_eps","id_eps"
"G110003",54433,"2016-12-14 20:00:00",16,68,15,1,89,54,48,1026.3,0.5,31,-14.7,0,3.5,0,1,3
"G110003",54433,"2016-12-14 21:00:00",32,75,10,1.1,96,69,54,1026.1,0.3,32,-14.5,0,4,0,2,3
"G110003",54433,"2016-12-14 22:00:00",32,80,6,1.3,101,76,69,1026,-0.2,36,-13.5,0,2.2,0,3,3
"G110003",54433,"2016-12-14 23:00:00",33,80,4,1.4,112,83,76,1025.7,-0.7,38,-13.3,0,1.4,0,4,3
"G110003",54433,"2016-12-15 00:00:00",33,78,4,1.4,108,83,83,1025.9,-1.4,42,-12.7,0,1,0,5,3
"G110003",54433,"2016-12-15 01:00:00",26,78,3,1.4,102,78,83,1026,-2.7,47,-12.5,0,1.1,0,6,3
"G110003",54433,"2016-12-15 02:00:00",28,86,4,2.3,114,78,78,1026.3,-3.2,44,-13.7,0,1.6,0,7,3
"G110003",54433,"2016-12-15 03:00:00",25,79,5,2.1,106,74,78,1026.2,-4.9,55,-12.6,0,1.5,0,8,3
"G110003",54433,"2016-12-15 04:00:00",20,76,5,2.3,101,72,74,1025.9,-5.2,58,-12.2,0,0.7,0,9,3
"G110003",54433,"2016-12-15 05:00:00",17,71,3,1.9,86,64,72,1026.2,-6.3,66,-11.6,0,1.2,0,10,3
"G110003",54433,"2016-12-15 06:00:00",15,62,6,1.5,68,36,64,1026.6,-5.2,62,-11.4,0,1.7,0,11,3
"G110003",54433,"2016-12-15 07:00:00",10,26,34,0.4,45,7,36,1027.7,0.8,34,-13.3,0,3.8,0,12,3
"G110003",54433,"2016-12-15 08:00:00",7.33333333333333,29,38.6666666666667,0.4,62.6666666666667,11,7,1028.8,0.5,33,-13.9,0,2.7,0,13,3
"G110003",54433,"2016-12-15 09:00:00",3,2,53,0.366666666666667,3,3,11,1029.5,1.1,31,-14.2,0,4.9,0,14,3
"G110003",54433,"2016-12-15 10:00:00",6,20,47,0.5,6,3,3,1030.7,2.4,28,-14.3,0,2.8,0,15,3
"G110003",54433,"2016-12-15 11:00:00",5,15,55,0.4,20,4,3,1030.8,2.8,26,-14.9,0,4.1,0,16,3
"G110003",54433,"2016-12-15 12:00:00",4,12,60,0.4,19,6,4,1030.3,3.5,24,-15.2,0,4.9,0,17,3
"G110003",54433,"2016-12-15 13:00:00",4,13,62,0.3,23,7,6,1029.8,4.1,22,-15.8,0,4.4,0,18,3
"G110003",54433,"2016-12-15 14:00:00",3,14,63,0.3,29,7,7,1029.2,4.6,21,-15.9,0,4,0,19,3
"G110003",54433,"2016-12-15 15:00:00",3,15,63,0.3,41,9,7,1029.2,4.8,19,-16.9,0,3.9,0,20,3
"G110003",54433,"2016-12-15 16:00:00",3,15,63,0.3,63,8,9,1029.2,4.6,18,-17.7,0,3.6,0,21,3
"G110003",54433,"2016-12-15 17:00:00",3,21,57,0.4,68,3,8,1029.2,4,19,-17.6,0,2.8,0,22,3
"G110003",54433,"2016-12-15 18:00:00",4,37,42,0.5,12,4,3,1029.3,3.6,21,-16.7,0,2,0,23,3
"G110003",54433,"2016-12-15 19:00:00",8,54,25,0.6,19,8,4,1029.6,2.1,23,-16.9,0,1.2,0,24,3
"G110003",54433,"2016-12-15 20:00:00",8,75,7,0.7,25,14,8,1029.8,-0.6,31,-15.7,0,0.6,0,25,3
"G110003",54433,"2016-12-15 21:00:00",9,78,4,1,35,23,14,1029.6,-1.8,36,-14.9,0,0.9,0,26,3
"G110003",54433,"2016-12-15 22:00:00",8,79,2,1.1,35,18,23,1029.1,-2.6,45,-12.9,0,0.1,0,27,3
"G110003",54433,"2016-12-15 23:00:00",8,82,2,1.2,42,18,18,1028.9,-2.1,38,-14.5,0,1.3,0,28,3
"G110003",54433,"2016-12-16 00:00:00",13,85,2,1.8,60,33,18,1028.3,-3.1,41,-14.5,0,1.3,0,29,3
"G110003",54433,"2016-12-16 01:00:00",16,87,2,2,78,40,33,1027.9,-3.8,46,-13.8,0,0.8,0,30,3
"G110003",54433,"2016-12-16 02:00:00",28,95,3,2.2,180,155,40,1027.4,-4.3,54,-12.2,0,1,0,31,3
"G110003",54433,"2016-12-16 03:00:00",35,95,4,2.4,235,206,155,1027.1,-4.9,56,-12.3,0,1,0,32,3
"G110003",54433,"2016-12-16 04:00:00",35,92,6,2.8,210,180,206,1026.8,-4.2,49,-13.3,0,0.8,0,33,3
