sid,state,year,l_homicide,effyear,post
1,Alabama,2000,2.0273557,2006.0,0.0
1,Alabama,2001,2.164867,2006.0,0.0
1,Alabama,2002,1.9363341,2006.0,0.0
1,Alabama,2003,1.9195671,2006.0,0.0
1,Alabama,2004,1.7498412,2006.0,0.0
1,Alabama,2005,2.1304405,2006.0,0.0
1,Alabama,2006,2.0796523,2006.0,0.0
1,Alabama,2007,2.1456904,2006.0,1.0
1,Alabama,2008,2.0435977,2006.0,1.0
1,Alabama,2009,1.9386841,2006.0,1.0
1,Alabama,2010,1.7479398,2006.0,1.0
2,Alaska,2000,1.4915183,2006.0,0.0
2,Alaska,2001,1.8462465,2006.0,0.0
2,Alaska,2002,1.6651237,2006.0,0.0
2,Alaska,2003,1.8232787,2006.0,0.0
2,Alaska,2004,1.7609477,2006.0,0.0
2,Alaska,2005,1.6067477,2006.0,0.0
2,Alaska,2006,1.6813323,2006.0,0.0
2,Alaska,2007,1.8720165,2006.0,1.0
2,Alaska,2008,1.3770998,2006.0,1.0
2,Alaska,2009,1.1695099,2006.0,1.0
2,Alaska,2010,1.4879156,2006.0,1.0
3,Arizona,2000,1.9671516,2006.0,0.0
3,Arizona,2001,2.0407066,2006.0,0.0
3,Arizona,2002,1.9793757,2006.0,0.0
3,Arizona,2003,2.087027,2006.0,0.0
3,Arizona,2004,1.9944618,2006.0,0.0
3,Arizona,2005,2.0324998,2006.0,0.0
3,Arizona,2006,2.1436143,2006.0,0.0
3,Arizona,2007,2.1887076,2006.0,1.0
3,Arizona,2008,1.9680102,2006.0,1.0
3,Arizona,2009,1.7930975,2006.0,1.0
3,Arizona,2010,1.8633447,2006.0,1.0
4,Arkansas,2000,1.8660628,,0.0
4,Arkansas,2001,1.7321641,,0.0
4,Arkansas,2002,1.6844164,,0.0
4,Arkansas,2003,1.9157888,,0.0
4,Arkansas,2004,1.8836236,,0.0
4,Arkansas,2005,1.9453803,,0.0
4,Arkansas,2006,2.0157783,,0.0
4,Arkansas,2007,1.9691905,,0.0
4,Arkansas,2008,1.756988,,0.0
4,Arkansas,2009,1.8416507,,0.0
4,Arkansas,2010,1.5607613,,0.0
5,California,2000,1.8389783,,0.0
5,California,2001,1.8794022,,0.0
5,California,2002,1.9436159,,0.0
5,California,2003,1.9382337,,0.0
5,California,2004,1.9203752,,0.0
5,California,2005,1.9593788,,0.0
5,California,2006,1.9213043,,0.0
5,California,2007,1.8296967,,0.0
5,California,2008,1.7718333,,0.0
5,California,2009,1.6921659,,0.0
5,California,2010,1.5877932,,0.0
6,Colorado,2000,1.1605736,,0.0
6,Colorado,2001,1.2979765,,0.0
6,Colorado,2002,1.402365,,0.0
6,Colorado,2003,1.4253404,,0.0
6,Colorado,2004,1.4969511,,0.0
6,Colorado,2005,1.332892,,0.0
6,Colorado,2006,1.2802231,,0.0
6,Colorado,2007,1.1790891,,0.0
6,Colorado,2008,1.1694129,,0.0
