unit,time,y,treat
China,2011-01,6.6436,0
Armenia,2011-01,13.78041059,0
Belgium,2011-01,8.87978142,0
Bosnia and Herzegovina,2011-01,3.5,0
Bulgaria,2011-01,12.44278035,0
Canada,2011-01,4.6373365,0
Chile,2011-01,20.6298417,0
Colombia,2011-01,4.91319641,0
Croatia,2011-01,6.5,0
Cyprus,2011-01,3.8845727,0
Czech Republic,2011-01,4.54545455,0
Denmark,2011-01,6.62420382,0
Ecuador,2011-01,8.28671789,0
Egypt,2011-01,14.70215463,0
Estonia,2011-01,5.51901336,0
European Union,2011-01,5.58858502,0
Finland,2011-01,7.77202073,0
France,2011-01,4.27745665,0
Georgia,2011-01,17.6938,0
Germany,2011-01,5.31400966,0
Ghana,2011-01,20.84600063,0
Greece,2011-01,7.33220046,0
Hungary,2011-01,7.0,0
Iceland,2011-01,0.859331,0
India,2011-01,9.46745562,0
Ireland,2011-01,0.70140281,0
Israel,2011-01,6.21172354,0
Italy,2011-01,3.95348837,0
Japan,2011-01,0.61791967,0
Jordan,2011-01,7.19983097,0
Kazakhstan,2011-01,19.8,0
Kuwait,2011-01,5.92431398,0
Kyrgyzstan,2011-01,20.51213827,0
Latvia,2011-01,8.3,0
Lithuania,2011-01,15.1,0
Luxembourg,2011-01,10.31612223,0
Malaysia,2011-01,7.91075051,0
Malta,2011-01,3.22190898,0
Mexico,2011-01,4.01880378,0
Moldova,2011-01,4.12130638,0
Mongolia,2011-01,7.7,0
Montenegro,2011-01,2.8,0
Morocco,2011-01,14.06015038,0
Netherlands,2011-01,12.51314406,0
North Macedonia,2011-01,16.93669957,0
Norway,2011-01,22.22222222,0
Pakistan,2011-01,20.88778565,0
Paraguay,2011-01,15.80435398,0
Philippines,2011-01,-2.421875,0
Poland,2011-01,6.2,0
Portugal,2011-01,6.63861618,0
Romania,2011-01,7.37898465,0
Serbia,2011-01,15.9,0
Singapore,2011-01,0.49494234,0
Slovakia,2011-01,4.84581498,0
Slovenia,2011-01,5.18934081,0
South Korea,2011-01,6.82859273,0
Spain,2011-01,7.32501706,0
Sweden,2011-01,1.52671756,0
Switzerland,2011-01,-0.08518437,0
Thailand,2011-01,5.99793175,0
Tunisia,2011-01,6.21761658,0
Ukraine,2011-01,18.0,0
United Kingdom,2011-01,6.76855895,0
United States,2011-01,2.37623762,0
China,2011-02,7.2322,0
Armenia,2011-02,18.58280892,0
Belgium,2011-02,10.79234973,0
Bosnia and Herzegovina,2011-02,4.3,0
Bulgaria,2011-02,14.27120498,0
Canada,2011-02,5.82639715,0
Chile,2011-02,26.87592383,0
Colombia,2011-02,6.68938103,0
Croatia,2011-02,8.0,0
Cyprus,2011-02,3.8845727,0
Czech Republic,2011-02,5.51431601,0
Denmark,2011-02,8.01526718,0
Ecuador,2011-02,6.86347749,0
Egypt,2011-02,16.81528662,0
Estonia,2011-02,5.04141528,0
European Union,2011-02,5.8056872,0
Finland,2011-02,7.58974359,0
France,2011-02,4.4982699,0
Georgia,2011-02,17.4263,0
Germany,2011-02,6.1668682,0
Ghana,2011-02,22.28694374,0
Greece,2011-02,8.5070849,0
Hungary,2011-02,6.3,0
Iceland,2011-02,2.717988,0
India,2011-02,9.54142012,0
