price_item1;price_item2;price_item3;price_item4;price_item5;price_item6;price_item7;price_item8;price_item9;price_item10
2.71;2.73;2.71;2.73;2.61;2.59;2.37;1.61;1.08;1.62
2.73;2.72;2.72;2.73;2.6;2.61;2.38;1.6;1.09;1.61
2.72;2.74;2.72;2.7;2.58;2.63;2.39;1.59;1.08;1.58
2.72;2.75;2.73;2.73;2.61;2.62;2.43;1.62;1.1;1.61
2.73;2.75;2.74;2.75;2.61;2.6;2.43;1.61;1.09;1.61
2.72;2.73;2.72;2.73;2.6;2.6;2.41;1.59;1.09;1.62
1.47;1.47;1.49;1.47;2.61;2.6;2.38;1.44;1.08;1.33
1.47;1.47;1.46;1.48;2.61;2.6;2.38;1.44;1.09;1.32
1.47;1.48;1.47;1.47;2.61;2.62;2.37;1.43;1.09;1.34
1.46;1.48;1.51;1.49;2.61;2.62;2.36;1.44;1.1;1.32
1.47;1.49;1.48;1.48;2.62;2.62;2.36;1.44;1.09;1.41
1.47;1.47;1.48;1.47;2.61;2.59;2.37;1.44;1.1;1.43
1.48;1.48;1.48;1.48;2.59;2.61;2.37;1.44;1.1;1.39
1.47;1.49;1.48;1.48;2.59;2.62;2.37;1.43;1.09;1.3
1.47;1.48;1.48;1.47;2.61;2.62;2.37;1.44;1.08;1.33
1.48;1.49;1.49;1.48;2.61;2.62;2.37;1.44;1.09;1.32
2.75;2.75;2.71;2.74;2.63;2.61;2.35;1.45;1.09;1.32
2.73;2.73;2.75;2.74;2.61;2.62;2.38;1.45;1.1;1.33
2.74;2.75;2.72;2.74;2.61;2.61;2.39;1.45;1.09;1.34
2.73;2.75;2.73;2.74;2.61;2.62;2.38;1.45;1.1;1.33
2.73;2.75;2.75;2.75;2.61;2.62;2.4;1.61;1.09;1.62
2.73;2.75;2.73;2.75;2.61;2.63;2.4;1.62;1.1;1.63
2.74;2.74;2.75;2.75;2.62;2.63;2.39;1.61;1.09;1.63
2.73;2.74;2.74;2.75;2.62;2.61;2.36;1.6;1.09;1.6
2.73;2.74;2.74;2.74;2.62;2.62;2.38;1.61;1.1;1.62
2.75;2.75;2.73;2.75;2.61;2.63;2.38;1.62;1.1;1.62
2.74;2.75;2.75;2.75;2.63;2.63;2.38;1.62;1.1;1.62
2.75;2.73;2.75;2.75;2.63;2.63;2.39;1.62;1.1;1.62
2.74;2.75;2.74;2.75;2.63;2.63;2.39;1.62;1.1;1.63
2.74;2.75;2.75;2.75;2.63;2.63;2.39;1.62;1.1;1.62
2.75;2.75;2.75;2.75;2.62;2.62;2.37;1.6;1.09;1.59
2.74;2.75;2.75;2.75;2.63;2.62;2.4;1.62;1.1;1.63
2.75;2.75;2.74;2.75;2.62;2.62;2.39;1.61;1.1;1.63
2.73;2.75;2.74;2.75;2.62;2.62;2.4;1.63;1.1;1.64
2.74;2.74;2.74;2.75;2.63;2.63;2.38;1.62;1.1;1.33
2.74;2.75;2.75;2.75;2.63;2.63;2.39;1.62;1.1;1.32
2.75;2.75;2.75;2.75;2.63;2.63;2.38;1.62;1.1;1.34
2.75;2.75;2.75;2.75;2.63;2.62;2.36;1.59;1.09;1.29
2.74;2.75;2.75;2.75;2.63;2.63;2.4;1.62;1.1;1.37
2.73;2.75;2.75;2.75;2.63;2.63;2.39;1.62;1.1;1.35
2.74;2.75;2.75;2.75;2.63;2.63;2.39;1.63;1.1;1.34
2.74;2.75;2.75;2.76;2.63;2.62;2.4;1.62;1.1;1.35
2.75;2.75;2.75;2.75;2.63;2.63;2.4;1.62;1.09;1.33
2.75;2.75;2.75;2.75;2.63;2.63;2.39;1.62;1.1;1.35
2.75;2.75;2.75;2.75;2.63;2.63;2.37;1.6;1.09;1.29
1.69;1.69;1.71;1.7;1.61;1.62;2.39;1.01;0.69;1.37
1.68;1.68;1.71;1.68;1.6;1.61;2.4;1;0.69;1.34
1.69;1.68;1.7;1.69;1.6;1.6;2.41;1;0.68;1.37
1.68;1.68;1.69;1.69;1.6;1.61;2.4;1;0.68;1.62
1.68;1.66;1.7;1.69;1.6;1.6;2.4;0.99;0.68;1.62
1.67;1.68;1.68;1.68;1.61;1.61;2.4;0.99;0.68;1.61
1.67;1.67;1.69;1.68;1.61;1.62;2.37;0.99;0.67;1.59
1.7;1.71;1.7;1.69;1.62;1.63;2.41;1.01;0.68;1.61
1.69;1.69;1.69;1.69;1.62;1.61;2.4;0.99;0.69;1.62
1.7;1.72;1.71;1.7;1.61;1.63;2.4;0.99;0.68;1.63
1.7;1.68;1.71;1.7;1.61;1.62;2.4;1;0.69;1.63
1.68;1.68;1.68;1.68;1.6;1.62;2.4;0.99;0.68;1.62
1.68;1.67;1.68;1.68;1.61;1.61;2.4;0.98;0.67;1.62
1.68;1.67;1.71;1.68;1.61;1.62;2.37;1.01;0.68;1.61
1.7;1.7;1.69;1.69;1.63;1.62;2.4;1.01;0.68;1.62
1.7;1.68;1.71;1.7;1.63;1.63;1.47;1;0.68;1.62
1.7;1.69;1.7;1.69;1.63;1.62;1.94;1;0.68;1.62
2.75;2.75;2.74;2.76;2.63;2.63;1.45;1.62;1.1;1.63
2.75;2.75;2.75;2.75;2.63;2.63;1.45;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.64;2.63;1.44;1.62;1.1;1.62
2.75;2.75;2.75;2.75;2.63;2.63;1.42;1.59;1.09;1.61
2.75;2.75;2.75;2.76;2.64;2.63;1.46;1.62;1.1;1.63
2.75;2.75;2.75;2.76;2.64;2.63;1.45;1.62;1.1;1.61
2.75;2.75;2.75;2.76;2.64;2.63;1.45;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.64;2.63;1.46;1.62;1.1;1.63
2.75;2.75;2.75;2.76;2.63;2.63;1.45;1.63;1.1;1.62
2.75;2.75;2.75;2.76;2.63;2.63;1.45;1.62;1.1;1.62
2.75;2.75;2.75;2.75;2.63;2.63;1.41;1.6;1.09;1.6
2.75;2.75;2.75;2.76;2.64;2.63;1.51;1.63;1.1;1.63
2.75;2.75;2.75;2.75;2.64;2.63;1.56;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.64;2.63;1.51;1.63;1.1;1.63
2.75;2.75;2.75;2.75;2.64;2.63;2.4;1.62;1.1;1.61
2.75;2.75;2.75;2.76;2.64;2.63;2.4;1.62;1.1;1.63
2.75;2.75;2.75;2.75;2.63;2.63;2.4;1.61;1.1;1.61
2.75;2.75;2.75;2.75;2.63;2.62;2.37;1.59;1.09;1.6
2.75;2.75;2.75;2.76;2.64;2.63;2.42;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.64;2.63;2.41;1.63;1.1;1.62
2.75;2.75;2.75;2.76;2.64;2.63;2.41;1.62;1.1;1.63
2.75;2.75;2.75;2.76;2.64;2.63;2.41;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.64;2.63;2.4;1.61;1.1;1.62
2.75;2.75;2.75;2.75;2.63;2.63;2.4;1.61;1.1;1.62
2.75;2.75;2.75;2.75;2.63;2.63;2.37;1.6;1.09;1.61
2.75;2.75;2.75;2.76;2.63;2.62;2.41;1.62;1.1;1.62
2.74;2.75;2.74;2.76;2.63;2.63;2.42;1.63;1.1;1.63
2.75;2.75;2.75;2.75;2.63;2.63;2.41;1.62;1.1;1.63
2.74;2.75;2.74;2.75;2.63;2.63;2.4;1.62;1.1;1.61
2.74;2.75;2.75;2.75;2.63;2.63;2.4;1.61;1.1;1.62
1.48;1.49;1.5;1.53;2.63;2.63;2.03;1.61;1.1;1.61
1.49;1.5;1.51;1.49;2.63;2.63;2;1.59;1.09;1.6
1.49;1.5;1.51;1.57;2.63;2.62;2.04;1.62;1.1;1.61
1.49;1.5;1.51;1.56;2.64;2.62;2.04;1.62;1.1;1.62
1.48;1.5;1.5;1.55;2.63;2.63;2.03;1.61;1.1;1.62
1.5;1.5;1.5;1.58;2.63;2.62;2.04;1.62;1.1;1.61
1.49;1.5;1.5;1.56;2.63;2.62;2.04;1.62;1.1;1.62
1.51;1.55;1.52;1.6;2.63;2.62;2.04;1.61;1.1;1.61
1.52;1.54;1.55;1.54;2.63;2.62;2;1.59;1.09;1.6
1.52;1.58;1.56;1.66;2.63;2.63;2.04;1.63;1.1;1.62
2.75;2.75;2.74;2.75;2.63;2.62;2.42;1.62;1.1;1.62
2.74;2.74;2.74;2.75;2.63;2.63;2.44;1.62;1.1;1.62
2.72;2.73;2.73;2.75;2.63;2.62;2.44;1.62;1.1;1.61
2.74;2.73;2.74;2.74;2.63;2.62;2.43;1.61;1.1;1.62
2.75;2.75;2.75;2.75;2.64;2.63;2.42;1.61;1.1;1.61
2.75;2.75;2.75;2.75;2.63;2.63;2.38;1.6;1.09;1.59
2.75;2.75;2.75;2.76;2.64;2.63;2.44;1.62;1.1;1.63
2.75;2.75;2.75;2.76;2.64;2.63;2.44;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.64;2.63;2.44;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.64;2.63;2.44;1.62;1.1;1.62
2.75;2.75;2.75;2.75;2.63;2.63;2.44;1.62;1.1;1.62
2.75;2.75;2.75;2.75;2.63;2.63;2.43;1.62;1.1;1.62
2.75;2.75;2.75;2.75;2.63;2.63;2.43;1.62;1.1;1.62
2.75;2.75;2.75;2.75;2.63;2.63;2.43;1.62;1.1;1.62
2.75;2.75;2.75;2.75;2.63;2.63;2.43;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.64;2.63;2.43;1.62;1.1;1.62
2.75;2.75;2.75;2.75;2.64;2.63;2.43;1.62;1.1;1.62
2.75;2.75;2.75;2.75;2.64;2.63;2.44;1.62;1.1;1.63
2.75;2.75;2.75;2.76;2.64;2.63;2.43;1.61;1.1;1.62
2.75;2.75;2.75;2.75;2.63;2.63;2.41;1.62;1.09;1.62
2.75;2.75;2.75;2.75;2.63;2.63;2.42;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.64;2.63;2.45;1.62;1.1;1.64
2.75;2.75;2.75;2.76;2.64;2.63;2.42;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.63;2.63;2.42;1.62;1.1;1.61
2.75;2.75;2.75;2.76;2.63;2.63;2.41;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.63;2.63;2.42;1.62;1.1;1.62
2.75;2.75;2.75;2.75;2.63;2.63;2.39;1.61;1.09;1.61
2.75;2.75;2.75;2.75;2.64;2.63;2.43;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.63;2.63;2.42;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.64;2.63;2.41;1.62;1.1;1.62
2.75;2.75;2.75;2.76;2.64;2.63;2.42;1.61;1.1;1.63
2.75;2.75;2.75;2.76;2.64;2.63;2.43;1.62;1.1;1.62
2.75;2.75;2.75;2.75;2.63;2.63;2.42;1.62;1.1;1.4
2.75;2.75;2.75;2.75;2.63;2.63;2.4;1.6;1.09;1.39
2.75;2.75;2.75;2.76;2.64;2.63;2.52;1.62;1.1;1.4
2.75;2.75;2.75;2.76;2.64;2.63;2.54;1.62;1.1;1.4
2.75;2.75;2.75;2.76;2.64;2.63;2.61;1.62;1.1;1.41
2.75;2.75;2.75;2.76;2.64;2.63;2.71;1.62;1.1;1.39
2.75;2.75;2.75;2.75;2.64;2.63;2.41;1.62;1.1;1.42
2.75;2.75;2.75;2.76;2.63;2.63;2.38;1.61;1.1;1.41
2.75;2.75;2.75;2.75;2.63;2.63;2.37;1.59;1.09;1.38
2.75;2.75;2.75;2.76;2.64;2.63;2.39;1.62;1.1;1.47
2.75;2.75;2.37;2.45;2.29;2.63;2.4;1.42;1.1;1.62
2.75;2.75;2.37;2.44;2.29;2.63;2.4;1.42;1.1;1.62
2.75;2.75;2.36;2.44;2.29;2.63;2.4;1.42;1.1;1.62
2.75;2.75;2.37;2.44;2.28;2.63;2.39;1.42;1.1;1.62
