item1;item2;item3;item4;item5;item6;item7;item8;item9;item10
422;309;356;543;690;510;898;586;891;178
529;362;448;659;879;660;1002;661;1039;184
149;107;118;148;246;154;193;172;200;50
398;268;298;448;712;508;511;525;732;165
287;250;270;389;607;366;374;457;618;119
381;316;323;507;600;381;502;483;609;144
2167;1735;1758;2662;547;377;519;616;641;217
2766;1883;2079;2789;696;468;751;735;731;338
3719;2635;2696;3789;983;740;1321;976;1007;256
887;627;683;913;282;202;383;225;198;50
2319;1525;1775;2330;790;447;1004;749;694;122
2059;1336;1579;1979;673;420;938;707;563;99
2029;1349;1358;1925;670;400;915;631;565;75
2211;1560;1632;1949;698;422;1066;684;574;262
2280;1631;1709;2286;821;519;1291;785;712;300
2608;1818;1746;2244;1174;770;2020;866;1035;383
129;123;127;120;284;172;517;176;210;72
402;315;277;352;775;428;1256;592;645;254
336;285;264;330;649;404;1156;586;604;245
251;230;231;337;622;332;1062;422;523;197
308;261;253;397;618;379;1098;396;599;121
365;310;333;387;823;469;1254;506;732;119
553;368;475;641;1120;678;1871;659;1002;193
178;105;117;126;309;188;595;161;237;45
392;287;333;372;741;477;1483;472;636;148
320;250;246;361;637;395;1177;408;553;113
296;247;281;295;615;381;1223;403;555;117
304;251;265;367;631;419;1206;419;584;119
425;305;348;467;792;489;1586;480;700;194
631;431;489;626;1091;731;2302;690;947;229
173;140;150;146;357;233;619;185;243;49
423;319;326;445;842;555;1568;522;687;161
339;287;294;426;686;470;1280;511;657;176
319;261;262;383;620;402;1220;364;541;132
336;254;319;426;619;414;1572;448;647;248
461;327;379;536;799;465;1999;584;845;297
682;441;524;695;1224;827;3204;739;1035;389
176;93;124;131;303;188;662;148;231;70
385;269;314;413;690;452;1855;495;682;263
358;295;293;460;692;420;1443;461;638;242
374;268;295;373;690;391;1423;453;622;286
349;315;302;434;739;388;1197;512;675;243
469;360;395;549;888;497;2068;569;899;272
697;513;576;765;1199;845;2961;760;1105;400
201;97;118;188;334;188;694;127;241;87
1416;862;612;1507;2798;1162;1771;803;1240;223
1415;1090;597;1579;2854;984;1464;905;1178;231
1233;983;621;1497;2792;950;1301;814;1115;188
1289;937;768;1603;2931;1107;1313;871;1265;104
1765;1129;920;2023;3215;1323;1734;1017;1601;167
2528;1543;1193;2674;4219;1859;2354;1347;1758;201
620;397;268;569;1183;499;630;311;389;34
1443;829;667;1534;2691;1092;1484;956;1227;158
1253;855;652;1483;2534;1049;1354;997;1166;147
1242;766;671;1487;2427;1031;1376;974;1181;103
1406;963;685;1424;2593;1080;1279;945;1261;118
1815;1199;925;1967;3189;1382;1737;1162;1587;176
2416;1436;1170;2414;4019;1887;2474;1312;1968;211
681;367;358;630;1032;393;628;301;460;54
1507;968;845;1682;2243;1230;1653;1042;1368;185
975;714;799;1245;1548;1033;5435;1005;1216;152
