"dates" "sat" "sun" "hol" "excl.dates"
"1" "2017-09-01" 0 0 0 0
"2" "2017-09-02" 1 0 0 0
"3" "2017-09-03" 0 1 0 0
"4" "2017-09-04" 0 0 0 0
"5" "2017-09-05" 0 0 0 0
"6" "2017-09-06" 0 0 0 0
"7" "2017-09-07" 0 0 0 0
"8" "2017-09-08" 0 0 0 0
"9" "2017-09-09" 1 0 0 0
"10" "2017-09-10" 0 1 0 0
"11" "2017-09-11" 0 0 0 0
"12" "2017-09-12" 0 0 0 0
"13" "2017-09-13" 0 0 0 0
"14" "2017-09-14" 0 0 0 0
"15" "2017-09-15" 0 0 0 0
"16" "2017-09-16" 1 0 0 0
"17" "2017-09-17" 0 1 0 0
"18" "2017-09-18" 0 0 0 0
"19" "2017-09-19" 0 0 0 0
"20" "2017-09-20" 0 0 0 0
"21" "2017-09-21" 0 0 0 0
"22" "2017-09-22" 0 0 0 0
"23" "2017-09-23" 1 0 0 0
"24" "2017-09-24" 0 1 0 0
"25" "2017-09-25" 0 0 0 0
"26" "2017-09-26" 0 0 0 0
"27" "2017-09-27" 0 0 0 0
"28" "2017-09-28" 0 0 0 0
"29" "2017-09-29" 0 0 0 0
"30" "2017-09-30" 1 0 0 0
"31" "2017-10-01" 0 1 0 0
"32" "2017-10-02" 0 0 0 0
"33" "2017-10-03" 0 0 0 0
"34" "2017-10-04" 0 0 0 0
"35" "2017-10-05" 0 0 0 0
"36" "2017-10-06" 0 0 0 0
"37" "2017-10-07" 1 0 0 0
"38" "2017-10-08" 0 1 0 0
"39" "2017-10-09" 0 0 0 0
"40" "2017-10-10" 0 0 0 0
"41" "2017-10-11" 0 0 0 0
"42" "2017-10-12" 0 0 0 0
"43" "2017-10-13" 0 0 0 0
"44" "2017-10-14" 1 0 0 0
"45" "2017-10-15" 0 1 0 0
"46" "2017-10-16" 0 0 0 0
"47" "2017-10-17" 0 0 0 0
"48" "2017-10-18" 0 0 0 0
"49" "2017-10-19" 0 0 0 0
"50" "2017-10-20" 0 0 0 0
"51" "2017-10-21" 1 0 0 0
"52" "2017-10-22" 0 1 0 0
"53" "2017-10-23" 0 0 0 0
"54" "2017-10-24" 0 0 0 0
"55" "2017-10-25" 0 0 0 0
"56" "2017-10-26" 0 0 0 0
"57" "2017-10-27" 0 0 0 0
"58" "2017-10-28" 1 0 0 0
"59" "2017-10-29" 0 1 0 0
"60" "2017-10-30" 0 0 0 0
"61" "2017-10-31" 0 0 1 0
"62" "2017-11-01" 0 0 0 0
"63" "2017-11-02" 0 0 1 0
"64" "2017-11-03" 0 0 0 0
"65" "2017-11-04" 1 0 0 0
"66" "2017-11-05" 0 1 0 0
"67" "2017-11-06" 0 0 0 0
"68" "2017-11-07" 0 0 0 0
"69" "2017-11-08" 0 0 0 0
"70" "2017-11-09" 0 0 0 0
"71" "2017-11-10" 0 0 0 0
"72" "2017-11-11" 1 0 0 0
"73" "2017-11-12" 0 1 0 0
"74" "2017-11-13" 0 0 0 0
"75" "2017-11-14" 0 0 0 0
