item1;item2;item3;item4;item5;item6;item7;item8;item9;item10
606;451;536;823;907;415;1250;988;1044;159
680;555;687;1071;1071;488;1752;1097;1181;181
177;111;124;250;293;131;417;293;265;41
502;378;450;721;844;408;1346;871;961;155
440;351;423;648;696;326;1144;761;766;138
444;362;415;661;683;304;1237;715;798;125
303;228;265;467;667;252;1097;644;1254;206
381;278;338;566;745;319;1230;848;1525;268
500;399;464;840;1092;440;1731;1140;2033;339
77;69;80;158;284;89;449;267;468;98
346;281;323;557;862;354;1314;825;1376;250
302;216;252;512;780;283;1114;716;1170;195
278;224;276;417;618;239;1016;654;1150;182
309;242;271;509;785;291;1154;705;1245;166
322;325;366;731;862;356;1308;844;1452;229
780;593;707;2001;1672;659;2702;1756;2008;328
199;158;195;532;384;152;782;403;467;83
640;492;622;1573;1229;465;2273;1239;1569;237
706;522;618;1657;1190;429;2227;1313;1332;263
563;526;587;1312;1052;427;2003;1071;1207;200
590;512;629;1400;1085;442;1990;1228;1177;196
790;658;734;1866;1289;571;2321;1458;1477;275
1106;783;943;2520;1880;899;2469;1656;1720;296
212;173;210;588;465;185;486;431;420;68
714;578;669;1625;1383;616;1542;1351;1319;199
621;514;651;1510;1165;474;1696;1235;1203;222
724;528;662;1472;1076;498;1913;1187;1063;179
749;581;652;1503;1082;521;1978;1377;1204;190
887;735;872;1957;1386;675;2571;1632;1574;289
1291;934;1067;2721;1976;875;3320;2077;2005;326
195;140;171;455;299;119;593;306;298;42
587;406;514;1142;913;388;1642;892;983;139
537;373;451;921;871;384;1424;741;845;141
444;332;394;690;696;325;1124;665;735;108
450;371;464;706;800;336;1253;801;781;135
623;498;539;921;879;424;1503;893;1042;157
808;613;725;1248;1335;549;2076;1261;1368;208
164;138;157;256;325;91;431;282;271;39
530;404;497;785;911;375;1437;864;925;142
519;457;443;678;812;369;1319;821;899;128
508;365;411;729;811;322;1327;791;854;140
537;397;482;736;838;343;1355;802;768;138
661;524;579;988;1026;408;1621;1049;1103;176
1632;1224;1286;2229;1711;738;2827;1418;1484;244
170;138;147;308;300;129;432;287;278;34
418;320;351;714;754;292;1323;765;924;138
367;290;333;532;606;267;1098;693;824;137
333;296;325;634;555;247;1036;696;711;116
336;337;352;596;544;229;1055;689;718;126
448;365;464;771;739;286;1343;848;911;146
621;484;602;990;1023;441;1942;1115;1236;203
118;92;103;207;237;85;394;284;275;32
429;308;383;570;673;273;1306;789;818;138
366;308;321;529;528;220;1013;680;698;104
350;314;321;560;539;224;945;660;708;108
387;298;366;588;559;253;1024;674;757;124
506;390;479;723;728;333;1400;1003;1002;159
614;503;554;989;1026;413;1961;1184;1194;177
124;99;117;225;217;84;428;241;234;32
421;340;405;645;845;343;1402;819;834;172
416;322;337;672;737;285;1130;791;826;145
341.5;305;323;597;547;235.5;990.5;678;709.5;112
516;460;483;800;841;370;1260;1033;1009;139
645;530;637;917;925;389;1375;1086;1125;183
