country,year,gdp,Handover
Australia,1961,19997.5450015954,0
Australia,1962,19767.9570765171,0
Australia,1963,20597.9260588196,0
Australia,1964,21607.4922239031,0
Australia,1965,22455.2509839049,0
Australia,1966,22470.5176072033,0
Australia,1967,23587.6281171848,0
Australia,1968,24355.6282531611,0
Australia,1969,25531.5365288498,0
Australia,1970,26829.7630995603,0
Australia,1971,26975.665521972,0
Australia,1972,27520.0005055853,0
Australia,1973,27812.4455074509,0
Australia,1974,28231.0239084901,0
Australia,1975,28258.0654813537,0
Australia,1976,28700.2946314702,0
Australia,1977,29399.0024788699,0
Australia,1978,29318.7463550853,0
Australia,1979,30178.3894488631,0
Australia,1980,30717.7780327511,0
Australia,1981,31251.8203349363,0
Australia,1982,31736.0447520616,0
Australia,1983,30608.3684024318,0
Australia,1984,31632.3892749783,0
Australia,1985,32861.4162378766,0
Australia,1986,33674.1705521479,0
Australia,1987,34014.7354121968,0
Australia,1988,35389.4553320904,0
Australia,1989,36143.1477787181,0
Australia,1990,36886.1444273767,0
Australia,1991,36279.7540525751,0
Australia,1992,36029.4845675544,0
Australia,1993,37155.5123959647,0
Australia,1994,38264.146671105,0
Australia,1995,39310.7982327944,0
Australia,1996,40337.1060519133,0
Australia,1997,41464.4982180697,0
Australia,1998,42967.6616681962,0
Australia,1999,44636.9418129494,0
Australia,2000,45859.5162097045,0
Australia,2001,46191.3142366289,0
Australia,2002,47486.2783216389,0
Australia,2003,48394.1269478095,0
Australia,2004,49902.0187022536,0
Australia,2005,50853.1976727529,0
Australia,2006,51553.9685966991,0
Australia,2007,52531.7611201084,0
Australia,2008,53336.1012157008,0
Australia,2009,53237.0077642312,0
Australia,2010,53578.8125049759,0
Austria,1961,12484.808698261,0
Austria,1962,12737.1853190514,0
Austria,1963,13179.3523970527,0
Austria,1964,13893.5857879381,0
Austria,1965,14283.9973249596,0
Austria,1966,14984.5529746625,0
Austria,1967,15320.3582690899,0
Austria,1968,15922.6386016982,0
Austria,1969,16863.5862812465,0
Austria,1970,18001.7830030928,0
Austria,1971,18838.3155442359,0
Austria,1972,19891.8260269583,0
Austria,1973,20749.3440323726,0
Austria,1974,21530.6341614326,0
Austria,1975,21509.3123873093,0
Austria,1976,22533.8803939277,0
Austria,1977,23669.5086470357,0
Austria,1978,23638.778362566,0
Austria,1979,24947.5270987894,0
Austria,1980,25379.4629438114,0
Austria,1981,25278.2953301423,0
Austria,1982,25768.2192783576,0
Austria,1983,26577.2454979127,0
Austria,1984,26592.5469892204,0
Austria,1985,27244.2147682295,0
Austria,1986,27853.5049571295,0
Austria,1987,28213.6633511624,0
Austria,1988,29102.3223039964,0
Austria,1989,30097.6513408526,0
Austria,1990,31167.1858089051,0
Austria,1991,31919.5572961167,0
Austria,1992,32231.1217246909,0
Austria,1993,32134.8299098991,0
Austria,1994,32780.342031078,0
Austria,1995,33603.4277668346,0
Austria,1996,34301.6562559914,0
Austria,1997,34998.0320577293,0
Austria,1998,36180.7490843101,0
Austria,1999,37468.8699525693,0
Austria,2000,38571.0858515901,0
Austria,2001,38929.753817402,0
Austria,2002,39313.7226059057,0
Austria,2003,39569.2886405101,0
Austria,2004,40333.330706218,0
Austria,2005,40989.013215254,0
Austria,2006,42120.1557756904,0
Austria,2007,43568.8302726368,0
Austria,2008,44063.8642404045,0
Austria,2009,42372.4758387703,0
Austria,2010,43035.407467795,0
Canada,1961,15605.5232231718,0
Canada,1962,16455.7535157788,0
Canada,1963,17007.690740283,0
Canada,1964,17800.8641257816,0
Canada,1965,18585.8814554728,0
Canada,1966,19476.0270404506,0
Canada,1967,19715.0936178811,0
Canada,1968,20371.1440609775,0
Canada,1969,21114.287049668,0
Canada,1970,21428.9091562301,0
Canada,1971,21642.5407785898,0
Canada,1972,22573.5662845611,0
Canada,1973,23799.6955335027,0
Canada,1974,24257.8167998797,0
Canada,1975,24275.8127521832,0
Canada,1976,25369.4634276064,0
Canada,1977,25960.6392190527,0
Canada,1978,26663.7707119666,0
Canada,1979,27384.677926987,0
Canada,1980,27622.3733827823,0
Canada,1981,28215.5308546984,0
Canada,1982,26999.0790715116,0
Canada,1983,27418.4916003319,0
Canada,1984,28762.9721968164,0
Canada,1985,29851.643282805,0
Canada,1986,30183.4087849598,0
Canada,1987,31001.1298424264,0
Canada,1988,31951.5504814006,0
Canada,1989,32116.9233356971,0
Canada,1990,31700.5462697892,0
Canada,1991,30654.3331377446,0
Canada,1992,30563.3788184233,0
Canada,1993,31032.7546013139,0
Canada,1994,32074.1562430473,0
Canada,1995,32595.4515181692,0
Canada,1996,32801.3018549155,0
Canada,1997,33867.0079131743,0
Canada,1998,34894.6134280252,0
Canada,1999,36391.5353258957,0
Canada,2000,37906.8601153293,0
Canada,2001,38200.4561131358,0
Canada,2002,38921.6672955178,0
Canada,2003,39270.0234544073,0
Canada,2004,40108.758738975,0
Canada,2005,41006.222931999,0
Canada,2006,41663.5123054377,0
Canada,2007,42106.8724267286,0
Canada,2008,42067.5686998623,0
Canada,2009,40376.4153677037,0
Canada,2010,41164.3399062659,0
Denmark,1961,18508.6964443178,0
Denmark,1962,19405.8956885655,0
Denmark,1963,19376.2803404013,0
Denmark,1964,21003.9109980765,0
Denmark,1965,21790.2312357714,0
Denmark,1966,22208.4289214487,0
Denmark,1967,23330.995164681,0
Denmark,1968,24546.6538399604,0
Denmark,1969,26071.0399378755,0
Denmark,1970,26356.1270283734,0
Denmark,1971,27005.365066928,0
Denmark,1972,27871.0435311277,0
Denmark,1973,29010.519139544,0
Denmark,1974,28597.3223137558,0
Denmark,1975,28112.9709514439,0
Denmark,1976,29723.0911169378,0
Denmark,1977,30218.9600379221,0
Denmark,1978,30853.3720172917,0
Denmark,1979,32025.1913448919,0
Denmark,1980,31745.9167869188,0
Denmark,1981,31519.6357994139,0
Denmark,1982,32770.4867209655,0
Denmark,1983,33663.5864688998,0
Denmark,1984,35142.7674473353,0
Denmark,1985,36587.4452819712,0
Denmark,1986,38268.0683803545,0
Denmark,1987,38396.5670666554,0
Denmark,1988,38482.6663517953,0
Denmark,1989,38727.7183714612,0
Denmark,1990,39306.7939163003,0
Denmark,1991,39776.5961662564,0
Denmark,1992,40447.232822697,0
Denmark,1993,40280.8935829591,0
Denmark,1994,42270.6520789912,0
Denmark,1995,43328.5293423529,0
Denmark,1996,44331.6199506782,0
Denmark,1997,45546.5896032205,0
Denmark,1998,46437.1921036166,0
Denmark,1999,47657.173193571,0
Denmark,2000,49266.9882702373,0
Denmark,2001,49557.1510075058,0
Denmark,2002,49624.5965334337,0
Denmark,2003,49708.0908999592,0
Denmark,2004,50956.3045506744,0
Denmark,2005,52015.1841293483,0
Denmark,2006,53823.1590414696,0
Denmark,2007,54113.9771443798,0
Denmark,2008,53572.5346597284,0
Denmark,2009,50635.9117993314,0
Denmark,2010,51209.4492636368,0
France,1961,11133.1470724538,0
France,1962,11779.2903793344,0
France,1963,12384.5365890788,0
France,1964,13040.566706937,0
France,1965,13537.0486210143,0
France,1966,14119.5206477271,0
France,1967,14690.807481932,0
France,1968,15227.4770197367,0
France,1969,16176.7441006573,0
France,1970,17024.1166968725,0
France,1971,17763.4267120288,0
France,1972,18407.1540190396,0
France,1973,19465.8926385994,0
France,1974,20244.6170583655,0
France,1975,19922.0019496386,0
France,1976,20707.7547195513,0
France,1977,21347.55584568,0
France,1978,22078.7228203247,0
France,1979,22792.2359546683,0
France,1980,23050.9255988627,0
France,1981,23186.7612580687,0
France,1982,23666.5121748806,0
France,1983,23836.4019022125,0
France,1984,24102.0176236369,0
France,1985,24358.1382808953,0
France,1986,24813.0302673133,0
France,1987,25308.6209153002,0
France,1988,26374.1221756858,0
France,1989,27372.0534832736,0
France,1990,27992.9751563018,0
France,1991,28197.235956819,0
France,1992,28482.5194710025,0
France,1993,28257.0962436413,0
France,1994,28822.5006563247,0
France,1995,29379.6158447459,0
France,1996,29683.7786060864,0
France,1997,30325.5228742678,0
France,1998,31256.5073871178,0
France,1999,32152.7207413244,0
France,2000,33255.1379678188,0
France,2001,33640.6738010628,0
France,2002,33753.5782919683,0
France,2003,33840.6175643619,0
France,2004,34557.1471190953,0
France,2005,34946.0372441472,0
France,2006,35645.416247825,0
France,2007,36322.1685116781,0
France,2008,36257.3658869458,0
France,2009,35052.8510836822,0
France,2010,35578.1967958814,0
Germany,1961,13041.1594696312,0
Germany,1962,13524.6491050286,0
Germany,1963,13766.5355362913,0
Germany,1964,14562.8358867104,0
Germany,1965,15196.3266135987,0
Germany,1966,15493.828376695,0
Germany,1967,15372.2150106017,0
Germany,1968,16171.5531425011,0
Germany,1969,17233.9697030039,0
Germany,1970,18053.2877662512,0
Germany,1971,18584.7134080664,0
Germany,1972,19291.3926710734,0
Germany,1973,20149.4771410192,0
Germany,1974,20320.9008986241,0
Germany,1975,20220.0209834851,0
Germany,1976,21311.945010658,0
Germany,1977,22075.2189098003,0
Germany,1978,22759.1492987824,0
Germany,1979,23693.2601878736,0
Germany,1980,23977.2698645215,0
Germany,1981,24067.4825503981,0
Germany,1982,23995.2661890258,0
Germany,1983,24436.5473234992,0
Germany,1984,25213.3820426351,0
Germany,1985,25858.0588733612,0
Germany,1986,26437.4177394677,0
Germany,1987,26766.9600581443,0
Germany,1988,27651.0362681017,0
Germany,1989,28507.1621299938,0
Germany,1990,29747.6909405244,0
Germany,1991,31040.2935628737,0
Germany,1992,31425.647608288,0
Germany,1993,30915.8728851988,0
Germany,1994,31609.1102861092,0
Germany,1995,31990.7949869618,0
Germany,1996,32229.4778702849,0
Germany,1997,32779.2802468879,0
Germany,1998,33461.3192202157,0
Germany,1999,34152.0032256224,0
Germany,2000,35087.0891559515,0
Germany,2001,35601.3628351653,0
Germany,2002,35460.4121336422,0
Germany,2003,35252.9745134977,0
Germany,2004,35670.4870276152,0
Germany,2005,36006.8578105923,0
Germany,2006,37437.3918783337,0
Germany,2007,38570.9146408152,0
Germany,2008,38996.143407627,0
Germany,2009,36927.1920287013,0
Germany,2010,38517.4397860109,0
Hong Kong,1961,3956.0348665175,0
Hong Kong,1962,4333.85400121341,0
Hong Kong,1963,4847.35268964371,0
Hong Kong,1964,5139.82984909026,0
Hong Kong,1965,5739.60358013556,0
Hong Kong,1966,5791.09844762546,0
Hong Kong,1967,5737.13123041917,0
Hong Kong,1968,5807.41630828616,0
Hong Kong,1969,6363.75168314681,0
Hong Kong,1970,6782.70458686445,0
Hong Kong,1971,7122.10498405031,0
Hong Kong,1972,7728.31101312105,0
Hong Kong,1973,8435.92710515865,0
Hong Kong,1974,8370.88137713153,0
Hong Kong,1975,8254.06991655716,0
Hong Kong,1976,9468.5905945716,0
Hong Kong,1977,10427.2271104239,0
Hong Kong,1978,11085.9151499691,0
Hong Kong,1979,11709.3147365995,0
Hong Kong,1980,12553.2178743534,0
Hong Kong,1981,13397.4126017557,0
Hong Kong,1982,13580.1258695587,0
Hong Kong,1983,14174.7881084928,0
Hong Kong,1984,15436.0613477834,0
Hong Kong,1985,15386.7400452607,0
Hong Kong,1986,16876.3438935514,0
Hong Kong,1987,18945.8271230605,0
Hong Kong,1988,20386.3331230439,0
Hong Kong,1989,20635.6369175109,0
Hong Kong,1990,21357.3625408812,0
Hong Kong,1991,22388.7288514218,0
Hong Kong,1992,23585.7790070791,0
Hong Kong,1993,24621.7597107363,0
Hong Kong,1994,25526.5342396812,0
Hong Kong,1995,25620.0892481415,0
Hong Kong,1996,25551.4361801136,0
