state,year,age,cervix_adj
Alabama,2003,20-24,0.0
Alabama,2004,20-24,2.44
Alabama,2005,20-24,0.61
Alabama,2006,20-24,1.23
Alabama,2007,20-24,0.61
Alabama,2008,20-24,0.0
Alabama,2009,20-24,3.01
Alabama,2010,20-24,1.77
Alabama,2011,20-24,1.15
Alabama,2012,20-24,2.25
Alabama,2013,20-24,1.12
Alabama,2014,20-24,0.56
Alabama,2015,20-24,0.58
Alabama,2016,20-24,1.78
Alabama,2017,20-24,0.6
Alabama,2018,20-24,0.61
Alabama,2019,20-24,0.61
Alabama,2003,30-34,12.42
Alabama,2004,30-34,13.15
Alabama,2005,30-34,14.05
Alabama,2006,30-34,10.92
Alabama,2007,30-34,12.36
Alabama,2008,30-34,13.66
Alabama,2009,30-34,16.12
Alabama,2010,30-34,11.82
Alabama,2011,30-34,12.89
Alabama,2012,30-34,12.13
Alabama,2013,30-34,11.42
Alabama,2014,30-34,13.92
Alabama,2015,30-34,13.34
Alabama,2016,30-34,17.81
Alabama,2017,30-34,14.65
Alabama,2018,30-34,10.75
Alabama,2019,30-34,16.16
Alabama,2003,35-39,12.54
Alabama,2004,35-39,18.61
Alabama,2005,35-39,16.82
Alabama,2006,35-39,14.0
Alabama,2007,35-39,23.26
Alabama,2008,35-39,12.5
Alabama,2009,35-39,14.42
Alabama,2010,35-39,19.16
Alabama,2011,35-39,16.43
Alabama,2012,35-39,21.21
Alabama,2013,35-39,15.92
Alabama,2014,35-39,12.5
Alabama,2015,35-39,14.28
Alabama,2016,35-39,21.69
Alabama,2017,35-39,24.01
Alabama,2018,35-39,11.27
Alabama,2019,35-39,19.92
Alabama,2003,40-44,17.08
Alabama,2004,40-44,14.87
Alabama,2005,40-44,14.43
Alabama,2006,40-44,16.39
Alabama,2007,40-44,20.97
Alabama,2008,40-44,22.11
Alabama,2009,40-44,15.67
Alabama,2010,40-44,11.34
Alabama,2011,40-44,16.81
Alabama,2012,40-44,17.89
Alabama,2013,40-44,13.53
Alabama,2014,40-44,21.71
Alabama,2015,40-44,24.67
Alabama,2016,40-44,20.21
Alabama,2017,40-44,21.72
Alabama,2018,40-44,21.74
Alabama,2019,40-44,26.12
Alabama,2003,45-49,17.3
Alabama,2004,45-49,13.11
Alabama,2005,45-49,13.01
Alabama,2006,45-49,14.51
Alabama,2007,45-49,15.1
Alabama,2008,45-49,15.12
Alabama,2009,45-49,17.42
Alabama,2010,45-49,13.57
Alabama,2011,45-49,13.88
Alabama,2012,45-49,23.77
Alabama,2013,45-49,16.46
Alabama,2014,45-49,19.94
Alabama,2015,45-49,18.81
Alabama,2016,45-49,19.83
Alabama,2017,45-49,14.73
Alabama,2018,45-49,12.24
Alabama,2019,45-49,18.49
Arizona,2003,20-24,3.57
Arizona,2004,20-24,1.01
Arizona,2005,20-24,0.0
Arizona,2006,20-24,1.49
Arizona,2007,20-24,0.0
Arizona,2008,20-24,0.96
Arizona,2009,20-24,1.9
Arizona,2010,20-24,1.4
Arizona,2011,20-24,1.35
Arizona,2012,20-24,1.31
Arizona,2013,20-24,1.3
Arizona,2014,20-24,1.29
Arizona,2015,20-24,0.0
Arizona,2016,20-24,0.88
Arizona,2017,20-24,0.0
Arizona,2018,20-24,0.0
Arizona,2019,20-24,0.0
Arizona,2003,30-34,9.06
Arizona,2004,30-34,13.23
Arizona,2005,30-34,14.13
Arizona,2006,30-34,13.47
Arizona,2007,30-34,9.73
Arizona,2008,30-34,10.1
Arizona,2009,30-34,8.43
Arizona,2010,30-34,9.26
Arizona,2011,30-34,5.76
Arizona,2012,30-34,9.01
Arizona,2013,30-34,8.89
Arizona,2014,30-34,9.28
Arizona,2015,30-34,7.89
Arizona,2016,30-34,11.09
Arizona,2017,30-34,8.76
Arizona,2018,30-34,12.78
Arizona,2019,30-34,9.34
Arizona,2003,35-39,18.18
Arizona,2004,35-39,17.09
Arizona,2005,35-39,15.08
Arizona,2006,35-39,17.0
Arizona,2007,35-39,14.12
Arizona,2008,35-39,12.04
Arizona,2009,35-39,15.92
Arizona,2010,35-39,11.73
Arizona,2011,35-39,11.99
Arizona,2012,35-39,14.51
Arizona,2013,35-39,11.95
Arizona,2014,35-39,7.89
Arizona,2015,35-39,14.08
Arizona,2016,35-39,11.86
Arizona,2017,35-39,15.81
Arizona,2018,35-39,10.49
Arizona,2019,35-39,12.58
Arizona,2003,40-44,16.48
Arizona,2004,40-44,11.78
Arizona,2005,40-44,14.51
Arizona,2006,40-44,17.87
Arizona,2007,40-44,16.59
Arizona,2008,40-44,10.35
Arizona,2009,40-44,15.45
Arizona,2010,40-44,16.87
Arizona,2011,40-44,16.57
Arizona,2012,40-44,15.92
Arizona,2013,40-44,12.55
Arizona,2014,40-44,13.56
Arizona,2015,40-44,19.06
Arizona,2016,40-44,14.84
Arizona,2017,40-44,9.87
Arizona,2018,40-44,13.7
Arizona,2019,40-44,14.95
Arizona,2003,45-49,8.51
Arizona,2004,45-49,17.61
Arizona,2005,45-49,14.45
Arizona,2006,45-49,15.41
Arizona,2007,45-49,15.11
Arizona,2008,45-49,15.44
Arizona,2009,45-49,13.95
Arizona,2010,45-49,13.57
Arizona,2011,45-49,11.49
Arizona,2012,45-49,15.13
Arizona,2013,45-49,14.37
Arizona,2014,45-49,13.99
Arizona,2015,45-49,18.31
Arizona,2016,45-49,11.6
Arizona,2017,45-49,11.46
Arizona,2018,45-49,9.5
Arizona,2019,45-49,14.68
Arkansas,2003,20-24,1.02
Arkansas,2004,20-24,0.0
Arkansas,2005,20-24,2.06
Arkansas,2006,20-24,0.0
Arkansas,2007,20-24,0.0
Arkansas,2008,20-24,2.07
Arkansas,2009,20-24,1.02
Arkansas,2010,20-24,0.0
Arkansas,2011,20-24,2.92
Arkansas,2012,20-24,0.96
Arkansas,2013,20-24,1.91
Arkansas,2014,20-24,0.0
Arkansas,2015,20-24,0.0
Arkansas,2016,20-24,0.0
Arkansas,2017,20-24,0.0
Arkansas,2018,20-24,2.05
Arkansas,2019,20-24,1.03
Arkansas,2003,30-34,21.53
Arkansas,2004,30-34,13.66
Arkansas,2005,30-34,17.2
Arkansas,2006,30-34,16.22
Arkansas,2007,30-34,17.46
Arkansas,2008,30-34,25.25
Arkansas,2009,30-34,16.78
Arkansas,2010,30-34,22.83
Arkansas,2011,30-34,8.51
Arkansas,2012,30-34,15.76
Arkansas,2013,30-34,18.78
Arkansas,2014,30-34,17.72
Arkansas,2015,30-34,18.87
Arkansas,2016,30-34,10.54
Arkansas,2017,30-34,11.62
Arkansas,2018,30-34,13.75
