state,year,homicide_rate,population,apps
AK,1997,8.866995,609000,0
AK,1998,6.677524,614000,0
AK,1999,8.393866,619500,0
AK,2000,4.306688,626932,0
AK,2001,6.155012,633630,0
AK,2002,5.144338,641482,0
AK,2003,6.015919,648280,0
AK,2004,5.625195,657755,0
AK,2005,4.824705,663253,0
AK,2006,5.37271,670053,0
AK,2007,6.291351,683478,0
AK,2008,3.93418,686293,0
AK,2009,3.149728,698473,0
AK,2010,4.340849,714146,0
AK,2011,4.144448,723860,0
AK,2012,4.107862,730307,0
AK,2013,4.611676,737259,0
AK,2014,5.562746,737046,0
AK,2015,7.997734,737709,0
AK,2016,7.012604,741522,0
AK,2017,8.380802,739786,0
AK,2018,6.373418,737438,0
AL,1997,9.863395,4319000,0
AL,1998,8.134192,4352000,0
AL,1999,7.894986,4369862,0
AL,2000,7.39808,4447100,0
AL,2001,8.480811,4468912,0
AL,2002,6.76506,4478896,0
AL,2003,6.638948,4503726,0
AL,2004,5.612794,4525375,0
AL,2005,8.222804,4548327,0
AL,2006,8.306099,4599030,0
AL,2007,8.90262,4627851,0
AL,2008,7.529119,4661900,0
AL,2009,6.838394,4708708,0
AL,2010,5.746645,4785401,0
AL,2011,6.224383,4803689,0
AL,2012,7.099076,4817528,0
AL,2013,7.15764,4833996,0
AL,2014,5.694936,4846411,0
AL,2015,7.16953,4853875,0
AL,2016,8.373546,4860545,0
AL,2017,8.59466,4875120,0
AL,2018,7.835722,4887871,0
AR,1997,9.908838,2523000,0
AR,1998,7.919622,2538000,0
AR,1999,5.604826,2551373,0
AR,2000,6.284132,2673400,0
AR,2001,5.492266,2694698,0
AR,2002,5.247078,2706268,0
AR,2003,6.598788,2727774,0
AR,2004,6.4,2750000,0
AR,2005,6.809074,2775708,0
AR,2006,7.29311,2810872,0
AR,2007,6.984627,2834797,0
AR,2008,5.778545,2855390,0
AR,2009,6.19495,2889450,0
AR,2010,4.586547,2921588,0
AR,2011,5.444803,2938582,0
AR,2012,5.898649,2949828,0
AR,2013,5.340066,2958765,0
AR,2014,5.898542,2966835,0
AR,2015,6.346854,2977853,0
AR,2016,7.261822,2988231,0
AR,2017,8.291716,3002997,0
AR,2018,7.166972,3013825,0
AZ,1997,8.232711,4555000,0
AZ,1998,8.053116,4669000,0
AZ,1999,8.036277,4778332,0
AZ,2000,6.997188,5130632,0
AZ,2001,7.537264,5306966,0
AZ,2002,7.1125,5441125,0
AZ,2003,7.904328,5579222,0
AZ,2004,7.212696,5739879,0
AZ,2005,7.475214,5953007,0
AZ,2006,8.643732,6166318,0
AZ,2007,8.645231,6338755,0
AZ,2008,7.107496,6500180,0
AZ,2009,5.761261,6595778,0
AZ,2010,6.36192,6413158,0
AZ,2011,6.13856,6467315,0
AZ,2012,5.46469,6551149,0
AZ,2013,5.350416,6634997,0
AZ,2014,4.621936,6728783,0
AZ,2015,4.488406,6817565,0
AZ,2016,5.630629,6908642,0
AZ,2017,5.98677,7048876,0
AZ,2018,5.145262,7171646,0
CA,1997,7.992438,32268000,0
CA,1998,6.64585,32667000,0
CA,1999,6.049156,33145121,0
CA,2000,6.137876,33871648,0
CA,2001,6.375637,34600463,0
CA,2002,6.842468,35001986,0
CA,2003,6.78741,35462712,0
CA,2004,6.673728,35842038,0
CA,2005,6.923134,36154147,0
CA,2006,6.81889,36457549,0
CA,2007,6.188238,36553215,1
CA,2008,5.827514,36756666,1
CA,2009,5.335258,36961664,1
CA,2010,4.844904,37338198,1
CA,2011,4.755342,37683933,1
CA,2012,4.95791,37999878,1
CA,2013,4.543161,38431393,1
CA,2014,4.382314,38792291,1
CA,2015,4.772536,38993940,1
CA,2016,4.911382,39296476,1
CA,2017,4.644747,39399349,1
CA,2018,4.396183,39557045,1
CO,1997,4.032879,3893000,0
CO,1998,4.608411,3971000,0
CO,1999,4.560994,4056133,0
CO,2000,3.115366,4301261,0
CO,2001,3.565796,4430989,0
CO,2002,3.976849,4501051,0
CO,2003,4.06805,4547633,0
CO,2004,4.367836,4601821,0
CO,2005,3.709823,4663295,0
CO,2006,3.597442,4753377,0
CO,2007,3.188306,4861515,0
CO,2008,3.340449,4939456,0
CO,2009,3.164338,5024748,0
CO,2010,2.555624,5047692,0
CO,2011,3.029532,5116302,0
CO,2012,2.929015,5189458,0
CO,2013,3.300402,5272086,0
CO,2014,2.800813,5355588,0
CO,2015,3.175,5448819,0
CO,2016,3.417657,5530105,0
CO,2017,3.95306,5615902,0
CO,2018,3.68708,5695564,0
CT,1997,3.792049,3270000,0
CT,1998,4.123396,3274000,0
CT,1999,3.260176,3282031,0
CT,2000,2.877643,3405565,0
CT,2001,3.057123,3434602,0
CT,2002,2.428738,3458587,0
CT,2003,3.211967,3486960,0
CT,2004,2.857987,3498966,0
CT,2005,2.999399,3500701,0
CT,2006,3.908915,3504809,0
CT,2007,3.226443,3502309,0
CT,2008,3.77008,3501252,0
CT,2009,3.012829,3518288,0
CT,2010,3.719762,3575498,0
CT,2011,3.596604,3586717,0
CT,2012,3.257452,3591765,0
CT,2013,2.528241,3599341,0
CT,2014,2.475824,3594762,0
CT,2015,3.235948,3584730,0
CT,2016,2.201977,3587685,0
CT,2017,2.937983,3573880,0
CT,2018,2.323196,3572665,0
DE,1997,3.005464,732000,0
DE,1998,2.82258,744000,0
DE,1999,3.184976,753538,0
DE,2000,3.190403,783600,0
DE,2001,2.887274,796599,0
DE,2002,3.226026,805945,0
DE,2003,2.566716,818166,0
DE,2004,3.373214,830069,0
DE,2005,4.395652,841741,0
DE,2006,4.921052,853476,0
DE,2007,4.509901,864764,0
DE,2008,6.528522,873092,0
DE,2009,4.63213,885122,0
DE,2010,5.667976,899792,0
DE,2011,5.285546,908137,0
DE,2012,6.106518,917053,0
DE,2013,4.431282,925240,0
DE,2014,5.342063,935968,0
DE,2015,6.567268,944076,0
DE,2016,6.087973,952698,0
DE,2017,5.328719,957078,0
DE,2018,4.962928,967171,0
FL,1997,6.905964,14654000,0
FL,1998,6.482971,14916000,0
FL,1999,5.684509,15111244,0
FL,2000,5.649973,15982378,0
FL,2001,5.337949,16373330,0
FL,2002,5.457802,16691701,0
FL,2003,5.435556,16999181,0
FL,2004,5.441338,17385430,0
FL,2005,4.969555,17768191,0
FL,2006,6.241056,18089888,0
FL,2007,6.585852,18251243,0
FL,2008,6.372645,18328340,0
FL,2009,5.486038,18537969,0
