unit,time,age,asfr,treat
East Germany,1956,12,0.0,0
East Germany,1956,13,0.0,0
East Germany,1956,14,5e-05,0
East Germany,1956,15,0.00144,0
East Germany,1956,16,0.00739,0
East Germany,1956,17,0.02807,0
East Germany,1956,18,0.06794,0
East Germany,1956,19,0.1109,0
East Germany,1956,20,0.14308,0
East Germany,1956,21,0.16552,0
East Germany,1956,22,0.17443,0
East Germany,1956,23,0.17205,0
East Germany,1956,24,0.16469,0
East Germany,1956,25,0.15302,0
East Germany,1956,26,0.13988,0
East Germany,1956,27,0.1291,0
East Germany,1956,28,0.11682,0
East Germany,1956,29,0.10495,0
East Germany,1956,30,0.09226,0
East Germany,1956,31,0.0828,0
East Germany,1956,32,0.07513,0
East Germany,1956,33,0.066,0
East Germany,1956,34,0.05852,0
East Germany,1956,35,0.0504,0
East Germany,1956,36,0.04344,0
East Germany,1956,37,0.03737,0
East Germany,1956,38,0.03071,0
East Germany,1956,39,0.02371,0
East Germany,1956,40,0.01788,0
East Germany,1956,41,0.01364,0
East Germany,1956,42,0.00995,0
East Germany,1956,43,0.00624,0
East Germany,1956,44,0.00364,0
East Germany,1956,45,0.00147,0
East Germany,1956,46,0.00049,0
East Germany,1956,47,0.00025,0
East Germany,1956,48,0.00012,0
East Germany,1956,49,6e-05,0
East Germany,1956,50,3e-05,0
East Germany,1956,51,2e-05,0
East Germany,1956,52,1e-05,0
East Germany,1956,53,0.0,0
East Germany,1956,54,0.0,0
East Germany,1956,55,0.0,0
East Germany,1957,12,0.0,0
East Germany,1957,13,0.0,0
East Germany,1957,14,6e-05,0
East Germany,1957,15,0.00154,0
East Germany,1957,16,0.00731,0
East Germany,1957,17,0.02786,0
East Germany,1957,18,0.06616,0
East Germany,1957,19,0.11131,0
East Germany,1957,20,0.14385,0
East Germany,1957,21,0.16092,0
East Germany,1957,22,0.16903,0
East Germany,1957,23,0.16881,0
East Germany,1957,24,0.16277,0
East Germany,1957,25,0.15402,0
East Germany,1957,26,0.13982,0
East Germany,1957,27,0.12715,0
East Germany,1957,28,0.11442,0
East Germany,1957,29,0.1012,0
East Germany,1957,30,0.09098,0
East Germany,1957,31,0.08018,0
East Germany,1957,32,0.07047,0
East Germany,1957,33,0.06295,0
East Germany,1957,34,0.05496,0
East Germany,1957,35,0.0481,0
East Germany,1957,36,0.0416,0
East Germany,1957,37,0.03512,0
East Germany,1957,38,0.02846,0
East Germany,1957,39,0.02188,0
East Germany,1957,40,0.01725,0
East Germany,1957,41,0.01245,0
East Germany,1957,42,0.00878,0
East Germany,1957,43,0.00588,0
East Germany,1957,44,0.00346,0
East Germany,1957,45,0.00162,0
