state,year,treat,gas,fossil,renewables
AK,1990,0,3466261.0,1007689.0,1125556.0
AK,1991,0,3319395.0,1033939.0,1036494.0
AK,1992,0,3214330.0,1017745.0,1066349.0
AK,1993,0,3191814.0,1120545.0,1408918.0
AK,1994,0,3401175.0,1065510.0,1499831.0
AK,1995,0,3379573.0,1149494.0,1497049.0
AK,1996,0,3548718.0,1199412.0,1380762.0
AK,1997,0,3707734.0,1300591.0,1146522.0
AK,1998,0,3352895.0,1361080.0,1114870.0
AK,1999,0,3588075.0,1397625.0,816608.0
AK,2000,0,3975832.0,1178874.0,1001819.0
AK,2001,0,3895569.0,1501582.0,1346615.0
AK,2002,0,3778162.0,1537657.0,1451506.0
AK,2003,0,3354482.0,1395938.0,1588313.0
AK,2004,0,3623433.0,1396048.0,1507237.0
AK,2005,0,3723626.0,1383247.0,1469787.0
AK,2006,0,4057730.0,1385407.0,1231060.0
AK,2007,0,3867539.0,1651399.0,1302453.0
AK,2008,0,4002472.0,1595812.0,1176551.0
AK,2009,0,3577403.0,1787474.0,1337282.0
AK,2010,0,3750024.0,1557499.0,1452052.0
AK,2011,0,3909170.9299999997,1601383.57,1360478.29
AK,2012,0,3608695.0,1722721.0,1615002.0
AK,2013,0,3421005.42,1443272.8199999998,1632543.4
AK,2014,0,3288022.0,1003913.0,1750894.0
AK,2015,0,3089713.0,1414116.0,1781108.0
AK,2016,0,3040487.0,1425469.0,1869078.0
AK,2017,0,3234868.0,1436389.0,1826208.0
AK,2018,0,2947902.0,1437842.0,1861614.0
AK,2019,0,2686990.0,1584251.0,1799602.0
AK,2020,0,2640760.0,1707591.0,1928091.0
AK,2021,0,3085396.0,1655380.0,1855042.0
AK,2022,0,3229376.0,1574460.0,1890293.0
AK,2023,0,3182407.0,1615956.0,1919461.0
AL,1990,0,1290190.0,53796204.0,12513857.0
AL,1991,0,1515706.0,58390666.0,13005603.0
AL,1992,0,1724783.0,61355537.0,12756666.0
AL,1993,0,1599083.0,67529265.0,12385323.0
AL,1994,0,1576417.0,63549059.0,15159022.0
AL,1995,0,1880411.0,69249172.0,13307442.0
AL,1996,0,2191295.0,74406863.0,15167218.0
AL,1997,0,2393496.0,72340733.0,15235433.0
AL,1998,0,4019700.0,72393710.0,14786202.0
AL,1999,0,3636696.0,74071040.0,12057378.0
AL,2000,0,5258354.0,77883869.0,9894554.0
AL,2001,0,9801829.0,72632663.0,12553558.0
AL,2002,0,16016606.0,72353712.0,12693426.0
AL,2003,0,12413966.0,77033035.0,16363268.0
AL,2004,0,16158961.0,75126649.0,14433371.0
AL,2005,0,13976315.0,78461567.0,13816476.0
AL,2006,0,19538331.0,78288834.0,11157181.0
AL,2007,0,23410144.0,78150682.0,7940317.0
AL,2008,0,22566658.0,74808913.0,9501684.0
AL,2009,0,31751811.0,55827998.0,15959544.0
AL,2010,0,39511742.0,63250265.0,11447684.0
AL,2011,0,47972588.04,56927737.050000004,12082762.75
AL,2012,0,55882652.0,45716503.0,10438320.0
AL,2013,0,46854120.8,47124614.9,15778053.15
AL,2014,0,48450477.0,47399726.0,12246554.0
AL,2015,0,55880319.0,41494637.0,13151088.0
AL,2016,0,57827671.0,34304238.0,10351310.0
AL,2017,0,52992493.0,31476109.0,12843675.0
AL,2018,0,58805223.0,31843224.0,14946721.0
AL,2019,0,57200027.0,26674988.0,15147556.0
AL,2020,0,55230084.0,21742371.0,17024274.0
AL,2021,0,54447940.0,26922824.0,15326077.0
AL,2022,0,62217449.0,25984907.0,14272879.0
AL,2023,0,61848399.0,19206498.0,12801075.0
AR,1990,0,3578573.0,19287914.0,4951058.0
AR,1991,0,3324886.0,19712969.0,4951596.0
AR,1992,0,3426632.0,20146268.0,4847540.0
AR,1993,0,2703261.0,18164655.0,6109062.0
AR,1994,0,3125327.0,19951731.0,5031389.0
AR,1995,0,3909350.0,21623090.0,4782099.0
AR,1996,0,3793734.0,24502374.0,4380784.0
AR,1997,0,2999249.0,22884273.0,5101921.0
AR,1998,0,4507264.0,23345553.0,4715232.0
AR,1999,0,4542743.0,24828772.0,4262874.0
AR,2000,0,3862509.0,24389427.0,3972058.0
AR,2001,0,2706900.0,25643864.0,4060482.0
AR,2002,0,4602958.0,23258076.0,5191726.0
AR,2003,0,7300861.0,23793072.0,4617752.0
AR,2004,0,5068764.0,25892504.0,5516513.0
AR,2005,0,6005660.0,23245245.0,4854034.0
AR,2006,0,9282386.0,24343793.0,3309947.0
AR,2007,0,8364251.0,25838333.0,4907550.0
AR,2008,0,8461073.0,26178279.0,6243084.0
AR,2009,0,11221413.0,25163720.0,5902641.0
AR,2010,0,12469077.0,28197624.0,5310805.0
AR,2011,0,12946681.84,29474069.669999998,4692339.37
AR,2012,0,17117413.0,28463490.0,3931644.0
AR,2013,0,12139377.08,31930921.48,4306936.59
AR,2014,0,9613708.0,33250029.0,4250141.0
AR,2015,0,14866286.0,21800477.0,5054871.0
AR,2016,0,18171187.0,23842433.0,5010417.0
AR,2017,0,17314370.0,26334414.0,4435355.0
AR,2018,0,20623705.0,30031618.0,4623210.0
AR,2019,0,21772400.0,23360345.0,5735207.0
AR,2020,0,18307327.0,15465169.0,5805714.0
AR,2021,0,20629134.0,21474409.0,5440842.0
AR,2022,0,26037433.0,20425188.0,5118712.0
AR,2023,0,26487467.0,16888971.0,4846727.0
