date,J12_18,A10_B99_nopneumo,A39,A41,B20_24,B34,C00_D48,D50_89,E00_99,E10_14,E40_46,G00_99_SY,H00_99_SY,I00_99,I60_64,cJ20_J22,K00_99,L00_99,M00_99,N00_99,N39,P00_99,P05_07,Q00_99,S00_T99,Z00_99,t
2003-01-01,8275,1649,11,322,5,3,190,194,1559,4,608,410,65,92,11,740,1549,240,43,592,74,9287,2667,655,364,247,1
2003-02-01,8319,1618,9,349,7,1,189,189,1522,8,582,368,74,78,9,928,1452,250,58,618,86,8824,2459,630,358,251,2
2003-03-01,12994,1832,14,459,7,2,188,198,1649,6,634,373,89,124,20,1642,1323,252,51,581,83,10042,2762,715,342,229,3
2003-04-01,16920,1781,14,481,20,0,214,178,1440,5,596,393,84,103,15,2371,1349,234,56,542,68,10397,2616,784,354,267,4
2003-05-01,16955,1757,18,454,13,1,237,206,1443,5,575,417,81,118,18,2374,1342,241,71,476,67,11583,3084,865,329,239,5
2003-06-01,15401,1730,13,421,16,1,256,180,1359,4,499,422,98,143,14,2196,1586,252,87,504,70,11645,3092,965,366,230,6
2003-07-01,14732,2207,25,571,26,3,294,256,1823,10,596,576,139,182,36,2200,2021,306,107,593,102,13355,3815,1299,487,336,7
2003-08-01,11201,2151,23,537,27,2,336,272,2013,14,629,624,157,215,27,1667,2217,367,106,697,129,13930,3963,1439,509,282,8
2003-09-01,11578,2343,25,571,19,1,396,288,1807,17,548,681,124,202,34,1551,2190,365,111,743,135,13934,3777,1478,485,304,9
2003-10-01,11676,2191,17,528,24,3,365,308,1507,10,490,682,144,223,31,1602,2128,381,84,771,116,14236,3843,1510,568,371,10
2003-11-01,10158,2079,11,511,20,0,321,301,1332,15,464,612,134,204,26,1274,1901,375,99,720,134,13477,3802,1373,537,278,11
2003-12-01,8734,2186,15,541,26,4,316,300,1414,15,466,605,119,200,26,986,1775,368,88,774,140,13847,4187,1371,476,333,12
2004-01-01,8030,2226,12,541,18,0,351,300,1480,19,482,606,130,179,20,961,2019,330,90,765,154,14396,4242,1335,479,291,13
2004-02-01,8508,2283,13,637,20,3,276,268,1728,13,529,623,112,169,14,1155,2037,363,90,785,150,14173,4106,1390,481,369,14
2004-03-01,14534,2610,29,738,21,1,421,287,1851,15,653,720,165,202,25,2378,2147,382,98,786,143,16557,4502,1652,474,402,15
