date,t,cause,hospitalization
2003-01-01,1,A10_B99_nopneumo,1649
2003-02-01,2,A10_B99_nopneumo,1618
2003-03-01,3,A10_B99_nopneumo,1832
2003-04-01,4,A10_B99_nopneumo,1781
2003-05-01,5,A10_B99_nopneumo,1757
2003-06-01,6,A10_B99_nopneumo,1730
2003-07-01,7,A10_B99_nopneumo,2207
2003-08-01,8,A10_B99_nopneumo,2151
2003-09-01,9,A10_B99_nopneumo,2343
2003-10-01,10,A10_B99_nopneumo,2191
2003-11-01,11,A10_B99_nopneumo,2079
2003-12-01,12,A10_B99_nopneumo,2186
2004-01-01,13,A10_B99_nopneumo,2226
2004-02-01,14,A10_B99_nopneumo,2283
2004-03-01,15,A10_B99_nopneumo,2610
2004-04-01,16,A10_B99_nopneumo,2221
2004-05-01,17,A10_B99_nopneumo,2287
2004-06-01,18,A10_B99_nopneumo,2232
2004-07-01,19,A10_B99_nopneumo,2142
2004-08-01,20,A10_B99_nopneumo,2164
2004-09-01,21,A10_B99_nopneumo,2185
2004-10-01,22,A10_B99_nopneumo,2037
2004-11-01,23,A10_B99_nopneumo,2131
2004-12-01,24,A10_B99_nopneumo,2053
2005-01-01,25,A10_B99_nopneumo,2301
2005-02-01,26,A10_B99_nopneumo,2084
2005-03-01,27,A10_B99_nopneumo,2442
2005-04-01,28,A10_B99_nopneumo,2336
2005-05-01,29,A10_B99_nopneumo,2338
2005-06-01,30,A10_B99_nopneumo,2228
2005-07-01,31,A10_B99_nopneumo,2215
2005-08-01,32,A10_B99_nopneumo,2217
2005-09-01,33,A10_B99_nopneumo,2168
2005-10-01,34,A10_B99_nopneumo,2098
2005-11-01,35,A10_B99_nopneumo,2032
2005-12-01,36,A10_B99_nopneumo,1967
2006-01-01,37,A10_B99_nopneumo,2209
2006-02-01,38,A10_B99_nopneumo,1921
2006-03-01,39,A10_B99_nopneumo,2169
2006-04-01,40,A10_B99_nopneumo,2109
2006-05-01,41,A10_B99_nopneumo,2155
2006-06-01,42,A10_B99_nopneumo,2069
2006-07-01,43,A10_B99_nopneumo,2075
2006-08-01,44,A10_B99_nopneumo,1989
2006-09-01,45,A10_B99_nopneumo,1936
2006-10-01,46,A10_B99_nopneumo,2148
2006-11-01,47,A10_B99_nopneumo,1944
2006-12-01,48,A10_B99_nopneumo,1950
2007-01-01,49,A10_B99_nopneumo,2013
2007-02-01,50,A10_B99_nopneumo,1953
2007-03-01,51,A10_B99_nopneumo,2208
2007-04-01,52,A10_B99_nopneumo,2121
2007-05-01,53,A10_B99_nopneumo,1979
2007-06-01,54,A10_B99_nopneumo,1975
2007-07-01,55,A10_B99_nopneumo,1952
2007-08-01,56,A10_B99_nopneumo,1913
2007-09-01,57,A10_B99_nopneumo,1765
2007-10-01,58,A10_B99_nopneumo,1994
2007-11-01,59,A10_B99_nopneumo,1986
2007-12-01,60,A10_B99_nopneumo,2413
2008-01-01,61,A10_B99_nopneumo,2907
2008-02-01,62,A10_B99_nopneumo,2819
2008-03-01,63,A10_B99_nopneumo,3173
2008-04-01,64,A10_B99_nopneumo,3568
2008-05-01,65,A10_B99_nopneumo,3273
2008-06-01,66,A10_B99_nopneumo,2892
2008-07-01,67,A10_B99_nopneumo,2746
2008-08-01,68,A10_B99_nopneumo,2698
2008-09-01,69,A10_B99_nopneumo,2588
2008-10-01,70,A10_B99_nopneumo,2799
2008-11-01,71,A10_B99_nopneumo,2530
2008-12-01,72,A10_B99_nopneumo,2574
2009-01-01,73,A10_B99_nopneumo,2588
2009-02-01,74,A10_B99_nopneumo,2508
2009-03-01,75,A10_B99_nopneumo,2989
2009-04-01,76,A10_B99_nopneumo,2797
2009-05-01,77,A10_B99_nopneumo,2834
2009-06-01,78,A10_B99_nopneumo,2655
2009-07-01,79,A10_B99_nopneumo,2631
2009-08-01,80,A10_B99_nopneumo,2618
2009-09-01,81,A10_B99_nopneumo,2490
2009-10-01,82,A10_B99_nopneumo,2560
2009-11-01,83,A10_B99_nopneumo,2595
2009-12-01,84,A10_B99_nopneumo,2572
2012-01-01,85,A10_B99_nopneumo,3110
2012-02-01,86,A10_B99_nopneumo,3035
2012-03-01,87,A10_B99_nopneumo,3418
2012-04-01,88,A10_B99_nopneumo,3302
2012-05-01,89,A10_B99_nopneumo,3301
2012-06-01,90,A10_B99_nopneumo,3202
2012-07-01,91,A10_B99_nopneumo,3191
2012-08-01,92,A10_B99_nopneumo,3026
2012-09-01,93,A10_B99_nopneumo,3105
2012-10-01,94,A10_B99_nopneumo,3275
2012-11-01,95,A10_B99_nopneumo,3158
2012-12-01,96,A10_B99_nopneumo,3271
2013-01-01,97,A10_B99_nopneumo,3440
2013-02-01,98,A10_B99_nopneumo,3282
2013-03-01,99,A10_B99_nopneumo,3538
2013-04-01,100,A10_B99_nopneumo,3603
2013-05-01,101,A10_B99_nopneumo,3583
2013-06-01,102,A10_B99_nopneumo,3477
2013-07-01,103,A10_B99_nopneumo,3447
2013-08-01,104,A10_B99_nopneumo,3370
2013-09-01,105,A10_B99_nopneumo,3309
2013-10-01,106,A10_B99_nopneumo,3446
2013-11-01,107,A10_B99_nopneumo,3336
2013-12-01,108,A10_B99_nopneumo,3446
2003-01-01,1,A39,11
2003-02-01,2,A39,9
2003-03-01,3,A39,14
2003-04-01,4,A39,14
2003-05-01,5,A39,18
2003-06-01,6,A39,13
2003-07-01,7,A39,25
2003-08-01,8,A39,23
2003-09-01,9,A39,25
2003-10-01,10,A39,17
2003-11-01,11,A39,11
2003-12-01,12,A39,15
2004-01-01,13,A39,12
2004-02-01,14,A39,13
2004-03-01,15,A39,29
2004-04-01,16,A39,15
2004-05-01,17,A39,20
2004-06-01,18,A39,26
2004-07-01,19,A39,26
2004-08-01,20,A39,21
2004-09-01,21,A39,23
2004-10-01,22,A39,13
2004-11-01,23,A39,12
2004-12-01,24,A39,14
2005-01-01,25,A39,23
2005-02-01,26,A39,22
2005-03-01,27,A39,22
2005-04-01,28,A39,10
2005-05-01,29,A39,18
2005-06-01,30,A39,14
2005-07-01,31,A39,15
2005-08-01,32,A39,24
2005-09-01,33,A39,20
2005-10-01,34,A39,17
2005-11-01,35,A39,15
2005-12-01,36,A39,15
2006-01-01,37,A39,27
2006-02-01,38,A39,13
2006-03-01,39,A39,9
2006-04-01,40,A39,14
2006-05-01,41,A39,15
2006-06-01,42,A39,23
2006-07-01,43,A39,15
2006-08-01,44,A39,18
2006-09-01,45,A39,27
2006-10-01,46,A39,13
2006-11-01,47,A39,23
2006-12-01,48,A39,14
2007-01-01,49,A39,14
2007-02-01,50,A39,19
2007-03-01,51,A39,8
2007-04-01,52,A39,15
2007-05-01,53,A39,11
2007-06-01,54,A39,22
2007-07-01,55,A39,14
2007-08-01,56,A39,19
2007-09-01,57,A39,14
2007-10-01,58,A39,13
2007-11-01,59,A39,14
2007-12-01,60,A39,20
2008-01-01,61,A39,46
2008-02-01,62,A39,17
2008-03-01,63,A39,28
2008-04-01,64,A39,26
2008-05-01,65,A39,30
2008-06-01,66,A39,23
2008-07-01,67,A39,34
2008-08-01,68,A39,30
2008-09-01,69,A39,31
2008-10-01,70,A39,24
2008-11-01,71,A39,18
2008-12-01,72,A39,35
2009-01-01,73,A39,36
2009-02-01,74,A39,15
2009-03-01,75,A39,37
2009-04-01,76,A39,23
2009-05-01,77,A39,41
2009-06-01,78,A39,40
2009-07-01,79,A39,51
2009-08-01,80,A39,59
2009-09-01,81,A39,41
2009-10-01,82,A39,39
2009-11-01,83,A39,35
2009-12-01,84,A39,30
2012-01-01,85,A39,25
2012-02-01,86,A39,22
2012-03-01,87,A39,31
2012-04-01,88,A39,24
2012-05-01,89,A39,31
2012-06-01,90,A39,41
2012-07-01,91,A39,28
2012-08-01,92,A39,40
2012-09-01,93,A39,30
2012-10-01,94,A39,36
2012-11-01,95,A39,30
2012-12-01,96,A39,32
2013-01-01,97,A39,27
2013-02-01,98,A39,31
2013-03-01,99,A39,27
2013-04-01,100,A39,26
2013-05-01,101,A39,36
2013-06-01,102,A39,34
2013-07-01,103,A39,27
2013-08-01,104,A39,24
2013-09-01,105,A39,26
2013-10-01,106,A39,31
2013-11-01,107,A39,34
2013-12-01,108,A39,38
2003-01-01,1,A41,322
2003-02-01,2,A41,349
2003-03-01,3,A41,459
2003-04-01,4,A41,481
2003-05-01,5,A41,454
2003-06-01,6,A41,421
2003-07-01,7,A41,571
2003-08-01,8,A41,537
2003-09-01,9,A41,571
2003-10-01,10,A41,528
2003-11-01,11,A41,511
2003-12-01,12,A41,541
2004-01-01,13,A41,541
2004-02-01,14,A41,637
2004-03-01,15,A41,738
2004-04-01,16,A41,627
2004-05-01,17,A41,620
2004-06-01,18,A41,652
2004-07-01,19,A41,600
2004-08-01,20,A41,608
2004-09-01,21,A41,571
2004-10-01,22,A41,538
2004-11-01,23,A41,583
2004-12-01,24,A41,521
2005-01-01,25,A41,565
2005-02-01,26,A41,489
2005-03-01,27,A41,594
2005-04-01,28,A41,629
2005-05-01,29,A41,618
2005-06-01,30,A41,665
2005-07-01,31,A41,655
2005-08-01,32,A41,532
2005-09-01,33,A41,471
2005-10-01,34,A41,547
2005-11-01,35,A41,499
2005-12-01,36,A41,499
