state,year,cigsale,price
Alabama,1970,89.8,0.427
Alabama,1971,95.4,0.423
Alabama,1972,101.1,0.421
Alabama,1973,102.9,0.431
Alabama,1974,108.2,0.466
Alabama,1975,111.7,0.504
Alabama,1976,116.2,0.501
Alabama,1977,117.1,0.551
Alabama,1978,123.0,0.568
Alabama,1979,121.4,0.606
Alabama,1980,123.2,0.688
Alabama,1981,119.6,0.731
Alabama,1982,119.1,0.844
Alabama,1983,116.3,0.908
Alabama,1984,113.0,0.99
Alabama,1985,114.5,1.03
Alabama,1986,116.3,1.1
Alabama,1987,114.0,1.144
Alabama,1988,112.1,1.223
Alabama,1989,105.6,1.391
Alabama,1990,108.6,1.444
Alabama,1991,107.9,1.722
Alabama,1992,109.1,1.762
Alabama,1993,108.5,1.546
Alabama,1994,107.1,1.551
Alabama,1995,102.6,1.583
Alabama,1996,101.4,1.674
Alabama,1997,104.9,1.805
Alabama,1998,106.2,1.956
Alabama,1999,100.7,2.707
Alabama,2000,96.2,2.884
Alaska,1970,121.3,0.418
Alaska,1971,123.0,0.421
Alaska,1972,130.0,0.42
Alaska,1973,125.8,0.438
Alaska,1974,130.4,0.449
Alaska,1975,150.4,0.483
Alaska,1976,164.8,0.515
Alaska,1977,159.3,0.563
Alaska,1978,143.6,0.571
Alaska,1979,138.1,0.609
Alaska,1980,134.0,0.635
Alaska,1981,144.0,0.728
Alaska,1982,148.3,0.86
Alaska,1983,146.9,0.962
Alaska,1984,133.6,1.027
Alaska,1985,128.9,1.1
Alaska,1986,126.3,1.215
Alaska,1987,110.4,1.254
Alaska,1988,80.0,1.394
Alaska,1989,94.4,1.702
Alaska,1990,100.2,2.017
Alaska,1991,101.8,2.073
Alaska,1992,98.5,2.191
Alaska,1993,95.2,2.009
Alaska,1994,94.1,2.014
Alaska,1995,89.5,2.125
Alaska,1996,89.9,2.144
Alaska,1997,81.7,2.97
Alaska,1998,78.6,3.276
Alaska,1999,70.5,4.047
Alaska,2000,66.0,4.397
Arizona,1970,115.2,0.385
Arizona,1971,109.6,0.38
Arizona,1972,125.0,0.387
Arizona,1973,128.3,0.392
Arizona,1974,133.1,0.477
Arizona,1975,121.8,0.491
Arizona,1976,122.3,0.487
Arizona,1977,121.7,0.536
Arizona,1978,124.7,0.586
Arizona,1979,124.6,0.608
Arizona,1980,126.8,0.633
Arizona,1981,113.8,0.733
Arizona,1982,113.5,0.805
Arizona,1983,111.1,0.928
Arizona,1984,107.1,0.988
Arizona,1985,107.1,1.067
Arizona,1986,107.9,1.135
Arizona,1987,106.1,1.135
Arizona,1988,102.2,1.256
Arizona,1989,96.8,1.302
Arizona,1990,88.9,1.514
Arizona,1991,81.2,1.657
Arizona,1992,79.0,1.836
Arizona,1993,80.3,1.621
Arizona,1994,79.0,1.629
Arizona,1995,77.3,2.079
Arizona,1996,71.4,2.22
Arizona,1997,64.6,2.31
Arizona,1998,66.0,2.501
Arizona,1999,61.7,3.177
Arizona,2000,58.5,3.458
Arkansas,1970,100.3,0.388
Arkansas,1971,104.1,0.441
Arkansas,1972,103.9,0.451
Arkansas,1973,108.0,0.455
Arkansas,1974,109.7,0.486
Arkansas,1975,114.8,0.509
Arkansas,1976,119.1,0.526
Arkansas,1977,122.6,0.565
Arkansas,1978,127.3,0.584
Arkansas,1979,126.5,0.615
Arkansas,1980,131.8,0.647
Arkansas,1981,128.7,0.721
Arkansas,1982,127.4,0.82
Arkansas,1983,128.0,0.936
Arkansas,1984,123.1,0.985
Arkansas,1985,125.8,1.036
Arkansas,1986,126.0,1.13
Arkansas,1987,122.3,1.199
Arkansas,1988,121.5,1.277
Arkansas,1989,118.3,1.412
Arkansas,1990,113.1,1.465
Arkansas,1991,116.8,1.773
Arkansas,1992,126.0,1.799
Arkansas,1993,113.8,1.681
Arkansas,1994,108.8,1.673
Arkansas,1995,113.0,1.671
Arkansas,1996,110.7,1.813
Arkansas,1997,108.7,1.873
Arkansas,1998,109.5,2.069
Arkansas,1999,104.8,2.793
Arkansas,2000,99.4,2.944
California,1970,123.0,0.397
California,1971,121.0,0.399
California,1972,123.5,0.399
California,1973,124.4,0.419
California,1974,126.7,0.45
California,1975,127.1,0.483
California,1976,128.0,0.49
California,1977,126.4,0.587
California,1978,126.1,0.601
California,1979,121.9,0.621
California,1980,120.2,0.664
California,1981,118.6,0.728
California,1982,115.4,0.849
California,1983,110.8,0.949
California,1984,104.8,0.98
California,1985,102.8,1.044
California,1986,99.7,1.039
California,1987,97.5,1.174
California,1988,90.1,1.264
California,1989,82.4,1.638
California,1990,77.8,1.868
California,1991,68.7,2.019
California,1992,67.5,2.051
California,1993,63.4,1.903
California,1994,58.6,1.951
California,1995,56.4,1.979
California,1996,54.5,2.003
California,1997,53.8,2.078
California,1998,52.3,2.249
California,1999,47.2,3.512
California,2000,41.6,3.655
Colorado,1970,124.8,0.311
Colorado,1971,125.5,0.312
Colorado,1972,134.3,0.327
Colorado,1973,137.9,0.381
Colorado,1974,132.8,0.417
Colorado,1975,131.0,0.448
Colorado,1976,134.2,0.447
Colorado,1977,132.0,0.574
Colorado,1978,129.2,0.528
Colorado,1979,131.5,0.546
Colorado,1980,131.0,0.581
Colorado,1981,133.8,0.614
Colorado,1982,130.5,0.733
Colorado,1983,125.3,0.834
Colorado,1984,119.7,0.931
Colorado,1985,112.4,0.951
Colorado,1986,109.9,1.086
Colorado,1987,102.4,1.16
Colorado,1988,94.6,1.308
Colorado,1989,88.8,1.493
Colorado,1990,87.4,1.457
Colorado,1991,90.2,1.575
Colorado,1992,88.3,1.682
Colorado,1993,88.6,1.532
Colorado,1994,89.1,1.642
Colorado,1995,85.4,1.696
Colorado,1996,83.1,1.744
Colorado,1997,81.3,1.858
Colorado,1998,81.2,2.042
Colorado,1999,79.6,2.813
Colorado,2000,73.0,2.933
Connecticut,1970,120.0,0.455
Connecticut,1971,117.6,0.513
Connecticut,1972,110.8,0.506
Connecticut,1973,109.3,0.525
Connecticut,1974,112.4,0.545
Connecticut,1975,110.2,0.576
Connecticut,1976,113.4,0.584
Connecticut,1977,117.3,0.617
Connecticut,1978,117.5,0.644
Connecticut,1979,117.4,0.67
Connecticut,1980,118.0,0.801
Connecticut,1981,116.4,0.856
Connecticut,1982,114.7,0.956
Connecticut,1983,114.1,1.135
Connecticut,1984,112.5,1.186
Connecticut,1985,111.0,1.185
Connecticut,1986,108.5,1.227
Connecticut,1987,109.0,1.297
Connecticut,1988,104.8,1.42
Connecticut,1989,100.6,1.712
Connecticut,1990,91.5,1.695
Connecticut,1991,86.7,1.935
Connecticut,1992,83.6,2.023
Connecticut,1993,79.1,2.056
Connecticut,1994,76.6,2.054
Connecticut,1995,79.3,2.063
Connecticut,1996,76.0,2.085
Connecticut,1997,75.9,2.179
Connecticut,1998,75.5,2.365
Connecticut,1999,73.4,3.123
Connecticut,2000,71.4,3.192
Delaware,1970,155.0,0.413
Delaware,1971,161.1,0.447
Delaware,1972,156.3,0.44
Delaware,1973,154.7,0.442
Delaware,1974,151.3,0.459
Delaware,1975,147.6,0.501
Delaware,1976,153.0,0.517
Delaware,1977,153.3,0.587
Delaware,1978,155.5,0.6
Delaware,1979,150.2,0.627
Delaware,1980,150.5,0.66
Delaware,1981,152.6,0.741
Delaware,1982,154.1,0.82
Delaware,1983,149.6,0.911
Delaware,1984,144.0,0.987
Delaware,1985,144.5,1.052
Delaware,1986,142.4,1.114
Delaware,1987,141.0,1.193
Delaware,1988,137.1,1.24
Delaware,1989,131.7,1.4
Delaware,1990,127.2,1.432
Delaware,1991,118.8,1.747
Delaware,1992,120.0,1.879
Delaware,1993,123.8,1.525
Delaware,1994,126.1,1.607
Delaware,1995,127.2,1.691
Delaware,1996,128.3,1.719
Delaware,1997,124.1,1.792
Delaware,1998,132.8,1.983
Delaware,1999,139.5,2.762
Delaware,2000,140.7,2.887
District of Columbia,1970,200.4,0.326
District of Columbia,1971,213.0,0.337
District of Columbia,1972,220.6,0.345
District of Columbia,1973,209.4,0.36
District of Columbia,1974,182.7,0.394
District of Columbia,1975,176.5,0.478
District of Columbia,1976,167.7,0.519
District of Columbia,1977,136.7,0.598
District of Columbia,1978,130.3,0.593
District of Columbia,1979,128.5,0.656
District of Columbia,1980,129.7,0.69
District of Columbia,1981,131.9,0.748
District of Columbia,1982,132.0,0.863
District of Columbia,1983,124.5,0.985
District of Columbia,1984,124.6,1.004
District of Columbia,1985,122.1,1.093
District of Columbia,1986,117.2,1.125
District of Columbia,1987,113.0,1.19
District of Columbia,1988,105.4,1.359
District of Columbia,1989,101.1,1.457
District of Columbia,1990,84.1,1.433
District of Columbia,1991,82.2,1.874
District of Columbia,1992,82.6,2.121
District of Columbia,1993,68.0,2.131
District of Columbia,1994,54.1,2.219
District of Columbia,1995,57.9,2.332
District of Columbia,1996,56.0,2.304
District of Columbia,1997,54.3,2.365
District of Columbia,1998,50.9,2.533
District of Columbia,1999,50.8,3.24
District of Columbia,2000,50.2,3.554
Florida,1970,123.6,0.438
Florida,1971,123.0,0.468
Florida,1972,126.0,0.474
Florida,1973,132.6,0.481
Florida,1974,136.0,0.517
Florida,1975,131.9,0.559
Florida,1976,130.3,0.559
Florida,1977,133.1,0.663
Florida,1978,133.4,0.665
Florida,1979,135.4,0.698
Florida,1980,139.0,0.728
Florida,1981,132.8,0.79
Florida,1982,131.8,0.905
Florida,1983,127.6,0.993
Florida,1984,124.7,1.042
Florida,1985,124.2,1.138
Florida,1986,124.7,1.208
Florida,1987,125.1,1.305
Florida,1988,119.5,1.398
Florida,1989,113.8,1.501
Florida,1990,110.1,1.748
Florida,1991,98.2,1.87
Florida,1992,95.9,1.937
Florida,1993,96.8,1.716
Florida,1994,93.6,1.733
Florida,1995,95.4,1.798
Florida,1996,91.8,1.827
Florida,1997,93.0,1.918
Florida,1998,91.7,2.156
Florida,1999,88.2,2.863
Florida,2000,82.5,3.023
Georgia,1970,109.9,0.358
Georgia,1971,115.7,0.409
Georgia,1972,117.0,0.424
Georgia,1973,119.8,0.424
Georgia,1974,123.7,0.445
Georgia,1975,122.9,0.479
Georgia,1976,125.9,0.495
Georgia,1977,127.9,0.547
Georgia,1978,130.6,0.566
Georgia,1979,131.0,0.593
Georgia,1980,134.0,0.626
Georgia,1981,131.7,0.678
Georgia,1982,131.2,0.789
Georgia,1983,128.6,0.868
Georgia,1984,126.3,0.907
Georgia,1985,128.8,1.001
Georgia,1986,129.0,1.039
Georgia,1987,129.3,1.092
Georgia,1988,124.1,1.224
Georgia,1989,117.1,1.323
Georgia,1990,113.8,1.382
Georgia,1991,109.6,1.595
Georgia,1992,109.2,1.672
Georgia,1993,109.2,1.478
Georgia,1994,107.8,1.538
Georgia,1995,100.3,1.561
Georgia,1996,102.7,1.589
Georgia,1997,100.6,1.687
Georgia,1998,100.5,1.88
Georgia,1999,97.1,2.574
Georgia,2000,88.1,2.878
Hawaii,1970,82.1,0.367
Hawaii,1971,85.0,0.367
Hawaii,1972,81.6,0.377
Hawaii,1973,79.2,0.407
Hawaii,1974,89.3,0.413
Hawaii,1975,92.4,0.466
Hawaii,1976,99.4,0.494
Hawaii,1977,95.1,0.567
Hawaii,1978,93.2,0.605
Hawaii,1979,88.8,0.635
Hawaii,1980,89.4,0.676
Hawaii,1981,85.6,0.755
Hawaii,1982,77.7,0.905
Hawaii,1983,80.0,1.039
Hawaii,1984,75.7,1.08
Hawaii,1985,69.8,1.172
Hawaii,1986,61.2,1.242
Hawaii,1987,54.7,1.338
Hawaii,1988,55.6,1.491
Hawaii,1989,57.4,1.655
Hawaii,1990,48.9,1.635
Hawaii,1991,54.7,2.049
Hawaii,1992,51.3,2.263
Hawaii,1993,52.4,2.151
Hawaii,1994,44.2,2.286
Hawaii,1995,45.7,2.311
Hawaii,1996,51.6,2.428
Hawaii,1997,49.1,2.603
Hawaii,1998,35.5,3.017
Hawaii,1999,32.5,3.733
Hawaii,2000,31.9,4.051
Idaho,1970,102.4,0.336
Idaho,1971,108.5,0.337
Idaho,1972,126.1,0.363
Idaho,1973,121.8,0.38
Idaho,1974,125.6,0.403
Idaho,1975,123.3,0.425
Idaho,1976,125.1,0.456
Idaho,1977,125.0,0.515
Idaho,1978,122.8,0.554
Idaho,1979,117.5,0.564
Idaho,1980,115.2,0.592
Idaho,1981,114.1,0.676
Idaho,1982,111.5,0.765
Idaho,1983,111.3,0.885
Idaho,1984,103.6,0.976
Idaho,1985,100.7,0.999
Idaho,1986,96.7,1.071
Idaho,1987,95.0,1.219
Idaho,1988,84.5,1.336
Idaho,1989,78.4,1.413
Idaho,1990,90.1,1.444
Idaho,1991,85.4,1.672
Idaho,1992,85.1,1.712
Idaho,1993,86.7,1.505
