code,state,year,homicide.rates,population.projection
11,Rondônia,1990,51.326351453697,1090093
11,Rondônia,1991,43.3480593135676,1148662
11,Rondônia,1992,34.593294115999,1175547
11,Rondônia,1993,39.3813028204813,1202280
11,Rondônia,1994,30.7465685048212,1229086
11,Rondônia,1995,24.4119847167571,1255878
11,Rondônia,1996,24.4040133213303,1282715
11,Rondônia,1997,28.1950844976378,1309645
11,Rondônia,1998,38.3174487004609,1336745
11,Rondônia,1999,33.4661698662446,1364166
11,Rondônia,2000,33.7733287819191,1401535
11,Rondônia,2001,40.131318196607,1431048
11,Rondônia,2002,42.3250564334147,1459811
11,Rondônia,2003,38.3951249867785,1487850
11,Rondônia,2004,37.9745124802371,1515151
11,Rondônia,2005,35.9706604526142,1541715
11,Rondônia,2006,37.6982679278027,1567546
11,Rondônia,2007,27.3580259957762,1592640
11,Rondônia,2008,32.1378499510623,1616992
11,Rondônia,2009,35.5739136159078,1640607
12,Acre,1990,15.7528767460446,413495
12,Acre,1991,25.1365753929817,422341
12,Acre,1992,24.6693492644512,438834
12,Acre,1993,26.0572024164514,455233
12,Acre,1994,19.7100384569932,471677
12,Acre,1995,22.6247822639007,488112
12,Acre,1996,21.0921167179641,504575
12,Acre,1997,19.9920831350958,521095
12,Acre,1998,21.203791782674,537720
12,Acre,1999,9.66044483508011,554541
12,Acre,2000,19.3712938948007,587407
12,Acre,2001,21.2408116079199,602009
12,Acre,2002,25.7264309262615,616781
12,Acre,2003,22.4772605048046,631650
12,Acre,2004,18.7233903989753,646548
12,Acre,2005,18.6640427511096,661427
12,Acre,2006,22.5733634311541,676252
12,Acre,2007,18.9068970370367,690997
12,Acre,2008,19.5567240575776,705635
12,Acre,2009,21.5576798149038,720132
13,Amazonas,1990,18.0160013509364,2073666
13,Amazonas,1991,19.0657950602901,2127602
13,Amazonas,1992,16.1942192669526,2205034
13,Amazonas,1993,15.5574645391385,2282029
13,Amazonas,1994,16.8313895721886,2359234
13,Amazonas,1995,18.2740582934054,2436396
13,Amazonas,1996,18.7504263838652,2513691
13,Amazonas,1997,18.938424111763,2591252
13,Amazonas,1998,21.2639852358276,2669305
13,Amazonas,1999,20.4197162240622,2748281
13,Amazonas,2000,19.8751527524835,2872524
13,Amazonas,2001,16.4815196650743,2946727
13,Amazonas,2002,17.2867617168439,3021363
13,Amazonas,2003,18.5082605896852,3096127
13,Amazonas,2004,16.870227628701,3170740
13,Amazonas,2005,18.5006492242985,3244995
13,Amazonas,2006,21.0507495214482,3318679
13,Amazonas,2007,20.9791385924585,3391594
13,Amazonas,2008,24.7523567117036,3463562
13,Amazonas,2009,26.9939178224038,3534456
14,Roraima,1990,61.2814189835138,207950
14,Roraima,1991,35.8483888906493,219349
14,Roraima,1992,42.1640000179582,231276
14,Roraima,1993,29.8641182619009,243135
14,Roraima,1994,30.9779500539774,255027
14,Roraima,1995,33.5629343158427,266912
14,Roraima,1996,43.296874936769,278817
14,Roraima,1997,35.3637356678325,290764
14,Roraima,1998,50.6327171740472,302786
14,Roraima,1999,57.6964865087384,314951
14,Roraima,2000,39.45782482574,336829
14,Roraima,2001,31.7269231111384,351178
14,Roraima,2002,34.8837879757489,365275
14,Roraima,2003,29.6672786709324,379035
14,Roraima,2004,22.5726881351662,392392
14,Roraima,2005,24.0213841427986,405273
14,Roraima,2006,27.2722764912729,417634
14,Roraima,2007,27.9328936310635,429406
14,Roraima,2008,25.4370940663673,440533
14,Roraima,2009,27.28370545937,450969
15,Pará,1990,15.464657733996,4884045
15,Pará,1991,16.4038415696044,5016290
15,Pará,1992,15.0840072308261,5152286
15,Pará,1993,11.9704628828397,5287514
15,Pará,1994,13.4279667413994,5423111
15,Pará,1995,12.7556053544109,5558632
15,Pará,1996,12.4844647349342,5694386
15,Pará,1997,13.2018854982407,5830609
15,Pará,1998,13.3311351695622,5967696
15,Pará,1999,10.8214389523919,6106403
15,Pará,2000,13.0161505235406,6386876
15,Pará,2001,15.0590274454244,6516683
15,Pará,2002,18.3770578702201,6646479
15,Pará,2003,21.0342525235798,6775865
15,Pará,2004,22.7301917281256,6904392
15,Pará,2005,27.6303687879518,7031660
15,Pará,2006,29.1260961664663,7157305
15,Pará,2007,30.4034219575684,7281011
15,Pará,2008,39.1723382102459,7402515
15,Pará,2009,40.2769948382826,7521656
16,Amapá,1990,16.1766926212669,283271
16,Amapá,1991,17.9683963551722,290747
16,Amapá,1992,23.8779021463804,311802
16,Amapá,1993,21.0497681287233,332738
16,Amapá,1994,38.4138239387612,353731
16,Amapá,1995,38.3216937575315,374713
16,Amapá,1996,43.2194255505833,395730
16,Amapá,1997,34.0875727159757,416820
16,Amapá,1998,38.7321517254554,438044
16,Amapá,1999,43.8852797857055,459519
16,Amapá,2000,32.4925791141684,499329
16,Amapá,2001,36.8933401505843,519202
16,Amapá,2002,35.0426125913223,538836
16,Amapá,2003,35.5259049289322,558398
16,Amapá,2004,31.2782498644321,577786
16,Amapá,2005,32.9646118164566,596914
16,Amapá,2006,32.9693174214633,615692
16,Amapá,2007,26.8592574907689,634068
16,Amapá,2008,34.411674527535,651977
16,Amapá,2009,30.4816256441332,669360
17,Tocantins,1990,5.87534947244571,917767
17,Tocantins,1991,10.1102011930002,932030
17,Tocantins,1992,7.10343986725709,958030
17,Tocantins,1993,9.58559316268638,983883
17,Tocantins,1994,10.6989330337677,1009806
17,Tocantins,1995,7.44793151080679,1035715
17,Tocantins,1996,12.2062629572376,1061668
17,Tocantins,1997,11.1959391125957,1087711
17,Tocantins,1998,12.0959807041965,1113920
17,Tocantins,1999,13.0410378551457,1140437
17,Tocantins,2000,15.3833123901312,1186152
17,Tocantins,2001,18.6520713505044,1211273
17,Tocantins,2002,14.9129086136956,1236171
17,Tocantins,2003,18.2898873993264,1260783
17,Tocantins,2004,16.3573922646333,1285028
17,Tocantins,2005,15.4705339938173,1308824
17,Tocantins,2006,17.7118270725274,1332107
17,Tocantins,2007,16.4840542531515,1354808
17,Tocantins,2008,18.1177953454456,1376898
17,Tocantins,2009,21.8255611374995,1398334
21,Maranhão,1990,9.07312733957768,4922472
21,Maranhão,1991,9.22873532048312,5007534
21,Maranhão,1992,8.32792018521488,5084188
21,Maranhão,1993,7.76197805854563,5160409
21,Maranhão,1994,5.98722686183734,5236837
21,Maranhão,1995,7.28314576842837,5313223
21,Maranhão,1996,6.68302891721371,5389740
21,Maranhão,1997,6.02404860633248,5466521
21,Maranhão,1998,4.96562239876331,5543790
21,Maranhão,1999,4.61394733529932,5621971
21,Maranhão,2000,6.0869065155561,5794912
21,Maranhão,2001,9.3535705510477,5879264
21,Maranhão,2002,9.92541635484451,5964486
21,Maranhão,2003,12.9732026751343,6049974
21,Maranhão,2004,11.7096668852046,6135099
21,Maranhão,2005,14.7951825705781,6219144
21,Maranhão,2006,14.9566427139414,6301445
21,Maranhão,2007,17.4139223910528,6381473
21,Maranhão,2008,19.712827087419,6458789
21,Maranhão,2009,21.8466428494844,6533027
22,Piauí,1990,4.451302163463,2582455
22,Piauí,1991,4.29876493771681,2625168
22,Piauí,1992,3.65575980349766,2652030
