state,quarter,medcost,employment,expansion
NC,1,0.1141518093,0.7166377449,0
NC,2,0.136075521,0.7194564062,0
NC,3,0.09687830688,0.7235449735,0
NC,4,0.1401114594,0.7354112554,0
NC,5,0.155637602,0.6875253424,0
NC,6,0.1165863352,0.7513712723,0
NC,7,0.1096747539,0.7300152247,0
NC,8,0.09883900929,0.7382868937,0
NC,9,0.1000604146,0.7358624734,0
NC,10,0.1166404259,0.733110149,0
NC,11,0.1394507576,0.7182108836,0
NC,12,0.1365111733,0.7236020876,0
NC,13,0.1351145721,0.7480294142,0
NC,14,0.1388955582,0.7568823334,0
NC,15,0.1420431739,0.7514052342,0
NC,16,0.1229563468,0.7863478312,0
NC,17,0.1252405671,0.7096318072,0
NC,18,0.1707484646,0.6955740987,0
NC,19,0.1428337062,0.7343624161,0
NC,20,0.1182575314,0.7093410319,0
NC,21,0.141145757,0.7064858348,0
NC,22,0.1116254772,0.7448181636,0
NC,23,0.158867176,0.7479418784,0
NC,24,0.1448028442,0.7655095885,0
NC,25,0.1087603079,0.7478639387,0
NC,26,0.1432255544,0.7383882884,0
NC,27,0.1315242764,0.6986869748,0
NC,28,0.1094778238,0.7571132571,0
NC,29,0.115954416,0.7060499413,0
NC,30,0.1311728395,0.7334104938,0
NC,31,0.1607501872,0.7245040392,0
NC,32,0.1059530605,0.7646683231,0
NC,33,0.07907966389,0.7229480858,0
NC,34,0.08377510909,0.723948691,0
NC,35,0.08847055429,0.7096306471,0
NC,36,0.0931659995,0.6728629705,0
NC,37,0.110771156,0.6655110951,0
NC,38,0.07813037496,0.7141498781,0
NC,39,0.09565026023,0.7038022128,0
NC,40,0.08085560408,0.6784499123,0
NC,41,0.1623235742,0.638153743,0
NC,42,0.1591492254,0.6797838017,0
NC,43,0.1794479729,0.6468954257,0
NC,44,0.1462995218,0.6829923037,0
NC,45,0.1837388665,0.6614328821,0
NC,46,0.1713578514,0.6539507195,0
NC,47,0.1752839231,0.6679001312,0
NC,48,0.1757350426,0.673722914,0
NC,49,0.1602040456,0.6574560287,0
NC,50,0.1694402065,0.6596986999,0
NC,51,0.1698530105,0.6620911028,0
NC,52,0.1719613908,0.6712352308,0
NC,53,0.1665617642,0.6510643629,0
NC,54,0.1575431504,0.6731077333,0
NC,55,0.152355997,0.65798539,0
NC,56,0.1658575047,0.6763868873,0
NC,57,0.1662818201,0.6094803681,0
NC,58,0.1636272066,0.6532274981,0
NC,59,0.1596086364,0.6340891078,0
NC,60,0.1560336859,0.6462394568,0
NC,61,0.1705853576,0.6591698289,0
NC,62,0.1687783576,0.6213737735,0
NC,63,0.1664267715,0.6413281738,0
NC,64,0.1623298778,0.6136289949,0
NC,65,0.1554624134,0.5967031632,0
NC,66,0.175245874,0.583451255,0
NC,67,0.1775980168,0.6150153286,0
NC,68,0.1778843191,0.6363527702,0
NC,69,0.1771810771,0.5548021814,0
NC,70,0.1707738507,0.5680159262,0
NC,71,0.1699845664,0.5907078584,0
NC,72,0.1872870532,0.6008917464,0
NC,73,0.1753178148,0.5683920337,0
NC,74,0.1742586348,0.5831053517,0
NC,75,0.1615266965,0.5923132393,0
NC,76,0.1868734533,0.5774245887,0
NC,77,0.2005387139,0.5947537112,0
NC,78,0.200672109,0.6031990441,0
NC,79,0.2244934144,0.5691597654,0
NC,80,0.197428592,0.5727161182,0
NC,81,0.1583389121,0.5950056117,0
NC,82,0.1997800221,0.5598570462,0
NC,83,0.2001565152,0.6005216697,0
NC,84,0.1995534676,0.6115862191,0
NC,85,0.1746776323,0.6011637628,0
NC,86,0.1710927554,0.5976244824,0
NC,87,0.1727231649,0.6156904158,0
NC,88,0.1875307415,0.6053840904,0
NC,89,0.1478738653,0.5717871751,0
NC,90,0.1796540655,0.6567801171,0
NC,91,0.1500350682,0.6170871821,0
NC,92,0.1687160108,0.5946447311,0
NC,93,0.1641034396,0.6192392166,0
NC,94,0.1824582825,0.6728073135,0
NC,95,0.1784186771,0.6382258336,0
NC,96,0.1798850575,0.6514954258,0
NC,97,0.1777132188,0.6290472593,0
NC,98,0.1928197593,0.6337802074,0
NC,99,0.1815476502,0.663412262,0
NC,100,0.1727398249,0.6054038774,0
SC,1,0.1755778468,0.7672920687,0
SC,2,0.1801260023,0.6965975139,0
SC,3,0.1465141612,0.7797385621,0
SC,4,0.1281690603,0.6940793932,0
SC,5,0.1151604713,0.6980200751,0
SC,6,0.1110683761,0.6847720798,0
SC,7,0.1168547263,0.7036071813,0
SC,8,0.1417729534,0.703880597,0
SC,9,0.0984434509,0.7013696686,0
SC,10,0.1513279605,0.6819466591,0
SC,11,0.1467177625,0.6924608518,0
SC,12,0.1289217362,0.7089371155,0
SC,13,0.1199044797,0.737335636,0
SC,14,0.1237670826,0.7569221628,0
SC,15,0.09873540529,0.6585627866,0
SC,16,0.1232601574,0.7415789669,0
SC,17,0.08867162093,0.698147996,0
SC,18,0.08973394037,0.6673035255,0
SC,19,0.06028417164,0.7540039784,0
SC,20,0.1541172353,0.7242014273,0
SC,21,0.09833241875,0.7569507957,0
SC,22,0.1194028713,0.6971356266,0
SC,23,0.1024942879,0.7367225184,0
SC,24,0.1245294859,0.7605839298,0
SC,25,0.09371129066,0.7419959965,0
SC,26,0.09218213058,0.7337000527,0
SC,27,0.1119840831,0.7228134723,0
SC,28,0.08988900469,0.7351532548,0
SC,29,0.1260765863,0.73694463,0
SC,30,0.1180606061,0.7837575758,0
SC,31,0.09916869776,0.7717170472,0
SC,32,0.127849401,0.7173195286,0
SC,33,0.06225735144,0.8291775647,0
SC,34,0.06417996396,0.6779839681,0
SC,35,0.06610257649,0.7382440823,0
SC,36,0.06802518901,0.6945729415,0
SC,37,0.08101600243,0.6514980748,0
SC,38,0.07486150998,0.6836802697,0
SC,39,0.05327850587,0.6740982715,0
SC,40,0.05484377143,0.6759803304,0
SC,41,0.1572217797,0.6345220798,0
SC,42,0.1311514893,0.6543589869,0
SC,43,0.1690540541,0.6808639409,0
SC,44,0.1381793536,0.6156368222,0
SC,45,0.1557043102,0.6712994299,0
SC,46,0.1521189938,0.6671212705,0
SC,47,0.1514035672,0.6469775529,0
SC,48,0.1616090089,0.6431395899,0
SC,49,0.1610215245,0.6727039585,0
SC,50,0.1418186783,0.6068873697,0
SC,51,0.1549326169,0.6421245705,0
SC,52,0.1787870382,0.6844841076,0
SC,53,0.1631582117,0.6524388443,0
SC,54,0.1538749644,0.6258318695,0
SC,55,0.1600810572,0.6429108708,0
SC,56,0.1567265913,0.6471582816,0
SC,57,0.1529814272,0.6192539175,0
SC,58,0.1486174975,0.6346027673,0
SC,59,0.1402787774,0.6479478701,0
SC,60,0.1501217625,0.6477950494,0
SC,61,0.1883123524,0.6030886669,0
SC,62,0.1855750486,0.6226966395,0
SC,63,0.1831710749,0.6292998339,0
SC,64,0.1786047737,0.605607567,0
SC,65,0.1898552538,0.5577900431,0
SC,66,0.1771103896,0.5745716089,0
SC,67,0.176993586,0.5900364576,0
SC,68,0.179039097,0.5688911283,0
SC,69,0.184340634,0.5769414344,0
SC,70,0.191074615,0.5464248534,0
SC,71,0.1750395817,0.5594582674,0
SC,72,0.183390562,0.5359792057,0
SC,73,0.2194431811,0.5599411859,0
SC,74,0.219993724,0.5639524788,0
SC,75,0.2162693777,0.563888132,0
SC,76,0.1777924895,0.5689319117,0
SC,77,0.2031009643,0.5457710775,0
SC,78,0.2014824143,0.5596074803,0
SC,79,0.2210843222,0.5621621702,0
SC,80,0.2276916559,0.5788878955,0
SC,81,0.1828880578,0.5954497128,0
SC,82,0.1986186066,0.5974060108,0
SC,83,0.2077804605,0.5823987027,0
SC,84,0.1768795189,0.566168376,0
SC,85,0.1791056998,0.5929180643,0
SC,86,0.2004031463,0.5663504002,0
SC,87,0.1863943788,0.5802625559,0
SC,88,0.2093540825,0.6129480378,0
SC,89,0.1785438991,0.5635810974,0
SC,90,0.1585656246,0.5917371199,0
SC,91,0.1800564556,0.5971550575,0
SC,92,0.1834734961,0.5830062672,0
SC,93,0.1527311211,0.5873461778,0
SC,94,0.1888599662,0.6029731679,0
SC,95,0.1607736676,0.5797563303,0
SC,96,0.1764787691,0.5800544215,0
SC,97,0.1776424356,0.6224618136,0
SC,98,0.1872753228,0.5887389159,0
SC,99,0.1696890761,0.5967775957,0
SC,100,0.1487937121,0.5965354911,0
MS,1,0.1936835957,0.6433185293,0
MS,2,0.1399545325,0.6584256891,0
MS,3,0.1677009549,0.7102381102,0
MS,4,0.1181856945,0.6395629464,0
MS,5,0.1613888889,0.6672222222,0
MS,6,0.1477566998,0.7227040048,0
MS,7,0.1167579089,0.7650389057,0
MS,8,0.1244088482,0.6961183151,0
MS,9,0.1700733753,0.7490694391,0
MS,10,0.1791352905,0.706664484,0
MS,11,0.1219473571,0.7096242379,0
MS,12,0.1309143813,0.6958124335,0
MS,13,0.1153928654,0.6551744052,0
MS,14,0.1745177045,0.7475824176,0
MS,15,0.1274154589,0.7398205659,0
MS,16,0.1149617271,0.684090273,0
MS,17,0.1575308642,0.6782683983,0
MS,18,0.1482683983,0.7186147186,0
MS,19,0.1706788115,0.6895467361,0
MS,20,0.1269135802,0.7356481481,0
MS,21,0.1488114981,0.7266926238,0
MS,22,0.1322241759,0.7017443979,0
MS,23,0.1908004779,0.6735663082,0
MS,24,0.1385975136,0.6870629371,0
MS,25,0.1351473964,0.7765685039,0
MS,26,0.1273056423,0.6939905881,0
MS,27,0.1180180773,0.6658677167,0
MS,28,0.09259399381,0.7133693167,0
MS,29,0.1767586565,0.7011863289,0
MS,30,0.1570825485,0.7172713244,0
MS,31,0.154155591,0.7058745348,0
MS,32,0.1583855937,0.6580292391,0
MS,33,0.1670098079,0.6817419329,0
MS,34,0.1298532869,0.637470425,0
MS,35,0.09269676583,0.6522323286,0
MS,36,0.05554024479,0.6663464567,0
MS,37,0.06384063965,0.6576957321,0
MS,38,0.09398760987,0.6536160317,0
MS,39,0.05893931544,0.6203791817,0
MS,40,0.08560292678,0.7038363493,0
MS,41,0.1676547424,0.6386955073,0
MS,42,0.1911426342,0.5976545237,0
MS,43,0.1891233048,0.6531033966,0
MS,44,0.1736410699,0.5929886191,0
MS,45,0.1795537684,0.6376981135,0
MS,46,0.2030555556,0.6229177233,0
MS,47,0.2084630938,0.6483490615,0
MS,48,0.2129538059,0.643537724,0
MS,49,0.1925074219,0.5708379309,0
MS,50,0.2046740405,0.6272135096,0
MS,51,0.1673188021,0.6066702109,0
MS,52,0.1486356088,0.6317005636,0
MS,53,0.175704154,0.5906779661,0
MS,54,0.1789540167,0.6121273049,0
MS,55,0.1962692629,0.5893567127,0
MS,56,0.2083506294,0.5784803233,0
MS,57,0.1722446762,0.6061414057,0
MS,58,0.2129862485,0.5991572808,0
MS,59,0.2030629777,0.5744854239,0
MS,60,0.1862869451,0.5694715,0
MS,61,0.1913309927,0.5524920539,0
MS,62,0.2128794323,0.5367881319,0
MS,63,0.2251902221,0.5658198276,0
MS,64,0.192914968,0.5947125716,0
MS,65,0.2022047351,0.4993379201,0
MS,66,0.2098327165,0.5439590443,0
MS,67,0.213606445,0.5378272696,0
MS,68,0.2152357209,0.5633182436,0
MS,69,0.2049916633,0.4932418856,0
MS,70,0.2199290269,0.5057818676,0
MS,71,0.2332572948,0.5266199919,0
MS,72,0.2165919599,0.5267439984,0
MS,73,0.2347538862,0.5472573032,0
MS,74,0.2419095703,0.5074658312,0
MS,75,0.2359066914,0.534241946,0
MS,76,0.244973035,0.5076267199,0
MS,77,0.2110192237,0.5426186177,0
MS,78,0.2397594596,0.556082181,0
MS,79,0.2331515561,0.5124401966,0
MS,80,0.2407742774,0.5423693643,0
MS,81,0.2131449895,0.5376542549,0
MS,82,0.2197200554,0.574809342,0
MS,83,0.2326134314,0.5223536243,0
MS,84,0.2157452259,0.5350070756,0
MS,85,0.1878864129,0.5214097828,0
MS,86,0.15,0.7166666667,0
MS,87,0.1240079365,0.5746070273,0
MS,88,0.208079342,0.5313438583,0
MS,89,0.2298982733,0.4894102365,0
MS,90,0.1922122225,0.5556960573,0
MS,91,0.1970138425,0.5047606098,0
MS,92,0.2071378105,0.4805349654,0
MS,93,0.1747211803,0.4944262381,0
MS,94,0.2097885604,0.5718466013,0
MS,95,0.2050817654,0.5854684359,0
MS,96,0.2164988155,0.5278406272,0
MS,97,0.161549888,0.5203094291,0
