state,year,cigsale,Proposition 99
Alabama,1970,89.8,False
Alabama,1971,95.4,False
Alabama,1972,101.1,False
Alabama,1973,102.9,False
Alabama,1974,108.2,False
Alabama,1975,111.7,False
Alabama,1976,116.2,False
Alabama,1977,117.1,False
Alabama,1978,123.0,False
Alabama,1979,121.4,False
Alabama,1980,123.2,False
Alabama,1981,119.6,False
Alabama,1982,119.1,False
Alabama,1983,116.3,False
Alabama,1984,113.0,False
Alabama,1985,114.5,False
Alabama,1986,116.3,False
Alabama,1987,114.0,False
Alabama,1988,112.1,False
Alabama,1989,105.6,False
Alabama,1990,108.6,False
Alabama,1991,107.9,False
Alabama,1992,109.1,False
Alabama,1993,108.5,False
Alabama,1994,107.1,False
Alabama,1995,102.6,False
Alabama,1996,101.4,False
Alabama,1997,104.9,False
Alabama,1998,106.2,False
Alabama,1999,100.7,False
Alabama,2000,96.2,False
Arkansas,1970,100.3,False
Arkansas,1971,104.1,False
Arkansas,1972,103.9,False
Arkansas,1973,108.0,False
Arkansas,1974,109.7,False
Arkansas,1975,114.8,False
Arkansas,1976,119.1,False
Arkansas,1977,122.6,False
Arkansas,1978,127.3,False
Arkansas,1979,126.5,False
Arkansas,1980,131.8,False
Arkansas,1981,128.7,False
Arkansas,1982,127.4,False
Arkansas,1983,128.0,False
Arkansas,1984,123.1,False
Arkansas,1985,125.8,False
Arkansas,1986,126.0,False
Arkansas,1987,122.3,False
Arkansas,1988,121.5,False
Arkansas,1989,118.3,False
Arkansas,1990,113.1,False
Arkansas,1991,116.8,False
Arkansas,1992,126.0,False
Arkansas,1993,113.8,False
Arkansas,1994,108.8,False
Arkansas,1995,113.0,False
Arkansas,1996,110.7,False
Arkansas,1997,108.7,False
Arkansas,1998,109.5,False
Arkansas,1999,104.8,False
Arkansas,2000,99.4,False
California,1970,123.0,False
California,1971,121.0,False
California,1972,123.5,False
California,1973,124.4,False
California,1974,126.7,False
California,1975,127.1,False
California,1976,128.0,False
California,1977,126.4,False
California,1978,126.1,False
California,1979,121.9,False
California,1980,120.2,False
California,1981,118.6,False
California,1982,115.4,False
California,1983,110.8,False
California,1984,104.8,False
California,1985,102.8,False
California,1986,99.7,False
California,1987,97.5,False
California,1988,90.1,False
California,1989,82.4,True
California,1990,77.8,True
California,1991,68.7,True
California,1992,67.5,True
California,1993,63.4,True
California,1994,58.6,True
California,1995,56.4,True
California,1996,54.5,True
California,1997,53.8,True
California,1998,52.3,True
California,1999,47.2,True
California,2000,41.6,True
Colorado,1970,124.8,False
Colorado,1971,125.5,False
Colorado,1972,134.3,False
Colorado,1973,137.9,False
Colorado,1974,132.8,False
Colorado,1975,131.0,False
Colorado,1976,134.2,False
Colorado,1977,132.0,False
Colorado,1978,129.2,False
Colorado,1979,131.5,False
Colorado,1980,131.0,False
Colorado,1981,133.8,False
Colorado,1982,130.5,False
Colorado,1983,125.3,False
Colorado,1984,119.7,False
Colorado,1985,112.4,False
Colorado,1986,109.9,False
Colorado,1987,102.4,False
Colorado,1988,94.6,False
Colorado,1989,88.8,False
Colorado,1990,87.4,False
Colorado,1991,90.2,False
Colorado,1992,88.3,False
Colorado,1993,88.6,False
Colorado,1994,89.1,False
Colorado,1995,85.4,False
Colorado,1996,83.1,False
Colorado,1997,81.3,False
Colorado,1998,81.2,False
Colorado,1999,79.6,False
Colorado,2000,73.0,False
Connecticut,1970,120.0,False
Connecticut,1971,117.6,False
Connecticut,1972,110.8,False
Connecticut,1973,109.3,False
Connecticut,1974,112.4,False
Connecticut,1975,110.2,False
Connecticut,1976,113.4,False
Connecticut,1977,117.3,False
Connecticut,1978,117.5,False
Connecticut,1979,117.4,False
Connecticut,1980,118.0,False
Connecticut,1981,116.4,False
Connecticut,1982,114.7,False
Connecticut,1983,114.1,False
Connecticut,1984,112.5,False
Connecticut,1985,111.0,False
Connecticut,1986,108.5,False
Connecticut,1987,109.0,False
Connecticut,1988,104.8,False
Connecticut,1989,100.6,False
Connecticut,1990,91.5,False
Connecticut,1991,86.7,False
Connecticut,1992,83.5,False
Connecticut,1993,79.1,False
Connecticut,1994,76.6,False
Connecticut,1995,79.3,False
Connecticut,1996,76.0,False
Connecticut,1997,75.9,False
Connecticut,1998,75.5,False
Connecticut,1999,73.4,False
Connecticut,2000,71.4,False
Delaware,1970,155.0,False
Delaware,1971,161.1,False
Delaware,1972,156.3,False
Delaware,1973,154.7,False
Delaware,1974,151.3,False
Delaware,1975,147.6,False
Delaware,1976,153.0,False
Delaware,1977,153.3,False
Delaware,1978,155.5,False
Delaware,1979,150.2,False
Delaware,1980,150.5,False
Delaware,1981,152.6,False
Delaware,1982,154.1,False
Delaware,1983,149.6,False
Delaware,1984,144.0,False
Delaware,1985,144.5,False
Delaware,1986,142.4,False
Delaware,1987,141.0,False
Delaware,1988,137.1,False
Delaware,1989,131.7,False
Delaware,1990,127.2,False
Delaware,1991,118.8,False
Delaware,1992,120.0,False
Delaware,1993,123.8,False
Delaware,1994,126.1,False
Delaware,1995,127.2,False
Delaware,1996,128.3,False
Delaware,1997,124.1,False
Delaware,1998,132.8,False
Delaware,1999,139.5,False
Delaware,2000,140.7,False
Georgia,1970,109.9,False
Georgia,1971,115.7,False
Georgia,1972,117.0,False
Georgia,1973,119.8,False
Georgia,1974,123.7,False
Georgia,1975,122.9,False
Georgia,1976,125.9,False
Georgia,1977,127.9,False
Georgia,1978,130.6,False
Georgia,1979,131.0,False
Georgia,1980,134.0,False
Georgia,1981,131.7,False
Georgia,1982,131.2,False
Georgia,1983,128.6,False
Georgia,1984,126.3,False
Georgia,1985,128.8,False
Georgia,1986,129.0,False
Georgia,1987,129.3,False
Georgia,1988,124.1,False
Georgia,1989,117.1,False
Georgia,1990,113.8,False
Georgia,1991,109.6,False
Georgia,1992,109.2,False
Georgia,1993,109.2,False
Georgia,1994,107.8,False
Georgia,1995,100.3,False
Georgia,1996,102.7,False
Georgia,1997,100.6,False
Georgia,1998,100.5,False
Georgia,1999,97.1,False
Georgia,2000,88.4,False
Idaho,1970,102.4,False
Idaho,1971,108.5,False
Idaho,1972,126.1,False
Idaho,1973,121.8,False
Idaho,1974,125.6,False
Idaho,1975,123.3,False
Idaho,1976,125.1,False
Idaho,1977,125.0,False
Idaho,1978,122.8,False
Idaho,1979,117.5,False
Idaho,1980,115.2,False
Idaho,1981,114.1,False
Idaho,1982,111.5,False
Idaho,1983,111.3,False
Idaho,1984,103.6,False
Idaho,1985,100.7,False
Idaho,1986,96.7,False
Idaho,1987,95.0,False
Idaho,1988,84.5,False
Idaho,1989,78.4,False
Idaho,1990,90.1,False
Idaho,1991,85.4,False
Idaho,1992,85.1,False
Idaho,1993,86.7,False
Idaho,1994,93.0,False
Idaho,1995,78.2,False
