"country","Algeria","Benin","Botswana","Burkina Faso","Burundi","Cabo Verde","Cameroon","Central African Republic","Chad","Congo, Dem. Rep.","Congo, Rep.","Cote d'Ivoire","Egypt, Arab Rep.","Gabon","Gambia, The","Ghana","Guinea-Bissau","Kenya","Madagascar","Mali","Mauritania","Mauritius","Morocco","Niger","Rwanda","Senegal","Seychelles","South Africa","Tanzania","Togo","Tunisia","Uganda","Zambia"
"Algeria",0,2279736714285.71,127084083333.333,199720500000,0,890196550000,6549186555555.56,5.04872e+11,60235636363.6364,174437875000,838153090909.091,75879883227272.7,507741025045455,1620709863636.36,692432333333.333,3466713954545.45,1.1808e+10,1717289454545.45,1004584681818.18,1341451909090.91,11199469045454.5,75858045454.5455,434955501681818,13817836363636.4,2.2161e+10,2348582590909.09,629440800000,94200601090909.1,3262829636363.64,1472505450000,460662995227273,1246737555555.56,4845875000
"Benin",2279736714285.71,0,7.2159e+10,14830095818181.8,0,7.8906e+11,13064746681818.2,50757600000,7464420636363.64,239633136363.636,7330996227272.73,75608806545454.5,2149614545454.55,9954505272727.27,38262857142.8571,36895428909090.9,6.3896e+10,307111363636.364,346917800000,51826972090909.1,6916796909090.91,2230206772727.27,1.3358726e+13,16443506500000,86552916666.6667,17527727909090.9,20318750000,26546780954545.5,108743083333.333,67761689681818.2,3160768409090.91,22851250000,9.2092e+10
"Botswana",127084083333.333,7.2159e+10,0,0,0,6.444e+09,2.5247e+10,3.369e+10,3.838e+09,3965434772727.27,2.47912e+11,188314700000,8.8458e+10,8.166e+09,0,526482136363.636,1.8072e+10,1046928500000,136634500000,1.63293e+11,3.6852e+10,2635573181818.18,56890800000,4.82746e+11,3.3414e+10,1.7126e+10,1.4634e+11,4317578710500000,1867935727272.73,18676250000,28215722222.2222,532577055555.556,26493471045454.5
"Burkina Faso",199720500000,14830095818181.8,0,0,0,0,3472984681818.18,1.3674e+10,7.83432e+11,1.896166e+12,4.276815e+12,240535280590909,7607792250000,7.9722e+10,0,87907635272727.3,3.4974e+10,3.28648e+11,23263750000,23459408909090.9,3.451947e+12,1159165100000,11743845500000,13532446590909.1,97137750000,16853765727272.7,0,28615050181818.2,27166250000,8.5610438e+13,7851344954545.45,135822250000,5.127e+09
"Burundi",0,0,0,0,0,0,0,0,0,2823682863636.36,0,0,6891861333333.33,0,0,0,0,33348263909090.9,0,0,0,0,0,0,4749099636363.64,0,0,6993551227272.73,19694142954545.5,0,0,21742749090909.1,7991829409090.91
"Cabo Verde",890196550000,7.8906e+11,6.444e+09,0,0,0,83047500000,2.145e+09,8.04e+08,0,3.322902e+12,6146930363636.36,559061666666.667,1462304400000,2.7201e+10,1089208555555.56,606651428571.429,1.18992e+11,0,1.1238e+10,0,0,1964274863636.36,2.6904e+10,0,3321155227272.73,5.57142e+11,1735140863636.36,56457500000,0,34483083333.3333,0,0
"Cameroon",6549186555555.56,13064746681818.2,2.5247e+10,3472984681818.18,0,83047500000,0,18606138318181.8,53596171863636.4,33659772954545.5,65113036800000,62016659090909.1,11510281227272.7,56877342227272.7,887037277777.778,7586580545454.55,2021199583333.33,1397867909090.91,163238250000,506794954545.455,22023037818181.8,3375905388888.89,20721874227272.7,4005808300000,69011583333.3333,25882912681818.2,1.83592e+11,61987746500000,2031178636363.64,12234721227272.7,14377226681818.2,148627333333.333,68699625000
"Central African Republic",5.04872e+11,50757600000,3.369e+10,1.3674e+10,0,2.145e+09,18606138318181.8,0,773762227272.727,994780545454.545,1218956875000,1036412409090.91,349142250000,2880443250000,0,9.4639e+10,0,652714700000,8300750000,13176750000,34270250000,1.92576e+11,3779336500000,55494250000,0,873671272727.273,32936833333.3333,2496187636363.64,1.22272e+11,157105111111.111,346945850000,384033333333.333,0
"Chad",60235636363.6364,7464420636363.64,3.838e+09,7.83432e+11,0,8.04e+08,53596171863636.4,773762227272.727,0,13632545454.5455,3486663590909.09,3820227818181.82,2734892181818.18,3381016954545.45,1.0122e+10,2553303611111.11,0,410461227272.727,45822187500,140909850000,1.457e+09,811828818181.818,6217917363636.36,192993818181.818,6409500000,9993520454545.46,1.554e+09,4143084545454.55,117471333333.333,2031332500000,2552828772727.27,47146437500,1.1086e+10
"Congo, Dem. Rep.",174437875000,239633136363.636,3965434772727.27,1.896166e+12,2823682863636.36,0,33659772954545.5,994780545454.545,13632545454.5455,0,8037824181818.18,30686602500000,10653694090909.1,4886040545454.55,0,556676318181.818,0,83118292611111.1,280823909090.909,39885555555.5556,623283333333.333,1087073900000,9615454363636.36,0,9305086272727.27,897563227272.727,2.258e+09,1132188769272727,50360430272727.3,759612045454.545,270739954545.455,47760025227272.7,493774248800000
