"country","amount"
"Algeria",6568960500000
"Benin",0
"Botswana",5.1396e+10
"Burkina Faso",0
"Burundi",0
"Cabo Verde",0
"Cameroon",7.9668e+10
"Central African Republic",789370500000
"Chad",4.9764e+10
"Congo, Dem. Rep.",153611350000
"Congo, Rep.",7.61687e+11
"Cote d'Ivoire",286764333333.333
"Egypt, Arab Rep.",3.31136641e+14
"Gabon",0
"Gambia, The",2.8146e+10
"Ghana",3.3672e+10
"Guinea-Bissau",0
"Kenya",82214359636363.6
"Madagascar",1271002636363.64
"Mali",7.86219e+11
"Mauritania",0
"Mauritius",206241937500
"Morocco",1674072409090.91
"Niger",6.1095e+10
"Rwanda",4035932750000
"Senegal",14423500000
"Seychelles",1410195200000
"South Africa",29522934583333.3
"Tanzania",4.20857e+11
"Togo",1.014e+10
"Tunisia",12061138454545.5
"Uganda",58842620909090.9
"Zambia",748870125000
