"","State.Code","Year","Deaths","Population","Homicide_num","Month.code","Unemployment_adj","Firearm.suicides","Suicides","Paid.Hunting.License.Holders","Personal.income.per.capita..dollars.","Annual.incarceration.rate","Number.of.sworn.officers.per.1.000.U.S..residents","Percentage.of.republican.voters.in.presidential.election","Num_pop_over15","Proportion.of.population.hispanic","Proportion.of.population.AA.or.B","Percentage.4.year.bachelors.or.above..25.years.old.and.over","Proportion.of.15.24","Density","Gallons.of.ethanol","Num_pov","MSA","Prop_male","homicide_total","prop_urban","p100khomicide_firearm","homicide_exclfirearm","p100khomicide_exclfirearm","p100khomicide_firearm_m6","time","Case","State","Violent.Crime.rate","Murder.and.nonnegligent.manslaughter.rate","Robbery.rate","Aggravated.assault.rate","Property.crime.rate","Burglary.rate","Larceny.theft.rate","Firearm.Ownership.Rate","Type","Ethanol.Gallons.21.Older.Capita","Homicide_count","HomicideRates","Prop_pop_over_15","Firearm.Suicide.Rates","treatdummy"
"1",5,1999,2720,2651900,11,1,4.8,26,36,412114,21856,443,NA,NA,379744,2.8141,16.0053,17.3,14.31991131,NA,1286626,2616,NA,NA,16,NA,0.414803195,5,0.188546907,0.289105257,1,0,"Arkansas",425.2,5.6,79.3,312.4,3617,850.2,2505.6,0.555,4,2.0123,16,0.603341000791885,0.143196953127946,0.980429126286813,0
"2",5,1999,2263,2651900,4,2,4.5,18,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0.150837525,9,0.339384432,0.289105257,2,0,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.490214563143407,NA,0.678758625890871,0
"3",5,1999,2763,2651900,2,3,4.5,17,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0.075418763,9,0.339384432,0.289105257,3,0,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.414796938044421,NA,0.641049813341378,0
"4",5,1999,2349,2651900,10,4,4.4,11,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,0.377093813,6,0.226256288,0.28282036,4,0,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.603341000791885,NA,0.414796938044421,0
"5",5,1999,2325,2651900,10,5,4.4,24,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,0.377093813,7,0.263965669,0.314244844,5,0,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.641049813341378,NA,0.905011501187828,0
"6",5,1999,2075,2651900,9,6,4.3,17,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0.339384432,2,0.075418763,0.345669329,6,0,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.414796938044421,NA,0.641049813341378,0
"7",5,1999,2177,2651900,10,7,4.2,14,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,0.377093813,7,0.263965669,0.36452402,7,0,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.641049813341378,NA,0.527923375692899,0
"8",5,1999,2111,2651900,9,8,4.2,19,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0.339384432,6,0.226256288,0.333099535,8,0,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.565632188242392,NA,0.716467438440364,0
"9",5,1999,2053,2651900,7,9,4.1,25,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0.263965669,3,0.113128144,0.395948504,9,0,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.377088125494928,NA,0.94272031373732,0
"10",5,1999,2295,2651900,13,10,4.1,22,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,0.490221957,4,0.150837525,0.420379154,10,0,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.641049813341378,NA,0.829593876088842,0
