state,statefip,year,bmprison
Alabama,1,1985,6227.0
Alabama,1,1986,6657.0
Alabama,1,1987,7281.0
Alabama,1,1988,7244.0
Alabama,1,1989,8056.0
Alabama,1,1990,9282.0
Alabama,1,1991,10119.0
Alabama,1,1992,10660.0
Alabama,1,1993,11450.0
Alabama,1,1994,11996.0
Alabama,1,1995,12715.0
Alabama,1,1996,13397.0
Alabama,1,1997,13784.0
Alabama,1,1998,14080.0
Alabama,1,1999,15206.0
Alabama,1,2000,14727.0
Alaska,2,1985,198.0
Alaska,2,1986,211.0
Alaska,2,1987,217.0
Alaska,2,1988,271.0
Alaska,2,1989,310.0
Alaska,2,1990,288.0
Alaska,2,1991,314.0
Alaska,2,1992,327.0
Alaska,2,1993,313.0
Alaska,2,1994,415.0
Alaska,2,1995,440.0
Alaska,2,1996,486.0
Alaska,2,1997,538.0
Alaska,2,1998,509.0
Alaska,2,1999,467.0
Alaska,2,2000,474.0
Arizona,4,1985,1297.0
Arizona,4,1986,1452.0
Arizona,4,1987,1675.0
Arizona,4,1988,1775.0
Arizona,4,1989,2033.0
Arizona,4,1990,2283.0
Arizona,4,1991,2432.0
Arizona,4,1992,2654.0
Arizona,4,1993,2865.0
Arizona,4,1994,3085.0
Arizona,4,1995,3142.0
Arizona,4,1996,3172.0
Arizona,4,1997,3255.0
Arizona,4,1998,3444.0
Arizona,4,1999,3539.0
Arizona,4,2000,3544.0
Arkansas,5,1985,2153.0
Arkansas,5,1986,2238.0
Arkansas,5,1987,2536.0
Arkansas,5,1988,2646.0
Arkansas,5,1989,3126.0
Arkansas,5,1990,3648.5
Arkansas,5,1991,4171.0
Arkansas,5,1992,4449.0
Arkansas,5,1993,4642.0
Arkansas,5,1994,4612.0
Arkansas,5,1995,4841.0
Arkansas,5,1996,4873.0
Arkansas,5,1997,5222.0
Arkansas,5,1998,5421.0
Arkansas,5,1999,4839.0
Arkansas,5,2000,5772.0
California,6,1985,16138.0
California,6,1986,19549.0
California,6,1987,22184.0
California,6,1988,26438.0
California,6,1989,30066.0
California,6,1990,32190.0
California,6,1991,32981.0
California,6,1992,34279.0
California,6,1993,36461.0
California,6,1994,37472.0
California,6,1995,39399.0
California,6,1996,42300.0
California,6,1997,44682.0
California,6,1998,46235.0
California,6,1999,46578.0
California,6,2000,46243.0
Colorado,8,1985,665.0
Colorado,8,1986,786.0
Colorado,8,1987,959.0
Colorado,8,1988,1229.0
Colorado,8,1989,1492.0
Colorado,8,1990,1525.0
Colorado,8,1991,1801.0
Colorado,8,1992,1912.0
Colorado,8,1993,2152.0
Colorado,8,1994,2364.0
Colorado,8,1995,2496.0
Colorado,8,1996,2747.0
Colorado,8,1997,3030.0
Colorado,8,1998,3059.0
Colorado,8,1999,3310.0
Colorado,8,2000,3586.0
Connecticut,9,1985,2620.0
Connecticut,9,1986,2890.0
Connecticut,9,1987,3070.0
Connecticut,9,1988,3541.0
Connecticut,9,1989,4172.0
Connecticut,9,1990,4818.0
Connecticut,9,1991,4856.0
Connecticut,9,1992,4897.0
Connecticut,9,1993,5873.0
Connecticut,9,1994,6175.0
Connecticut,9,1995,6406.0
Connecticut,9,1996,6396.0
Connecticut,9,1997,7456.0
Connecticut,9,1998,7675.0
Connecticut,9,1999,8042.0
Connecticut,9,2000,7882.0
Delaware,10,1985,1356.0
Delaware,10,1986,1545.0
Delaware,10,1987,1595.0
Delaware,10,1988,1823.0
Delaware,10,1989,2045.0
Delaware,10,1990,2102.0
Delaware,10,1991,2287.0
Delaware,10,1992,2476.0
