state,year,month,all_births,white_births,black_births,hisp_births,private_births,medicaid_births,married_births,unmarried_births,fbhisp_births,nbhisp_births,under20_births,age2035_births,age35plus_births,monthcode,year_mth
Alabama,2016,January,4805,2786,1462,381,1938,2556,2649,2156,284,97,376,3930,499,0,2016
Alabama,2016,February,4718,2846,1381,349,2019,2399,2639,2079,269,80,353,3845,520,0.08,2016.08
Alabama,2016,March,4825,2839,1430,404,2176,2358,2797,2028,314,90,380,3897,548,0.17,2016.17
Alabama,2016,April,4527,2730,1305,332,2067,2182,2573,1954,241,91,337,3682,508,0.25,2016.25
Alabama,2016,May,4802,2908,1400,362,2181,2293,2750,2052,279,83,363,3879,560,0.33,2016.33
Alabama,2016,June,5047,3077,1450,364,2214,2533,2800,2247,285,79,398,4088,561,0.42,2016.42
Alabama,2016,July,5043,2971,1511,388,2216,2527,2792,2251,295,93,360,4141,542,0.5,2016.5
Alabama,2016,August,5325,3149,1564,420,2329,2651,2913,2412,327,93,414,4347,564,0.58,2016.58
Alabama,2016,September,5239,3075,1550,414,2266,2677,2894,2345,334,80,398,4251,590,0.67,2016.67
Alabama,2016,October,4973,2933,1497,382,2085,2578,2649,2324,295,87,366,4060,547,0.75,2016.75
Alabama,2016,November,4910,2815,1550,373,2061,2555,2642,2268,291,82,374,4037,499,0.83,2016.83
Alabama,2016,December,4937,2770,1595,411,2088,2547,2603,2334,326,85,409,3998,530,0.92,2016.92
Alabama,2017,January,4937,2872,1535,379,2150,2486,2534,2403,292,87,371,4046,520,0,2017
Alabama,2017,February,4497,2575,1370,380,1949,2286,2346,2150,289,91,327,3649,521,0.08,2017.08
Alabama,2017,March,4809,2837,1447,368,2145,2351,2603,2206,276,92,356,3919,534,0.17,2017.17
Alabama,2017,April,4383,2643,1249,332,2074,2053,2429,1954,249,83,340,3553,490,0.25,2017.25
Alabama,2017,May,4763,2884,1382,347,2213,2275,2614,2148,254,93,344,3857,562,0.33,2017.33
Alabama,2017,June,4823,2852,1413,378,2196,2359,2639,2182,287,91,332,3935,556,0.42,2017.42
Alabama,2017,July,5053,2875,1583,415,2237,2512,2681,2372,311,104,363,4171,519,0.5,2017.5
Alabama,2017,August,5539,3246,1670,438,2472,2741,2909,2629,328,110,410,4526,603,0.58,2017.58
Alabama,2017,September,5211,3059,1592,373,2362,2567,2715,2495,289,84,371,4244,596,0.67,2017.67
Alabama,2017,October,5061,2903,1577,404,2251,2517,2594,2467,306,98,375,4125,561,0.75,2017.75
Alabama,2017,November,4969,2825,1587,378,2211,2473,2612,2357,271,107,363,3969,637,0.83,2017.83
