X,name,Year,D,TR.year,agePA,PAArea,Forest.2000,Loss.2001,Loss.2002,Loss.2003,Loss.2004,Loss.2005,Loss.2006,Loss.2007,Loss.2008,Loss.2009,Loss.2010,Loss.2011,Loss.2012,Loss.2013,Loss.2014,Loss.2015,Loss.2016,Loss.2017,Loss.2018,Loss.2019,Loss.2020,Rainfall.2000,Rainfall.2001,Rainfall.2002,Rainfall.2003,Rainfall.2004,Rainfall.2005,Rainfall.2006,Rainfall.2007,Rainfall.2008,Rainfall.2009,Rainfall.2010,Rainfall.2011,Rainfall.2012,Rainfall.2013,Rainfall.2014,Rainfall.2015,Rainfall.2016,Rainfall.2017,Rainfall.2018,Rainfall.2019,Rainfall.2020,Population.2000,Population.2001,Population.2002,Population.2003,Population.2004,Population.2005,Population.2006,Population.2007,Population.2008,Population.2009,Population.2010,Population.2011,Population.2012,Population.2013,Population.2014,Population.2015,Population.2016,Population.2017,Population.2018,Population.2019,Population.2020,slope,aspect,elevation,ppp2000,Road.length,Zone,x,y,closest.city,AGB.mean
1,Achanakmar WLS/Tiger Reserve,1975,1,2009,45,941474638.1,780.9004518,0.033882353,0.078882353,0.225582353,1.110338824,1.6479,1.946138824,2.144138824,2.356987059,2.601028235,2.724892941,3.665424706,4.083924706,4.234295294,4.252295294,4.255895294,4.295495294,4.317095294,4.317095294,4.319795294,4.355795294,1042.767711,1666.159479,1164.497759,1852.221417,1415.843143,1673.050278,1258.293372,1530.834498,1393.455099,1439.695626,1383.919037,1644.407227,1618.966973,1819.797167,1330.007081,1233.314719,1507.215729,1277.300915,1403.236206,1532.796303,1742.004687,0.407951031,0.389570244,0.358293366,0.367829456,0.350442104,0.33099457,0.359443804,0.325023265,0.33558269,0.313362617,0.325067426,0.297350915,0.348671086,0.372580736,0.363527317,0.337207472,0.346805644,0.353677895,0.360134858,0.367561905,0.358771918,6.091826735,169.873391,541.9650148,2.43514,103759.064,CEEG,81.74257,22.46835,210.6989066,198.7343087
2,Amrabad,1978,1,2015,42,2738005357,247.9039871,0.0261,0.0297,0.0342,0.0405,0.0441,0.0468,0.0468,0.0513,0.0522,0.0522,0.0792,0.1017,0.1341,0.1386,0.1386,0.1386,0.1386,0.1386,0.1386,0.1386,1236.377742,946.3107992,855.3061938,730.5135157,759.4256827,1132.497142,925.500259,1303.106309,938.8253905,847.2459334,1410.165606,769.2104116,989.293686,1013.5006,755.0302418,730.6776818,847.9901024,896.6262009,750.2587185,925.5868821,1355.898543,0.289294243,0.281852538,0.279888284,0.279830545,0.280522806,0.278493769,0.282783143,0.284302695,0.289674937,0.285157421,0.288031148,0.281456232,0.249387544,0.264085787,0.278297255,0.288195508,0.28481107,0.291163124,0.292854646,0.301114326,0.305743646,7.11723603,158.5721172,469.3010257,3.394374381,112069.4667,CEEG,78.88,16.293,238.164713,63.48097908
3,Anamalai Tiger Reserve,1976,1,2007,44,964536759.9,756.8176094,0.099,0.274090588,0.448189412,0.584989412,0.687875294,0.842647059,1.121855294,1.216231765,1.272931765,1.272931765,2.160356471,2.888837647,3.300511765,4.652082353,4.730382353,4.872942353,5.490709412,5.914856471,6.261568236,6.502792942,1728.220259,1781.846593,1332.378462,1406.901846,1680.856389,2025.141579,1964.879415,2013.196947,1795.987594,1647.52788,2224.30502,1871.167129,1653.355836,1290.388819,1503.924348,1644.256049,980.3542254,1571.038392,1669.1634,1497.201915,1673.749475,0.561837423,0.589514255,0.595335396,0.573851863,0.666942852,0.623071001,0.626751395,0.686725024,0.650051777,0.661295,0.68228794,0.675360332,0.589189446,0.696880883,0.712980732,0.727924575,0.711260033,0.737147652,0.736732188,0.754522427,0.72485071,17.65099311,187.7835872,1033.897352,12.38451386,75484.38529,WG,77.07376,10.38539,368.7264808,199.6412975
4,Anamudi Shola National Park,2003,0,0,17,18408838.61,18.38213294,0.052115294,0.060723529,0.063889411,0.093787058,0.093787058,0.10079647,0.109274117,0.114232941,0.114232941,0.114232941,0.129197647,0.138762353,0.139009353,0.157069353,0.181298765,0.184898765,0.225398765,0.238898765,0.254604647,0.331563471,1949.543475,2025.32888,1510.233247,1613.546384,1897.630316,2304.30045,2260.222005,2339.294609,2024.9268,1941.265254,2568.621664,2169.618045,1976.853189,1348.430458,1554.687919,1777.77362,958.780271,1652.045524,1644.271803,1522.565046,1740.358908,0.351676199,0.572253051,0.465079856,0.393746422,0.514727417,0.418881283,0.404506203,0.397254366,0.432943699,0.48839455,0.470994132,0.531165924,0.639084969,0.63700317,0.620873231,0.42247187,0.398446641,0.387627388,0.390992334,0.388729341,0.372823175,21.35318393,197.709928,1917.708641,9.755681,0,WG,77.19316,10.19991,549.2380952,297.3611271
5,Aralam WLS,1984,0,0,36,51175435.26,51.44444824,9.00E-04,0.0027,0.0081,0.0081,0.0081,0.009,0.009,0.009,0.0099,0.0126,0.0126,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189,2846.654762,2696.888954,2540.089112,2615.744582,3052.108997,3366.283575,3390.150488,3567.444582,2884.818849,3275.05351,3425.022964,3544.078143,2951.361461,3006.745912,2796.923883,2412.240677,1893.355244,2769.299831,3519.118894,3075.185844,2969.634715,0.594188255,0.876720969,0.670681668,0.652999405,0.530028413,0.712938534,0.719256577,0.595575408,0.590779496,0.503761252,0.527269141,0.407874305,0.749605137,0.750996311,0.653287535,0.541080278,0.589119301,0.568444944,0.617050234,0.630994543,0.540761352,17.78008245,206.1846557,499.9329292,8.978819,0,WG,75.85735,11.94549,866.4385965,285.018781
6,Badrama WLS,1962,0,0,58,483944658.5,419.6718141,0.117,0.1314,0.211690588,0.250390588,0.264790588,0.292115294,0.314982353,0.343782353,0.434682353,0.466182353,0.521082353,0.726437647,0.741737647,0.745337647,0.748037647,0.751637647,0.784037647,0.798437647,0.811037647,0.820937647,967.377255,1645.429073,1198.98564,1651.175538,1399.495082,1493.950372,1787.274727,1801.481019,1892.879351,1392.141535,1128.434718,1747.146665,1624.563962,1726.727877,1440.698946,1399.152249,1275.986713,1655.691472,1692.986154,1450.073143,1826.650431,0.305766664,0.306465775,0.299872761,0.32433227,0.335646272,0.315065238,0.332382411,0.33739106,0.317776648,0.321142112,0.316082066,0.33965281,0.369155308,0.386656619,0.412121131,0.365538806,0.379125941,0.398848579,0.393384752,0.407480993,0.40518193,10.3768821,175.8764243,445.1011524,1.76049,13061.65343,CEEG,84.38202,21.43888,375.6157635,220.3723116
7,Bandhavgarh National Park/Tiger Reserve,1968,1,2007,52,481751810.6,203.1554047,0.0036,0.0117,0.0387,0.0486,0.058203529,0.059103529,0.060003529,0.063289411,0.065089411,0.065089411,0.07769647,0.100591764,0.100591764,0.100591764,0.100591764,0.100591764,0.100591764,0.100591764,0.100591764,0.100591764,936.6162522,1273.586666,1130.070235,1448.15382,1144.858683,1409.449038,1232.401588,1105.692391,1281.750697,928.6599275,1144.295392,1388.616371,1451.674823,1639.810545,1078.334487,838.2681364,1529.673396,987.9660762,1209.691793,1524.771442,1231.876066,0.465412803,0.460741931,0.46054283,0.465573722,0.469613706,0.484684184,0.48644263,0.476657168,0.47277789,0.479554875,0.488843362,0.480662448,0.464635968,0.46061709,0.448892662,0.474380149,0.460174418,0.483448944,0.487590659,0.502443107,0.523748024,3.415044358,173.5059692,482.0803374,2.754808649,33733.60708,CEEG,81.00759,23.63651,202.0474632,145.974725
8,Bandipur National Park/Tiger Reserve,1974,1,2007,46,957487671.8,541.7038129,0.0018,0.004517647,0.040517647,0.042317647,0.046817647,0.072917647,0.081017647,0.085517647,0.086417647,0.086417647,0.102091765,0.140791765,0.183991765,0.201091765,0.201091765,0.201091765,0.271461177,0.281731765,0.343171765,0.391771765,1462.580192,1431.98155,1272.643856,1287.602717,1597.238373,1875.647868,1691.981847,1738.478504,1469.789188,1460.234155,1958.831753,1615.997232,1454.543454,1137.269609,1244.388293,1308.868464,859.8435344,1427.627582,1442.499201,1455.018224,1435.023544,0.388123639,0.385456531,0.374146611,0.364801727,0.383491724,0.399508906,0.387031129,0.383098344,0.363839767,0.339183681,0.396300953,0.340004878,0.327099194,0.350370331,0.394655428,0.387044117,0.372488207,0.396177244,0.420133499,0.434578489,0.386336664,6.228442906,184.8955642,880.082629,10.18638,76696.32046,WG,76.49604,11.77129,215.8585153,131.4247758
9,Bannerghatta National Park,1974,0,0,46,202724866.6,17.76146471,0,0,0.003052941,0.004852941,0.006652941,0.010252941,0.011152941,0.011152941,0.011152941,0.012952941,0.014752941,0.016552941,0.023752941,0.023752941,0.023752941,0.023752941,0.023752941,0.023752941,0.023752941,0.023752941,1266.265962,1100.27122,901.9516711,814.4345063,1204.831334,1506.350621,958.3310943,1388.812889,1235.282713,1082.121927,1454.816158,1241.602633,1012.312448,980.5638634,1142.870062,1221.197435,713.6238727,1397.149344,1097.030681,1128.424234,1239.412979,1.47730572,1.498925138,1.52345505,1.552404705,1.565143655,1.607771903,1.568980765,1.58173716,1.593025322,1.631518971,1.674725174,1.683581482,1.450914704,1.60012495,1.66094116,1.770758428,1.796305737,1.901416952,1.952006315,2.016924612,1.922581813,8.169598703,191.2387289,832.795273,9.992133,2151.185459,WG,77.56624,12.59114,316.7261411,41.99785387
10,Barnawapara WLS,1976,0,0,44,249906489.2,118.5534953,0.057268235,0.070768235,0.077068235,0.129525882,0.159225882,0.159225882,0.183137647,0.215255294,0.228755294,0.432829412,0.467149412,0.512865883,0.512865883,0.512865883,0.522765883,0.522765883,0.529065883,0.529065883,0.533191765,0.537801177,1043.06633,1670.529099,1098.771004,1709.32577,1429.341115,1447.624877,1320.625657,1527.739718,1590.837871,1369.685472,1314.107382,1573.203163,1642.481996,1705.772571,1417.623828,1304.750344,1353.601375,1492.619697,1450.767006,1750.028356,1707.20828,0.323404494,0.301385003,0.289736175,0.303697306,0.326457614,0.292431915,0.313754926,0.311861178,0.312602703,0.31845666,0.384348609,0.494523428,0.574890048,0.593086368,0.573005599,0.518737994,0.510466086,0.541928462,0.536067711,0.549584532,0.622263218,3.142716083,173.1631497,339.34748,4.915703,41305.58017,CEEG,82.45625,21.40816,158.0094637,130.4209165
