"INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes","ID","pass_km_travelled","deathrate_mln","COUNTRYNAME"
"ROADACCID","DEATH","NBR","A",1970,620,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1971,644,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1972,625,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1973,701,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1974,557,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1975,596,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1976,587,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1977,680,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1978,729,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1979,735,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1980,558,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1981,565,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1982,569,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1983,527,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1984,492,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1985,464,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1986,504,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1987,558,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1988,551,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1989,554,"",27,NA,NA,"SVN"
"ROADACCID","DEATH","NBR","A",1990,517,"",27,1.9828e+10,0.0260742384506758,"SVN"
"ROADACCID","DEATH","NBR","A",1991,462,"",27,1.816e+10,0.0254405286343612,"SVN"
"ROADACCID","DEATH","NBR","A",1992,492,"",27,1.7556e+10,0.0280246069719754,"SVN"
"ROADACCID","DEATH","NBR","A",1993,493,"",27,1.7873e+10,0.027583505846808,"SVN"
"ROADACCID","DEATH","NBR","A",1994,505,"",27,1.9231e+10,0.0262596848837814,"SVN"
"ROADACCID","DEATH","NBR","A",1995,415,"",27,2.0451e+10,0.0202924062393037,"SVN"
"ROADACCID","DEATH","NBR","A",1996,389,"",27,2.2095e+10,0.0176057931658746,"SVN"
"ROADACCID","DEATH","NBR","A",1997,357,"",27,2.3389e+10,0.0152635854461499,"SVN"
"ROADACCID","DEATH","NBR","A",1998,309,"",27,2.2856e+10,0.0135194259712986,"SVN"
"ROADACCID","DEATH","NBR","A",1999,334,"",27,2.4212e+10,0.0137948124896745,"SVN"
"ROADACCID","DEATH","NBR","A",2000,313,"",27,2.3827e+10,0.0131363579132916,"SVN"
"ROADACCID","DEATH","NBR","A",2001,278,"",27,2.4194e+10,0.011490452178226,"SVN"
"ROADACCID","DEATH","NBR","A",2002,268,"",27,2.4626e+10,0.010882806789572,"SVN"
"ROADACCID","DEATH","NBR","A",2003,242,"",27,2.4777e+10,0.00976712273479437,"SVN"
"ROADACCID","DEATH","NBR","A",2004,274,"",27,2.526e+10,0.0108471892319873,"SVN"
