store,week,sales,Temperature,Fuel_Price,CPI,Unemployment
1,1,1643690.9,42.31,2.572,211.0963582,8.106
1,2,1641957.44,38.51,2.548,211.2421698,8.106
1,3,1611968.17,39.93,2.514,211.2891429,8.106
1,4,1409727.59,46.63,2.561,211.3196429,8.106
1,5,1554806.68,46.5,2.625,211.3501429,8.106
1,6,1439541.59,57.79,2.667,211.3806429,8.106
1,7,1472515.79,54.58,2.72,211.215635,8.106
1,8,1404429.92,51.45,2.732,211.0180424,8.106
1,9,1594968.28,62.27,2.719,210.8204499,7.808
1,10,1545418.53,65.86,2.77,210.6228574,7.808
1,11,1466058.28,66.32,2.808,210.4887,7.808
1,12,1391256.12,64.84,2.795,210.4391228,7.808
1,13,1425100.71,67.41,2.78,210.3895456,7.808
1,14,1603955.12,72.55,2.835,210.3399684,7.808
1,15,1494251.5,74.78,2.854,210.3374261,7.808
1,16,1399662.07,76.44,2.826,210.6170934,7.808
1,17,1432069.95,80.44,2.759,210.8967606,7.808
1,18,1615524.71,80.69,2.705,211.1764278,7.808
1,19,1542561.09,80.43,2.668,211.4560951,7.808
1,20,1503284.06,84.11,2.637,211.4537719,7.808
1,21,1422711.6,84.34,2.653,211.3386526,7.808
1,22,1492418.14,80.91,2.669,211.2235333,7.787
1,23,1546074.18,80.48,2.642,211.108414,7.787
1,24,1448938.92,83.15,2.623,211.1003854,7.787
1,25,1385065.2,83.36,2.608,211.2351443,7.787
1,26,1371986.6,81.84,2.64,211.3699032,7.787
1,27,1605491.78,87.16,2.627,211.5046621,7.787
1,28,1508237.76,87.0,2.692,211.6394211,7.787
1,29,1513080.49,86.65,2.664,211.6033633,7.787
1,30,1449142.92,85.22,2.619,211.5673056,7.787
1,31,1540163.53,81.21,2.577,211.5312479,7.787
1,32,1507460.69,78.69,2.565,211.4951902,7.787
1,33,1430378.67,82.11,2.582,211.5224596,7.787
1,34,1351791.03,80.94,2.624,211.5972246,7.787
1,35,1453329.5,71.89,2.603,211.6719895,7.838
1,36,1508239.93,63.93,2.633,211.7467544,7.838
1,37,1459409.1,67.18,2.72,211.8137436,7.838
1,38,1345454.0,69.86,2.725,211.8612937,7.838
1,39,1384209.22,69.64,2.716,211.9088438,7.838
1,40,1551659.28,58.74,2.689,211.9563939,7.838
1,41,1494479.49,59.61,2.728,212.003944,7.838
1,42,1483784.18,51.41,2.771,211.8896737,7.838
1,43,1955624.11,64.52,2.735,211.7484333,7.838
1,44,1548033.78,49.27,2.708,211.607193,7.838
1,45,1682614.26,46.33,2.843,211.4659526,7.838
1,46,1891034.93,49.84,2.869,211.4053124,7.838
1,47,2387950.2,52.33,2.886,211.4051222,7.838
1,48,1367320.01,48.43,2.943,211.4049321,7.838
1,49,1444732.28,48.27,2.976,211.4047419,7.742
1,50,1391013.96,35.4,2.983,211.4574109,7.742
1,51,1327405.42,44.04,3.016,211.8272343,7.742
1,52,1316899.31,43.83,3.01,212.1970577,7.742
1,53,1606629.58,42.27,2.989,212.5668812,7.742
1,54,1649614.93,36.39,3.022,212.9367046,7.742
1,55,1686842.78,57.36,3.045,213.2478853,7.742
1,56,1456800.28,62.9,3.065,213.535609,7.742
1,57,1636263.41,59.58,3.288,213.8233327,7.742
1,58,1553191.63,53.56,3.459,214.1110564,7.742
1,59,1576818.06,62.76,3.488,214.3627114,7.742
1,60,1541102.38,69.97,3.473,214.5999389,7.742
1,61,1495064.75,59.17,3.524,214.8371664,7.682
1,62,1614259.35,67.84,3.622,215.0743939,7.682
1,63,1559889.0,71.27,3.743,215.2918561,7.682
1,64,1564819.81,72.99,3.807,215.4599053,7.682
1,65,1455090.69,72.03,3.81,215.6279544,7.682
1,66,1629391.28,64.61,3.906,215.7960035,7.682
1,67,1604775.58,75.64,3.899,215.9640526,7.682
1,68,1428218.27,67.63,3.907,215.7339202,7.682
1,69,1466046.67,77.72,3.786,215.5037878,7.682
1,70,1635078.41,83.0,3.699,215.2736553,7.682
1,71,1588948.32,83.13,3.648,215.0435229,7.682
1,72,1532114.86,86.41,3.637,214.9980596,7.682
1,73,1438830.15,83.58,3.594,215.0910982,7.682
1,74,1488538.09,85.55,3.524,215.1841368,7.962
1,75,1534849.64,85.83,3.48,215.2771754,7.962
1,76,1455119.97,88.54,3.575,215.3611087,7.962
1,77,1396926.82,85.77,3.651,215.4222784,7.962
1,78,1352219.79,86.83,3.682,215.4834482,7.962
1,79,1624383.75,91.65,3.684,215.544618,7.962
1,80,1525147.09,90.76,3.638,215.6057878,7.962
1,81,1530761.43,89.94,3.554,215.6693107,7.962
1,82,1464693.46,87.96,3.523,215.7332258,7.962
1,83,1550229.22,87.83,3.533,215.7971409,7.962
1,84,1540471.24,76.0,3.546,215.861056,7.962
1,85,1514259.78,79.94,3.526,216.0410526,7.962
1,86,1380020.27,75.8,3.467,216.3758246,7.962
1,87,1394561.83,79.69,3.355,216.7105965,7.962
1,88,1630989.95,69.31,3.285,217.0453684,7.866
1,89,1493525.93,71.74,3.274,217.3552733,7.866
1,90,1502562.78,63.71,3.353,217.5159762,7.866
1,91,1445249.09,66.57,3.372,217.6766791,7.866
1,92,1697229.58,54.98,3.332,217.837382,7.866
1,93,1594938.89,59.11,3.297,217.9980849,7.866
1,94,1539483.7,62.25,3.308,218.2205088,7.866
1,95,2033320.66,60.14,3.236,218.4676211,7.866
1,96,1584083.95,48.91,3.172,218.7147333,7.866
1,97,1799682.38,43.93,3.158,218.9618456,7.866
1,98,1881176.67,51.63,3.159,219.1794533,7.866
1,99,2270188.99,47.96,3.112,219.3577216,7.866
1,100,1497462.72,44.55,3.129,219.5359898,7.866
1,101,1550369.92,49.01,3.157,219.7142581,7.348
1,102,1459601.17,48.53,3.261,219.8925263,7.348
1,103,1394393.84,54.11,3.268,219.9856893,7.348
1,104,1319325.59,54.26,3.29,220.0788523,7.348
1,105,1636339.65,56.55,3.36,220.1720153,7.348
1,106,1802477.43,48.02,3.409,220.2651783,7.348
1,107,1819870.0,45.32,3.51,220.4257586,7.348
