idunico,Year,policial,presence_strength,co_num,war
11001,2000,0,0,0,0
11001,2001,0,0,0,0
11001,2002,0,0,0,0
11001,2003,0,0,0,0
11001,2004,0,0,0,0
11001,2005,0,0,0,0
11001,2006,0,0,0,0
11001,2007,0,0,0,0
11001,2008,0,0,0,0
11001,2009,0,2,2,1
11001,2010,0,2,2,1
11001,2011,0,2,3,1
11001,2012,0,2,2,1
11001,2013,0,2,2,1
11001,2014,0,2,2,1
11001,2015,1,1,2,1
11001,2016,1,2,3,1
11001,2017,1,2,2,1
11001,2018,1,2,2,1
11001,2019,1,3,2,1
11001,2020,1,3,3,1
11001,2021,1,3,1,0
11002,2000,0,0,0,0
11002,2001,0,0,0,0
11002,2002,0,0,0,0
11002,2003,0,0,0,0
11002,2004,0,0,0,0
11002,2005,0,0,0,0
11002,2006,0,0,0,0
11002,2007,0,0,0,0
11002,2008,0,2,1,0
11002,2009,0,2,1,0
11002,2010,0,2,2,1
11002,2011,0,2,2,1
11002,2012,0,2,3,1
11002,2013,0,2,3,1
11002,2014,0,2,2,1
11002,2015,0,1,2,1
11002,2016,0,1,1,0
11002,2017,0,0,0,0
11002,2018,0,3,2,1
11002,2019,0,3,2,1
11002,2020,0,3,4,1
11002,2021,0,3,3,1
11007,2000,0,0,0,0
11007,2001,0,0,0,0
11007,2002,0,0,0,0
11007,2003,0,0,0,0
11007,2004,0,0,0,0
11007,2005,0,0,0,0
11007,2006,0,0,0,0
11007,2007,0,0,0,0
11007,2008,0,2,2,1
11007,2009,0,2,2,1
11007,2010,0,2,2,1
11007,2011,0,2,3,1
11007,2012,0,2,3,1
11007,2013,0,2,4,1
11007,2014,0,3,3,1
11007,2015,0,3,2,1
11007,2016,0,3,3,1
11007,2017,0,3,3,1
11007,2018,0,3,3,1
11007,2019,0,3,3,1
11007,2020,0,3,2,1
11007,2021,0,3,2,1
11009,2000,0,0,0,0
11009,2001,0,0,0,0
11009,2002,0,0,0,0
11009,2003,0,0,0,0
11009,2004,0,0,0,0
11009,2005,0,0,0,0
11009,2006,0,0,0,0
11009,2007,0,0,0,0
11009,2008,0,0,0,0
11009,2009,0,0,0,0
11009,2010,0,2,1,0
11009,2011,0,2,1,0
11009,2012,0,2,1,0
11009,2013,0,2,1,0
11009,2014,0,2,1,0
11009,2015,0,2,1,0
11009,2016,0,2,1,0
11009,2017,0,2,1,0
11009,2018,0,2,1,0
11009,2019,0,2,2,1
11009,2020,0,2,2,1
11009,2021,0,2,2,1
11011,2000,0,0,0,0
11011,2001,0,0,0,0
11011,2002,0,0,0,0
11011,2003,0,0,0,0
11011,2004,0,0,0,0
11011,2005,0,0,0,0
11011,2006,0,0,0,0
11011,2007,0,0,0,0
11011,2008,0,0,0,0
11011,2009,0,2,1,0
11011,2010,0,2,2,1
11011,2011,0,2,3,1
11011,2012,0,2,2,1
11011,2013,0,2,2,1
11011,2014,0,3,2,1
11011,2015,0,3,2,1
11011,2016,0,3,2,1
11011,2017,0,3,2,1
11011,2018,0,3,3,1
11011,2019,0,3,2,1
11011,2020,0,3,2,1
11011,2021,0,3,2,1
11012,2000,0,0,0,0
11012,2001,0,0,0,0
11012,2002,0,0,0,0
11012,2003,0,0,0,0
11012,2004,0,0,0,0
11012,2005,0,0,0,0
11012,2006,0,0,0,0
11012,2007,0,0,0,0
11012,2008,0,0,0,0
11012,2009,0,2,1,0
11012,2010,0,2,2,1
11012,2011,0,2,1,0
11012,2012,0,2,1,0
11012,2013,0,2,1,0
11012,2014,0,2,1,0
11012,2015,0,0,0,0
11012,2016,1,2,1,0
11012,2017,1,3,1,0
11012,2018,1,3,1,0
11012,2019,1,3,1,0
11012,2020,1,3,1,0
11012,2021,1,3,1,0
