"Year","NOM_MUN","idunico","co_num","presence_strength","n.cell","n.weak","n.strong","war","peace","idunico_num","new_cartel_presence","intentional_hom","hom_ym","hom_all","MU_Type","policial","estatal","unico","population","population_male","population_female","population_over17","born_in_state","illiterate_over15","inschool_15to17","inschool_18to24","noschooling_over15","primaryincomplete_over15","yearsofschooling_average","single_over11","indigenousspeaker_over2","economicallyactive","economicallyinactive","employed","housing","homes","homes_malehead","homes_femalehead","ncand","elec_comp","elec_comp_perc","party.mayor","party.governor","party.pres","political_vulnerability","state_political_vulnerability","federal_political_vulnerability","mun_election_year","TT_PERSO","police_any_hom_worked","police_mun_hom_worked","police_state_hom_worked","police_fed_hom_worked","police_any_hom_killed","police_mun_hom_killed","police_state_hom_killed","police_fed_hom_killed","mu","log_pop","log_econin","state_federal_political_vulnerability"
2000,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,2,3,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,7,858,0.0311252992817239,"pan","pan","pri",0,0,1,1,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2001,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,1,2,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2002,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,0,1,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2003,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,0,1,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,5,5088,0.212424849699399,"pan","pan","pan-pvem",0,0,0,1,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2004,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,0,0,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2005,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,2,4,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2006,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,0,0,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,3,795,0.0271321797890857,"pan","pan","pan-pvem",0,0,0,1,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,0
2007,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,1,1,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,NA,NA,NA,"pri","pan-panal","pan",1,1,1,0,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,1
2008,"Abasolo","11001",0,0,0,0,0,0,0,11001,0,NA,3,4,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,NA,NA,NA,"pri","pan-panal","pan",1,1,1,0,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,1
2009,"Abasolo","11001",2,2,0,2,0,1,0,11001,1,NA,2,5,0,0,0,0,79093,37369,41724,43377,75835,8246,1553,838,9657,13857,5,21572,129,21731,32887,21537,15148,15951,13224,2727,6,5720,0.180078075809092,"pri","pan-panal","pan",1,1,1,1,109,0,0,0,0,0,0,0,0,0,11.2783796542646,10.4008327218882,1
