outcome,T/N,N,T,S,event time,att estimate,confidence interval_l,confidence interval_u
hom_all_rate,5.27272727272727,33,174,78,1,0.0742704955059054,-0.677043576216636,0.639105315205833
hom_all_rate,5.27272727272727,33,174,78,2,2.1327195591498,1.38627583523939,2.75156638582296
hom_all_rate,5.27272727272727,33,174,78,3,1.95806978695475,1.27099148611466,2.57691661362791
hom_all_rate,5.27272727272727,33,174,78,4,0.823595515862152,0.136517215022057,1.44244234253531
hom_all_rate,5.27272727272727,33,174,78,5,0.257662298127649,-0.422956703932467,0.998929051522547
hom_all_rate,5.27272727272727,33,174,78,6,-0.250527925369943,-0.911179040320387,0.499143270955384
hom_all_rate,5.27272727272727,33,174,78,7,0.695586699761295,0.0330731304701336,1.44525789608662
hom_all_rate,5.27272727272727,33,174,78,8,0.0137025760442692,-0.648810993246893,0.763373772369596
hom_all_rate,5.27272727272727,33,174,78,9,2.60573392794493,1.94322035865377,3.35540512427026
hom_all_rate,5.27272727272727,33,174,78,10,1.5662435738484,0.903730004557242,2.31591477017373
hom_all_rate,5.27272727272727,33,174,78,11,0.7587676254511,-0.0214548007264791,1.50843882177643
hom_all_rate,5.27272727272727,33,174,78,12,0.350573593016768,-0.429648833160811,1.10024478934209
hom_all_rate,5.27272727272727,33,174,78,13,-0.630791672894128,-1.41101409907171,0.118879523431198
hom_all_rate,5.27272727272727,33,174,78,14,-0.46596368239303,-1.24618610857061,0.283707513932297
hom_all_rate,5.27272727272727,33,174,78,15,-0.468133547364734,-1.25280967484502,0.277852690966298
hom_all_rate,5.27272727272727,33,174,78,16,0.924793767857286,0.144494913995352,1.67495176193165
hom_all_rate,5.27272727272727,33,174,78,17,-0.717999176856514,-1.49829803071845,0.0321588172178537
hom_all_rate,5.27272727272727,33,174,78,18,-0.606178384989204,-1.38647723885114,0.143979609085164
hom_all_rate,5.27272727272727,33,174,78,19,1.91972228595342,1.14143377894437,2.66676322715411
hom_all_rate,5.27272727272727,33,174,78,20,-1.12897058610838,-1.89030520517161,-0.387546432578556
hom_all_rate,5.27272727272727,33,174,78,21,2.70783767756428,1.92753214784946,3.45440074958017
hom_all_rate,5.27272727272727,33,174,78,22,0.407319585323386,-0.385408530761727,1.15388265733928
hom_all_rate,5.27272727272727,33,174,78,23,-2.35864186450797,-3.15136998059308,-1.61207879249207
hom_all_rate,5.27272727272727,33,174,78,24,1.2615607369824,0.468832620897286,2.0081238089983
hom_all_rate,5.27272727272727,33,174,78,25,4.16187030283796,3.36914218675285,4.90843337485386
