"year","observed","synthetic","lo95","hi95"
1960,2284,2082.27596748649,2000.76012746244,2156.9439413194
1961,2388,2257.36359755955,2175.32583407206,2332.33075873196
1962,2527,2398.0298098607,2313.32575302396,2474.47605332935
1963,2610,2529.77411907752,2444.2350190662,2608.73285351957
1964,2806,2687.01407789001,2613.53204401264,2756.88042623705
1965,3005,2829.00217335381,2752.94611331215,2900.84807132267
1966,3168,3046.81160021681,2975.52434798083,3114.36424459167
1967,3241,3273.81802992697,3204.26613557102,3339.52105851621
1968,3571,3608.16111203882,3546.37129294085,3668.46636711659
1969,3998,4030.38912423702,3972.34998508082,4087.31901927602
1970,4367,4541.2138128371,4477.9299285341,4603.33922397141
1971,4686,4911.01288848252,4845.04552739823,4978.06653165347
1972,5055,5301.31569741652,5226.58662419685,5378.50785227032
1973,5553,5834.61644546054,5757.26998898597,5914.93989544594
1974,6074,6421.11942642732,6337.20282240806,6502.37877519593
1975,6603,6750.27686112257,6680.01578163559,6820.39779915398
1976,7367,7270.70916855416,7190.80497572156,7349.34175932386
1977,8090,7944.9183188098,7862.49721752542,8024.38197919248
1978,8928,8687.7898426695,8605.327493343,8766.92890037398
1979,10067,9754.17131549203,9663.462298434,9842.44331412174
1980,11083,10985.7168890917,10875.1212386549,11093.1853087208
1981,12115,12170.425465066,12057.9944854297,12278.1876856048
1982,12761,12879.0381507838,12778.8574678006,12979.6091686758
1983,13519,13456.6175320442,13354.2524418193,13561.2131816676
1984,14481,14320.8653402837,14211.4803564466,14432.0879221495
1985,15291,15253.971383329,15139.6627244803,15372.7132953596
1986,15998,15878.3709565485,15762.7074068197,15998.4843763494
1987,16679,16635.5834023598,16519.235797203,16755.7427639898
1988,17786,17887.5933180492,17750.2879369575,18029.6637703383
1989,18994,19284.3805649854,19106.3047383429,19467.9956971752
1990,20465,20691.7386086338,20449.1188272573,20945.4698779895
1991,21602,21486.7652478754,21205.9602370613,21772.8293986223
1992,22154,21949.5725635083,21664.021431805,22237.3956727791
1993,21878,22334.0430165925,22042.6677468747,22626.5825264805
1994,22371,23006.2363939321,22740.3432726939,23274.7698760707
1995,23035,23720.5764165529,23486.7931100872,23958.6660251946
1996,23742,24277.4949790828,23997.7035275461,24553.9477284135
1997,24156,25244.1617572824,24923.1264341839,25562.9933146451
1998,24931,25902.6325153382,25725.3003618327,26083.9296905632
1999,25755,26181.642560071,26046.1680177335,26322.108665916
2000,26943,27603.4421014523,27467.9355647748,27744.6430730975
2001,27449,28176.8108451001,28072.7160703745,28291.7277773053
2002,28348,29312.625105329,29189.6956704641,29446.8336147335
2003,28855,29951.219035927,29758.823078532,30153.2426993271
