"year","observed","synthetic","lo95","hi95"
1960,2284,2046.91646253492,1974.42809467516,2109.55339776755
1961,2388,2222.0934268886,2147.8813629647,2286.32586105731
1962,2527,2361.51838653492,2285.19551448183,2428.08540560888
1963,2610,2492.90020309765,2415.32081117589,2561.03604244126
1964,2806,2660.02566111756,2591.81077160061,2719.31529427247
1965,3005,2801.97279274102,2732.34134289467,2861.88956792054
1966,3168,3024.01832758122,2958.76651804738,3079.49288714948
1967,3241,3252.64402115444,3188.83357508866,3305.94347207397
1968,3571,3594.11215964582,3535.79451549589,3640.53376772804
1969,3998,4026.95420407858,3971.66685145926,4071.6691058472
1970,4367,4541.21299931151,4479.84269010243,4594.57503903792
1971,4686,4918.28677579097,4851.72923726726,4977.98795764675
1972,5055,5322.86919515074,5254.34916927416,5391.67922834435
1973,5553,5857.85555492877,5787.42147043797,5929.51119616729
1974,6074,6415.18427176478,6332.82569059512,6478.91112395572
1975,6603,6755.89953383156,6686.24204918366,6819.47463999248
1976,7367,7255.21985176813,7178.55340965604,7313.86469082363
1977,8090,7936.22266206725,7859.7978475008,7996.11710244813
1978,8928,8680.90354509706,8605.96296265826,8742.52776363511
1979,10067,9739.15331528915,9650.48113336844,9804.08132743663
1980,11083,10963.8652336761,10854.668112041,11040.7443180129
1981,12115,12162.3306947658,12057.1987143973,12246.5595609302
1982,12761,12882.7413970313,12782.0163721002,12970.0844406708
1983,13519,13461.0514074569,13357.8256979971,13550.6623538002
1984,14481,14327.4008184607,14216.6627747196,14424.2839348607
1985,15291,15278.3967606434,15166.2247942124,15384.6314685497
1986,15998,15903.1663996027,15790.077982596,16010.1625647613
1987,16679,16662.7464204586,16552.579830315,16767.9788675191
1988,17786,17944.8039417919,17817.6832833748,18076.7895471793
1989,18994,19373.5160502202,19224.6164824049,19541.0837824265
1990,20465,20825.836040474,20634.5627002336,21039.1819980731
1991,21602,21644.615271427,21420.5394403088,21876.3160636841
1992,22154,22111.5741973428,21880.9942615007,22344.1650458755
1993,21878,22500.2887769521,22263.8619677601,22736.1636976171
1994,22371,23156.8323860669,22944.0666300619,23373.2446365387
1995,23035,23852.9088843535,23667.423626427,24044.0424701818
1996,23742,24441.901906691,24215.5814752682,24664.8520974502
1997,24156,25432.9896056504,25170.6589179,25689.3917007704
1998,24931,25999.439569618,25853.6080763424,26156.3908407514
1999,25755,26250.1812519221,26131.8459559506,26379.4323720589
2000,26943,27669.9038624542,27551.6312407521,27803.13877121
2001,27449,28219.8922160784,28122.302855264,28327.9439279042
2002,28348,29353.8077460752,29235.4112686845,29478.9866821841
2003,28855,30053.7557627457,29891.8557853752,30233.2133647251
