"year","observed","synthetic","lo95","hi95"
1960,2284,2234.03408790498,2085.71915015761,2381.32366970616
1961,2388,2365.99437315761,2221.32607119932,2510.8347199383
1962,2527,2491.53490062339,2346.71884688098,2634.50473247017
1963,2610,2612.19162699224,2467.11848234126,2754.93862820344
1964,2806,2770.50471953364,2624.80696561897,2917.8538010277
1965,3005,2936.56559474401,2797.93548859444,3084.23206139425
1966,3168,3146.91797636033,3000.55382908937,3289.57242104575
1967,3241,3338.26532373194,3194.21082481272,3485.21340952121
1968,3571,3619.30624867477,3476.51286912055,3763.69307047657
1969,3998,3984.59918361237,3841.91908395462,4123.04798329531
1970,4367,4351.58657253876,4206.14903934071,4502.54528320225
1971,4686,4699.77275169592,4558.94837017051,4844.68951682436
1972,5055,5087.5852876109,4950.35617298561,5241.55017610838
1973,5553,5616.77456686621,5468.29203846194,5767.53988371331
1974,6074,6197.60347545415,6051.68034743495,6349.59293085453
1975,6603,6751.38397369307,6606.62953565403,6902.66922343282
1976,7367,7446.61921764659,7302.4469252829,7596.76377030548
1977,8090,8102.14117791561,7950.64168604457,8257.76320202509
1978,8928,8887.32382909986,8728.02290584365,9046.86423679208
1979,10067,9922.99209396219,9761.09765136458,10077.2741318434
1980,11083,10997.9873564159,10838.2382862478,11143.0320461377
1981,12115,12046.9521668964,11891.5364877456,12197.7411236016
1982,12761,12774.0586671238,12613.6810680102,12935.2112248947
1983,13519,13510.8375259558,13346.4896160099,13675.6053381366
1984,14481,14414.862927244,14263.6229773833,14565.3013177674
1985,15291,15293.6335903822,15137.43858985,15444.7429956167
1986,15998,15998.8406819237,15845.7107486868,16151.9354434702
1987,16679,16736.6814451504,16588.3160877206,16898.1055973596
1988,17786,17804.5133096393,17647.8869363686,17964.7480115183
1989,18994,18952.4886668874,18791.182713892,19123.4874251432
1990,20465,20043.7302006867,19840.7874191722,20249.3472909741
1991,21602,20969.6978130988,20724.3119861424,21221.2362730524
1992,22154,21719.6872847907,21461.9477976285,21979.983383313
1993,21878,22235.1272384792,21989.008668212,22492.7606641068
1994,22371,23300.070073179,23042.8702159748,23572.6812128189
1995,23035,24320.0910724998,24024.5041623115,24651.0064926759
1996,23742,25487.6138475455,25047.2239491985,25958.8697088603
1997,24156,26567.5589421878,26068.2906353614,27135.5284505263
1998,24931,27318.845916882,26955.3410852541,27743.622450351
1999,25755,28625.7992258021,28079.7117864973,29264.0712406074
2000,26943,31103.4311269564,30012.8696120078,32274.8749403714
2001,27449,32144.6204991661,30963.210903106,33378.8498804105
2002,28348,33068.4128321041,31981.9357408148,34240.417123163
2003,28855,33826.623679272,32760.3596942852,34956.9381197527
