year,treat,observed_west_germany,vanillasc_outcome_only,vanillasc_malo_adh_cov,vanillasc_mscmt_adh_cov,clustersc_rpca_sc,clustersc_pcr_rsc,fdid,bmv_mvbbsc_mlsynth,bmv_bsynth_offline,basc_2000_2000,basc_500_500,sscm_table7_weights,uniform_1_16
1960,0,2284,2220.386,2220.383,2165.134,2184.273,2176.224,2310.262,2234.973,2234.034,2082.276,2046.916,1670.03,1879.5
1961,0,2388,2343.9,2343.899,2271.27,2297.92,2276.643,2431.119,2367.449,2365.994,2257.364,2222.093,1783.08,1990.812
1962,0,2527,2464.443,2464.441,2394.569,2447.852,2415.442,2560.976,2492.822,2491.535,2398.03,2361.518,1906.66,2109.5
1963,0,2610,2582.936,2582.935,2506.207,2558.778,2535.68,2674.69,2611.849,2612.192,2529.774,2492.9,2023.84,2221.812
1964,0,2806,2747.064,2747.063,2683.389,2753.558,2717.564,2828.405,2768.096,2770.505,2687.014,2660.026,2159.07,2375.688
1965,0,3005,2924.382,2924.381,2837.58,2902.519,2879.3,2987.548,2937.274,2936.566,2829.002,2801.973,2303.94,2528.125
1966,0,3168,3155.608,3155.608,3052.212,3125.859,3095.071,3189.548,3149.148,3146.918,3046.812,3024.018,2486.55,2717.5
1967,0,3241,3321.222,3321.222,3229.29,3329.631,3274.755,3375.262,3338.365,3338.265,3273.818,3252.644,2627.66,2873.062
1968,0,3571,3605.484,3605.485,3529.592,3615.929,3575.815,3641.69,3621.748,3619.306,3608.161,3594.112,2873.07,3137.125
1969,0,3998,3946.97,3946.97,3926.798,4019.359,3997.999,3989.548,3984.609,3984.599,4030.389,4026.954,3206.87,3491.812
1970,0,4367,4325.643,4325.642,4381.217,4373.938,4360.791,4388.405,4349.837,4351.587,4541.214,4541.213,3518.96,3828.812
1971,0,4686,4700.338,4700.338,4765.239,4688.958,4696.343,4746.548,4697.215,4699.773,4911.013,4918.287,3809.58,4143.0
1972,0,5055,5123.63,5123.631,5176.619,5080.549,5080.162,5122.262,5088.118,5087.585,5301.316,5322.869,4162.39,4499.438
1973,0,5553,5652.301,5652.304,5692.777,5668.258,5629.511,5620.976,5618.692,5616.775,5834.616,5857.856,4634.31,4994.188
1974,0,6074,6201.443,6201.44,6297.098,6233.552,6244.132,6254.119,6196.795,6197.603,6421.119,6415.184,5150.65,5499.312
1975,0,6603,6700.228,6700.226,6763.925,6763.073,6805.857,6716.976,6749.545,6751.384,6750.277,6755.9,5577.61,5946.375
1976,0,7367,7363.471,7363.469,7375.916,7455.496,7476.904,7363.69,7446.937,7446.619,7270.709,7255.22,6085.98,6508.125
1977,0,8090,8111.516,8111.514,8126.646,8061.393,8066.57,8041.69,8103.05,8102.141,7944.918,7936.223,6586.1,7047.625
1978,0,8928,8898.303,8898.304,8833.574,8840.322,8827.226,8789.548,8886.152,8887.324,8687.79,8680.904,7175.8,7718.938
1979,0,10067,9963.112,9963.112,9909.997,9873.47,9852.708,9819.548,9923.66,9922.992,9754.171,9739.153,7917.46,8586.938
1980,0,11083,10967.605,10967.598,10984.213,10941.555,10920.012,10962.119,11002.743,10997.987,10985.717,10963.865,8768.49,9512.688
1981,0,12115,12064.541,12064.532,12068.993,12067.774,11994.452,12056.976,12046.235,12046.952,12170.425,12162.331,9607.33,10449.812
1982,0,12761,12693.427,12693.409,12782.766,12809.8,12805.118,12766.262,12772.141,12774.059,12879.038,12882.741,10223.61,11094.0
1983,0,13519,13518.838,13518.818,13579.548,13543.034,13559.783,13498.548,13511.517,13510.838,13456.618,13461.051,10797.81,11713.5
1984,0,14481,14468.333,14468.317,14403.13,14457.745,14445.521,14421.405,14411.911,14414.863,14320.865,14327.401,11479.99,12481.312
1985,0,15291,15339.69,15339.673,15276.638,15369.993,15310.556,15280.69,15293.084,15293.634,15253.971,15278.397,12141.8,13225.0
1986,0,15998,16003.444,16003.425,15944.005,16000.449,16042.208,15947.833,16000.139,15998.841,15878.371,15903.166,12727.55,13838.062
1987,0,16679,16702.32,16702.299,16654.815,16732.617,16805.8,16668.119,16736.699,16736.681,16635.583,16662.746,13439.47,14504.688
1988,0,17786,17812.851,17812.831,17798.679,17896.096,17853.068,17729.833,17801.17,17804.513,17887.593,17944.804,14373.84,15462.938
1989,0,18994,19032.507,19032.487,19115.424,18862.226,18955.74,18910.405,18946.167,18952.489,19284.381,19373.516,15385.35,16493.75
1990,1,20465,20138.467,20138.441,20435.056,19960.185,20004.369,20072.69,20037.051,20043.73,20691.739,20825.836,16328.31,17430.75
1991,1,21602,20855.554,20855.52,21295.942,20585.891,20870.826,20883.833,20966.834,20969.698,21486.765,21644.615,17061.04,18143.25
1992,1,22154,21595.308,21595.271,21978.121,21501.332,21621.343,21595.405,21713.394,21719.687,21949.573,22111.574,17619.04,18747.312
1993,1,21878,22072.295,22072.258,22401.806,22079.556,22213.161,22040.976,22229.007,22235.127,22334.043,22500.289,17990.1,19195.812
1994,1,22371,23024.914,23024.874,23284.865,23239.021,23377.059,23017.548,23299.946,23300.07,23006.236,23156.832,18843.03,20110.688
1995,1,23035,23824.515,23824.47,24085.933,24285.728,24449.808,23910.119,24320.571,24320.091,23720.576,23852.909,19667.32,20970.875
1996,1,23742,24753.184,24753.132,24970.905,25207.449,25556.499,24832.262,25490.678,25487.614,24277.495,24441.902,20493.01,21824.438
1997,1,24156,25745.25,25745.193,25894.856,26189.886,26624.427,25870.405,26570.976,26567.559,25244.162,25432.99,21392.43,22799.625
1998,1,24931,26697.328,26697.278,26743.861,27079.007,27383.593,26644.976,27318.984,27318.846,25902.633,25999.44,22217.8,23535.0
1999,1,25755,27812.819,27812.763,27641.796,28134.715,28604.466,27703.69,28629.896,28625.799,26181.643,26250.181,23360.43,24552.312
2000,1,26943,29526.536,29526.445,29304.752,29719.72,30780.374,29987.548,31120.384,31103.431,27603.442,27669.904,24991.04,26283.125
2001,1,27449,30206.763,30206.668,30032.053,30628.069,32001.479,30835.262,32160.788,32144.62,28176.811,28219.892,26044.53,27283.0
2002,1,28348,31294.38,31294.3,31146.393,31503.208,32970.011,31729.405,33083.042,33068.413,29312.625,29353.808,27191.43,28305.688
2003,1,28855,32301.367,32301.302,32015.362,32583.299,33776.289,32438.69,33844.983,33826.624,29951.219,30053.756,28003.58,29009.625
