config,alpha_u,selection,seed,N,rmse_pre,att_post,gp_sd,n_donors
au2.5_select,2.5,True,100,2000,135.180846311809,-1312.18888107492,1.22073496300883,4
au1_select,1.0,True,100,2000,139.347329073234,-1050.52044383449,1.46552693392163,3
au2.5_nosel,2.5,False,100,2000,144.963404340734,-1073.81486013772,1.11512315043846,16
au1_nosel,1.0,False,100,2000,139.277302051154,-1115.52158155281,0.340732805423695,16
au2.5_select,2.5,True,200,2000,135.563409092272,-1438.22645254544,1.49679612253454,4
au1_select,1.0,True,200,2000,134.905524098524,-1230.72102808689,1.03142865671414,4
au2.5_nosel,2.5,False,200,2000,141.05558758483,-1165.56515030259,1.32305809624417,16
au1_nosel,1.0,False,200,2000,138.451875472817,-1207.11675370549,0.852407090507232,16
au2.5_select,2.5,True,300,2000,149.016537900154,-978.254243423722,1.75848039387987,3
au1_select,1.0,True,300,2000,140.10059720788,-1114.03916356239,1.34118717700318,4
au2.5_nosel,2.5,False,300,2000,145.728199103959,-1080.98230531094,1.09493461875877,16
au1_nosel,1.0,False,300,2000,136.396092590022,-1141.61728266951,0.458771848504325,16
