donor,VanillaSC (outcome-only),"VanillaSC (malo, covariates)","VanillaSC (mscmt, ADH 2015 spec)",CLUSTERSC (RPCA-SC),CLUSTERSC (PCR/RSC),ADH 2015 (published)
Austria,0.323,0.323,0.401,0.023,0.107,0.42
France,0.039,0.039,0.0,0.354,0.104,0.0
Greece,0.099,0.099,0.0,0.0,0.0,0.0
Italy,0.061,0.061,0.0,0.0,0.1,0.0
Norway,0.028,0.028,0.0,0.485,0.102,0.0
Switzerland,0.108,0.108,0.164,0.0,0.0,0.11
USA,0.343,0.343,0.151,0.0,0.0,0.22
Japan,0.0,0.0,0.133,0.0,0.096,0.16
Netherlands,0.0,0.0,0.136,0.0,0.106,0.09
UK,0.0,0.0,0.016,0.0,0.093,0.0
New Zealand,0.0,0.0,0.0,0.296,0.094,0.0
Australia,0.0,0.0,0.0,0.0,0.107,0.0
Belgium,0.0,0.0,0.0,0.0,0.104,0.0
Denmark,0.0,0.0,0.0,0.0,0.11,0.0
