state,City,Store Name,store_id,Address,Phone,url
California,Palo Alto,Palo Alto,10005,774 Emerson St,(650) 326-8676,https://www.wholefoodsmarket.com/stores/paloalto
California,Berkeley,Berkeley,10006,3000 Telegraph Ave,(510) 649-1333,https://www.wholefoodsmarket.com/stores/berkeley
North Carolina,Chapel Hill,Chapel Hill,10008,81 S Elliot Rd,(919) 968-1983,https://www.wholefoodsmarket.com/stores/chapelhill
California,Mill Valley,Mill Valley,10009,414 Miller Ave,(415) 381-1200,https://www.wholefoodsmarket.com/stores/millvalley
Massachusetts,Cambridge,Prospect Street,10010,115 Prospect St,(617) 492-0070,https://www.wholefoodsmarket.com/stores/prospectstreet
Massachusetts,Hadley,Hadley,10012,327 Russell St,(413) 586-9932,https://www.wholefoodsmarket.com/stores/hadley
Massachusetts,Newton,Newton,10013,916 Walnut St,(617) 969-1141,https://www.wholefoodsmarket.com/stores/newton
Rhode Island,Providence,Providence,10014,261 Waterman St,(401) 272-1690,https://www.wholefoodsmarket.com/stores/providence
Massachusetts,Brighton,Brighton,10015,15 Washington St,(617) 738-8187,https://www.wholefoodsmarket.com/stores/brighton
North Carolina,Raleigh,Raleigh,10016,3540 Wade Ave,(919) 828-5805,https://www.wholefoodsmarket.com/stores/raleigh
California,Beverly Hills,Beverly Hills,10022,239 N Crescent Dr,(310) 274-3360,https://www.wholefoodsmarket.com/stores/beverlyhills
California,Redondo Beach,Redondo Beach,10024,405 N Pacific Coast Hwy,(310) 376-6931,https://www.wholefoodsmarket.com/stores/redondobeach
Massachusetts,Cambridge,Fresh Pond,10026,200 Alewife Brook Pkwy,(617) 491-0040,https://www.wholefoodsmarket.com/stores/freshpond
California,Los Gatos,Los Gatos,10027,15980 Los Gatos Blvd,(408) 358-4434,https://www.wholefoodsmarket.com/stores/losgatos
Illinois,River Forest,River Forest,10029,7245 Lake St,(708) 366-1045,https://www.wholefoodsmarket.com/stores/riverforest
Texas,Plano,Plano,10030,2201 Preston Rd,(972) 612-6729,https://www.wholefoodsmarket.com/stores/plano
Massachusetts,Boston,Symphony,10031,15 Westland Ave,(617) 375-1010,https://www.wholefoodsmarket.com/stores/symphony
California,Campbell,Campbell,10033,1690 S Bascom Ave,(408) 371-5000,https://www.wholefoodsmarket.com/stores/campbell
Texas,Austin,Gateway,10036,9607 Research Blvd,(512) 345-5003,https://www.wholefoodsmarket.com/stores/gateway
California,Sherman Oaks,Sherman Oaks West,10038,4520 N Sepulveda Blvd,(818) 382-3700,https://www.wholefoodsmarket.com/stores/shermanoakswest
North Carolina,Durham,Durham,10041,621 Broad St,(919) 286-2290,https://www.wholefoodsmarket.com/stores/durham
Virginia,Arlington,Arlington VA,10042,2700 Wilson Blvd,(703) 527-6596,https://www.wholefoodsmarket.com/stores/arlingtonva
California,San Francisco,Franklin,10044,1765 California St,(415) 674-0500,https://www.wholefoodsmarket.com/stores/franklin
California,Los Angeles,West Los Angeles,10045,11666 National Blvd,(310) 996-8840,https://www.wholefoodsmarket.com/stores/westlosangeles
Maryland,Bethesda,Bethesda,10048,5269 River Rd,(301) 984-4860,https://www.wholefoodsmarket.com/stores/bethesda
Pennsylvania,Wayne,Devon,10053,821 Lancaster Ave,(610) 688-9400,https://www.wholefoodsmarket.com/stores/devon
Connecticut,Greenwich,Greenwich,10057,90 E Putnam Ave,(203) 661-0631,https://www.wholefoodsmarket.com/stores/greenwich
New Jersey,Montclair,Montclair,10059,701 Bloomfield Ave,(973) 746-5110,https://www.wholefoodsmarket.com/stores/montclair
Virginia,Reston,Reston,10061,11660 Plaza America Dr,(703) 736-0600,https://www.wholefoodsmarket.com/stores/reston
District of Columbia,Washington,Tenleytown,10062,4530 40th St NW,(202) 237-5800,https://www.wholefoodsmarket.com/stores/tenleytown
New York,Manhasset,Manhasset,10063,2101 Northern Blvd,(516) 869-8900,https://www.wholefoodsmarket.com/stores/manhasset
Maryland,Baltimore,Mt. Washington,10064,1330 Smith Ave,(410) 532-6700,https://www.wholefoodsmarket.com/stores/mt.washington
Virginia,Vienna,Vienna,10065,143 Maple Ave E,(703) 319-2000,https://www.wholefoodsmarket.com/stores/vienna
California,La Jolla,La Jolla,10066,8825 Villa La Jolla Dr,(858) 642-6700,https://www.wholefoodsmarket.com/stores/lajolla
California,San Rafael,San Rafael,10071,340 3rd St,(415) 451-6333,https://www.wholefoodsmarket.com/stores/sanrafael
California,San Diego,Hillcrest,10072,711 University Ave,(619) 294-2800,https://www.wholefoodsmarket.com/stores/hillcrest
California,Los Angeles,Brentwood,10074,11737 San Vicente Blvd,(310) 826-4433,https://www.wholefoodsmarket.com/stores/brentwood
Texas,San Antonio,Alamo Quarry,10075,255 E Basse Rd,(210) 826-4676,https://www.wholefoodsmarket.com/stores/alamoquarry
Illinois,Evanston,Downtown Evanston,10076,1640 Chicago Ave,(847) 733-1600,https://www.wholefoodsmarket.com/stores/downtownevanston
Colorado,Boulder,Pearl,10083,2905 Pearl St,(303) 545-6611,https://www.wholefoodsmarket.com/stores/pearl
New Jersey,Marlton,Marlton,10086,940 Rt 73 N,(856) 797-1115,https://www.wholefoodsmarket.com/stores/marlton
California,Monterey,Monterey,10087,800 Del Monte Center,(831) 333-1600,https://www.wholefoodsmarket.com/stores/monterey
Florida,Coral Springs,Coral Springs,10088,810 University Dr,(954) 796-5800,https://www.wholefoodsmarket.com/stores/coralsprings
Massachusetts,Bedford,Bedford,10090,170 Great Rd,(781) 275-8264,https://www.wholefoodsmarket.com/stores/bedford
Massachusetts,Bellingham,Bellingham,10091,255 Hartford Ave,(508) 966-3331,https://www.wholefoodsmarket.com/stores/bellingham
Massachusetts,Newton,Newtonville,10092,647 Washington St,(617) 965-2070,https://www.wholefoodsmarket.com/stores/newtonville
Colorado,Denver,Cherry Creek,10095,2375 E 1st Ave,(720) 941-4100,https://www.wholefoodsmarket.com/stores/cherrycreek
Florida,Aventura,Aventura,10096,21105 Biscayne Blvd,(305) 682-4400,https://www.wholefoodsmarket.com/stores/aventura
Texas,Arlington,Parkway,10098,801 E Lamar,(817) 461-9362,https://www.wholefoodsmarket.com/stores/parkway
California,Woodland Hills,Woodland Hills,10099,21347 Ventura Blvd,(818) 610-0000,https://www.wholefoodsmarket.com/stores/woodlandhills
Pennsylvania,Jenkintown,Jenkintown,10100,1575 The Fairway,(215) 481-0800,https://www.wholefoodsmarket.com/stores/jenkintown
California,Walnut Creek,Walnut Creek,10101,1333 Newell Ave,(925) 274-9700,https://www.wholefoodsmarket.com/stores/walnutcreek
New Jersey,Edgewater,Edgewater,10102,905 River Rd,(201) 941-4000,https://www.wholefoodsmarket.com/stores/edgewater
Washington,Seattle,Roosevelt Square,10103,1026 NE 64th St,(206) 985-1500,https://www.wholefoodsmarket.com/stores/rooseveltsquare
New Mexico,Santa Fe,Santa Fe (Cerrillos),10104,753 Cerrillos Rd,(505) 992-1700,https://www.wholefoodsmarket.com/stores/santafe(cerrillos)
California,Torrance,Torrance,10105,2655 Pacific Coast Hwy,(310) 257-8700,https://www.wholefoodsmarket.com/stores/torrance
New Jersey,Ridgewood,Ridgewood,10106,44 Godwin Ave,(201) 670-0383,https://www.wholefoodsmarket.com/stores/ridgewood
California,Pasadena,Pasadena,10108,3751 E Foothill Blvd,(626) 351-5994,https://www.wholefoodsmarket.com/stores/pasadena
California,West Hollywood,West Hollywood,10109,7871 Santa Monica Blvd,(323) 848-4200,https://www.wholefoodsmarket.com/stores/westhollywood
North Carolina,Winston-Salem,Winston-Salem,10110,41 Miller St,(336) 722-9233,https://www.wholefoodsmarket.com/stores/winston-salem
Rhode Island,Providence,University,10111,601 N Main St,(401) 621-5990,https://www.wholefoodsmarket.com/stores/university
Pennsylvania,Philadelphia,South Street,10112,929 South St,(215) 733-9788,https://www.wholefoodsmarket.com/stores/southstreet
Massachusetts,Cambridge,River Street,10113,340 River St,(617) 876-6990,https://www.wholefoodsmarket.com/stores/riverstreet
Texas,Houston,Kirby,10115,2955 Kirby Dr,(713) 520-1937,https://www.wholefoodsmarket.com/stores/kirby
Illinois,Deerfield,Deerfield,10116,760 Waukegan Rd,(847) 444-1900,https://www.wholefoodsmarket.com/stores/deerfield
Florida,Fort Lauderdale,Fort Lauderdale,10117,2000 N Federal Hwy,(954) 398-2000,https://www.wholefoodsmarket.com/stores/fortlauderdale
Maryland,Silver Spring,Silver Spring,10118,833 Wayne Ave,(301) 608-9373,https://www.wholefoodsmarket.com/stores/silverspring
Minnesota,Minneapolis,Uptown Minneapolis,10119,3060 Excelsior Blvd,(612) 927-8141,https://www.wholefoodsmarket.com/stores/uptownminneapolis
Michigan,West Bloomfield,West Bloomfield,10120,7350 Orchard Lake Rd,(248) 538-4600,https://www.wholefoodsmarket.com/stores/westbloomfield
California,Fresno,Fresno,10122,650 W Shaw Ave,(559) 241-0300,https://www.wholefoodsmarket.com/stores/fresno
California,San Ramon,San Ramon,10126,100 Sunset Dr,(925) 355-9000,https://www.wholefoodsmarket.com/stores/sanramon
Illinois,Naperville,Naperville,10129,2607 W 75th St,(630) 579-7700,https://www.wholefoodsmarket.com/stores/naperville
